t,P
1,0.5
2,0.25445927072149765
3,0.1337655885328276
4,0.07438307529719669
5,0.04513750204905124
6,0.030719180845723726
7,0.023602754737271796
8,0.020085848031902165
9,0.01834525438309637
10,0.01748228288726977
11,0.01705349773760775
12,0.01683985273125501
13,0.016733010145298446
14,0.01667931145014701
15,0.016652135938595845
16,0.016638250164055485
17,0.0166310591354343
18,0.01662726559177153
19,0.01662521399640706
20,0.016624068324427588
21,0.016623403050803322
22,0.01662299921368039
23,0.016622742434797416
24,0.016622571734113693
25,0.01662245371296074
26,0.016622369446715416
27,0.01662230777034844
28,0.01662226179646273
29,0.016622227079294335
30,0.016622200624820248
31,0.01662218034146069
32,0.016622164724251095
33,0.016622152665622683
34,0.016622143336905728
35,0.016622136110789953
36,0.01662213050850643
37,0.016622126162600784
38,0.016622122789972847
39,0.01662212017194537
40,0.016622118139306523
41,0.01662211656096412
42,0.016622115335275994
43,0.016622114383390382
44,0.016622113644112778
45,0.0166221130699397
46,0.016622112623989046
47,0.01662211227762174
48,0.01662211200859768
49,0.016622111799644807
50,0.01662211163734882
51,0.01662211151129135
52,0.016622111413380554
53,0.01662211133733163
54,0.016622111278263105
55,0.016622111232383503
56,0.016622111196747964
57,0.016622111169069163
58,0.0166221111475705
59,0.016622111130872055
60,0.01662211111790208
61,0.016622111107828
62,0.016622111100003306
63,0.01662211109392567
64,0.01662211108920506
