tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,14,1514,514,2,0
2,7,1521,521,3,0
3,11,1532,532,3,0
4,7,1539,539,3,0
5,19,1558,558,4,0
6,9,1567,567,4,0
7,12,1579,579,4,0
8,9,1588,588,5,0
9,7,1595,595,5,0
10,9,1604,604,5,0
11,5,1609,609,5,0
12,12,1621,621,5,0
13,14,1635,635,5,0
14,7,1642,642,5,0
15,9,1651,651,5,0
16,11,1662,662,5,0
17,8,1670,670,5,0
18,9,1679,679,5,0
19,13,1692,692,6,0
20,10,1702,702,6,0
21,11,1713,713,6,0
22,12,1725,725,6,0
23,11,1736,736,6,0
24,12,1748,748,6,0
25,10,1758,758,6,0
26,17,1775,775,6,0
27,12,1787,787,6,0
28,12,1799,799,6,0
29,19,1818,818,6,0
30,5,1823,823,6,0
31,15,1838,838,6,0
32,13,1851,851,7,0
33,13,1864,864,7,0
34,13,1877,877,7,0
35,7,1884,884,7,0
36,5,1889,889,7,0
37,9,1898,898,7,0
38,6,1904,904,7,0
39,10,1914,914,7,0
40,5,1919,919,7,0
41,3,1922,922,7,0
42,6,1928,928,7,0
43,3,1931,931,7,0
44,8,1939,939,7,0
45,6,1945,945,7,0
46,9,1954,954,7,0
47,9,1963,963,7,0
48,11,1974,974,8,0
49,6,1980,980,8,0
50,5,1985,985,8,0
51,5,1990,990,8,0
52,3,1993,993,9,0
53,6,1999,999,9,0
54,6,2005,1005,9,0
55,6,2011,1011,9,0
56,3,2014,1014,9,0
57,4,2018,1018,9,0
58,7,2025,1025,9,0
59,6,2031,1031,9,0
60,3,2034,1034,9,0
