t,P
1,0.5
2,0.25726079628252074
3,0.13832095879232947
4,0.07932897261580821
5,0.04957636305515012
6,0.034212083889793
7,0.02600932419804529
8,0.02142571446179207
9,0.018709305474693943
10,0.016983699972874768
11,0.015803892558633775
12,0.014939407898122273
13,0.014267718010711306
14,0.013721442585220036
15,0.013261935077972457
16,0.012865904398748776
17,0.012518531519796766
18,0.012209856288097988
19,0.011932832562640154
20,0.011682248613596548
21,0.011454105602877856
22,0.011245244770753001
23,0.011053113779255152
24,0.010875613663685953
25,0.01071099429467769
26,0.010557780225727108
27,0.010414716345698181
28,0.010280726935553187
29,0.010154884112639689
30,0.010036383049693025
31,0.009924522210437057
32,0.009818687381862198
33,0.00971833863334779
34,0.009622999567540449
35,0.0095322483897009
36,0.009445710436524625
37,0.009363051887938281
38,0.009283974446058251
39,0.009208210810885497
40,0.009135520816759824
41,0.009065688120085963
42,0.008998517349451464
43,0.008933831645456478
44,0.008871470530432513
45,0.008811288058517629
46,0.008753151204856794
47,0.008696938459439694
48,0.008642538596601643
49,0.008589849595747674
50,0.00853877769260873
51,0.00848923654345334
52,0.008441146487277605
53,0.008394433893173918
54,0.008349030581910916
55,0.008304873312302698
56,0.008261903324254444
57,0.008220065931482796
58,0.008179310157855528
59,0.00813958841210295
60,0.008100856196344552
61,0.008063071844467157
62,0.008026196286900248
63,0.007990192838772888
64,0.007955027008815086
65,0.007920666326693646
66,0.007887080186755923
67,0.007854239706400569
68,0.00782211759750793
69,0.007790688049548512
70,0.0077599266231499365
71,0.00772981015304409
72,0.007700316659439809
73,0.007671425266974656
74,0.007643116130494035
75,0.0076153703669893935
76,0.007588169993100343
77,0.007561497867649923
78,0.007535337638739302
79,0.007509673694978069
80,0.007484491120470835
81,0.007459775653220063
82,0.007435513646639763
83,0.0074116920339056145
84,0.007388298294894529
85,0.007365320425491035
86,0.007342746909059584
87,0.007320566689901385
88,0.00729876914853151
89,0.007277344078627714
90,0.007256281665516077
91,0.007235572466071171
92,0.007215207389919453
93,0.0071951776818447956
94,0.007175474905303868
95,0.007156090926967354
96,0.0071370179022103184
97,0.00711824826148147
98,0.0070997746974872855
99,0.007081590153132141
100,0.007063687810160684
101,0.007046061078452915
102,0.007028703585926675
103,0.007011609169005717
104,0.006994771863615038
105,0.006978185896667975
106,0.006961845678012543
107,0.006945745792806857
108,0.006929880994295851
109,0.006914246196963557
110,0.006898836470037223
111,0.006883647031321161
112,0.0068686732413400136
113,0.006853910597772431
114,0.006839354730157613
115,0.006825001394858407
116,0.006810846470265774
117,0.006796885952230483
118,0.0067831159497089176
119,0.006769532680610732
120,0.006756132467836901
121,0.00674291173549759
122,0.0067298670052997715
123,0.006716994893095375
124,0.006704292105581256
125,0.006691755437142794
126,0.00667938176683357
127,0.006667168055483919
128,0.006655111342931695
129,0.006643208745368964
130,0.006631457452798709
131,0.006619854726595998
132,0.0066083978971684595
133,0.0065970843617110956
134,0.006585911582050868
135,0.00657487708257667
136,0.006563978448250679
137,0.006553213322697097
138,0.006542579406364768
139,0.006532074454760165
140,0.006521696276747493
141,0.0065114427329129075
142,0.006501311733989856
143,0.006491301239342883
144,0.006481409255507248
145,0.006471633834781937
146,0.006461973073873664
147,0.0064524251125897695
148,0.006442988132577783
149,0.006433660356109798
150,0.006424440044909647
151,0.006415325499021183
152,0.006406315055715886
153,0.006397407088438227
154,0.0063886000057872165
155,0.006379892250532682
156,0.006371282298664877
157,0.006362768658476089
158,0.006354349869672978
159,0.00634602450251842
160,0.006337791157001751
161,0.006329648462036247
162,0.006321595074682841
163,0.006313629679399036
164,0.006305750987312095
165,0.006297957735515556
166,0.006290248686388211
167,0.006282622626934726
168,0.006275078368147078
169,0.006267614744386052
170,0.0062602306127820745
171,0.006252924852654661
172,0.006245696364949824
173,0.0062385440716947824
174,0.006231466915469358
175,0.006224463858893487
176,0.0062175338841302195
177,0.006210675992403747
178,0.006203889203531857
179,0.0061971725554723625
180,0.006190525103882987
181,0.006183945921694276
182,0.006177434098695075
183,0.006170988741130121
184,0.0061646089713093995
185,0.006158293927228795
186,0.0061520427622017175
187,0.006145854644501302
188,0.006139728757012842
189,0.0061336642968961245
190,0.006127660475257326
191,0.006121716516830174
192,0.006115831659666047
193,0.006110005154832753
194,0.0061042362661216714
195,0.006098524269763023
196,0.006092868454148982
197,0.0060872681195644025
198,0.006081722577924878
199,0.0060762311525219435
200,0.00607079317777519
201,0.006065407998991035
202,0.006060074972127985
203,0.0060547934635681805
204,0.006049562849894984
205,0.006044382517676499
206,0.006039251863254766
207,0.0060341702925405145
208,0.006029137220813266
209,0.006024152072526632
210,0.006019214281118681
211,0.006014323288827161
212,0.006009478546509478
213,0.006004679513467313
214,0.005999925657275627
215,0.005995216453616062
216,0.005990551386114517
217,0.005985929946182795
218,0.005981351632864227
219,0.00597681595268312
220,0.0059723224194979455
221,0.005967870554358131
222,0.005963459885364402
223,0.005959089947532489
224,0.0059547602826602
225,0.005950470439197665
226,0.005946219972120741
227,0.005942008442807455
228,0.0059378354189173746
229,0.00593370047427388
230,0.005929603188749185
231,0.005925543148152118
232,0.005921519944118477
233,0.005917533174004004
234,0.005913582440779797
235,0.005909667352930185
236,0.005905787524352926
237,0.005901942574261707
238,0.005898132127090869
239,0.005894355812402292
240,0.005890613264794393
241,0.005886904123813174
242,0.005883228033865256
243,0.0058795846441328506
244,0.005875973608490649
245,0.005872394585424498
246,0.0058688472379519255
247,0.005865331233544346
248,0.0058618462440510125
249,0.005858391945624596
250,0.00585496801864837
251,0.00585157414766497
252,0.005848210021306677
253,0.005844875332227185
254,0.005841569777034811
255,0.005838293056227124
256,0.0058350448741269455
