tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,9,1828,628,3,0
3,17,1845,645,3,0
4,11,1856,656,3,0
5,23,1879,679,3,0
6,8,1887,687,3,0
7,19,1906,706,3,0
8,12,1918,718,4,0
9,15,1933,733,5,0
10,11,1944,744,6,0
11,12,1956,756,6,0
12,15,1971,771,6,0
13,16,1987,787,6,0
14,16,2003,803,6,0
15,14,2017,817,6,0
16,12,2029,829,6,0
17,15,2044,844,6,0
18,6,2050,850,6,0
19,11,2061,861,6,0
20,13,2074,874,6,0
21,12,2086,886,6,0
22,9,2095,895,7,0
23,9,2104,904,7,0
24,11,2115,915,8,0
25,19,2134,934,8,0
26,16,2150,950,8,0
27,13,2163,963,8,0
28,12,2175,975,8,0
29,20,2195,995,8,0
30,16,2211,1011,8,0
31,17,2228,1028,8,0
32,10,2238,1038,8,0
33,8,2246,1046,8,0
34,9,2255,1055,8,0
35,13,2268,1068,8,0
36,11,2279,1079,8,0
37,8,2287,1087,8,0
38,9,2296,1096,8,0
39,12,2308,1108,8,0
40,10,2318,1118,8,0
41,14,2332,1132,8,0
42,17,2349,1149,8,0
43,13,2362,1162,8,0
44,17,2379,1179,8,0
45,12,2391,1191,9,0
46,17,2408,1208,9,0
47,18,2426,1226,9,0
48,11,2437,1237,9,0
49,7,2444,1244,9,0
50,11,2455,1255,9,0
51,10,2465,1265,9,0
52,17,2482,1282,9,0
53,8,2490,1290,9,0
54,6,2496,1296,9,0
55,10,2506,1306,9,0
56,9,2515,1315,9,0
57,14,2529,1329,9,0
58,12,2541,1341,9,0
59,12,1565,1353,10,988
60,10,1575,1363,10,0
61,11,1149,1374,11,437
62,5,1154,1379,11,0
63,6,1160,1385,11,0
64,1,1161,1386,11,0
65,4,1165,1390,11,0
66,3,1168,1393,11,0
67,5,1173,1398,11,0
68,2,1175,1400,11,0
69,4,1179,1404,11,0
70,0,1179,1404,11,0
71,2,1181,1406,11,0
72,3,1184,1409,11,0
73,5,1189,1414,11,0
74,5,1194,1419,11,0
75,2,1196,1421,11,0
76,2,1198,1423,11,0
77,2,1200,1425,11,0
78,2,1202,1427,11,0
79,3,1205,1430,11,0
80,4,1209,1434,11,0
81,3,1212,1437,11,0
82,3,1215,1440,11,0
83,3,1218,1443,11,0
84,1,1219,1444,11,0
85,4,964,1448,12,259
86,2,966,1450,12,0
87,1,967,1451,12,0
88,2,969,1453,12,0
89,1,970,1454,12,0
90,2,972,1456,12,0
91,0,972,1456,12,0
92,0,972,1456,12,0
93,2,974,1458,12,0
94,0,974,1458,12,0
95,1,975,1459,12,0
96,2,977,1461,12,0
97,2,979,1463,12,0
98,2,981,1465,12,0
99,1,982,1466,12,0
100,1,983,1467,12,0
101,0,983,1467,12,0
102,1,984,1468,12,0
103,0,984,1468,12,0
104,0,984,1468,12,0
105,0,984,1468,12,0
106,0,984,1468,12,0
107,0,984,1468,12,0
108,0,984,1468,12,0
109,1,985,1469,12,0
110,0,985,1469,12,0
111,2,987,1471,12,0
112,0,987,1471,12,0
113,3,730,1474,13,260
114,0,730,1474,13,0
115,0,730,1474,13,0
116,0,730,1474,13,0
117,0,730,1474,13,0
118,0,730,1474,13,0
119,0,730,1474,13,0
120,2,732,1476,13,0
121,0,732,1476,13,0
122,1,733,1477,13,0
123,0,733,1477,13,0
124,0,733,1477,13,0
125,0,733,1477,13,0
126,3,736,1480,13,0
127,0,736,1480,13,0
128,1,737,1481,13,0
129,0,737,1481,13,0
130,0,737,1481,13,0
131,0,737,1481,13,0
132,0,737,1481,13,0
133,0,737,1481,13,0
134,0,737,1481,13,0
135,0,737,1481,13,0
136,0,737,1481,13,0
137,0,737,1481,13,0
138,0,737,1481,13,0
139,0,737,1481,13,0
140,0,737,1481,13,0
141,0,737,1481,13,0
142,0,737,1481,13,0
143,0,737,1481,13,0
144,0,737,1481,13,0
145,0,737,1481,13,0
146,0,737,1481,13,0
147,0,737,1481,13,0
148,0,737,1481,13,0
149,0,737,1481,13,0
150,0,737,1481,13,0
151,0,737,1481,13,0
152,0,737,1481,13,0
153,0,737,1481,13,0
154,1,738,1482,13,0
155,0,738,1482,13,0
156,0,738,1482,13,0
157,0,738,1482,13,0
158,0,738,1482,13,0
159,0,738,1482,13,0
160,0,738,1482,13,0
161,0,738,1482,13,0
162,0,738,1482,13,0
163,0,738,1482,13,0
164,0,738,1482,13,0
165,0,738,1482,13,0
166,0,738,1482,13,0
167,0,738,1482,13,0
168,0,738,1482,13,0
169,0,738,1482,13,0
170,0,738,1482,13,0
171,1,739,1483,13,0
172,0,739,1483,13,0
173,0,739,1483,13,0
174,0,739,1483,13,0
175,0,739,1483,13,0
176,0,739,1483,13,0
177,0,739,1483,13,0
178,0,739,1483,13,0
179,0,739,1483,13,0
180,0,739,1483,13,0
181,0,739,1483,13,0
182,0,739,1483,13,0
183,0,739,1483,13,0
184,0,739,1483,13,0
185,0,739,1483,13,0
186,0,739,1483,13,0
187,0,739,1483,13,0
188,0,739,1483,13,0
189,0,739,1483,13,0
190,0,739,1483,13,0
191,0,739,1483,13,0
192,0,739,1483,13,0
193,0,739,1483,13,0
194,0,739,1483,13,0
195,0,739,1483,13,0
196,0,739,1483,13,0
197,0,739,1483,13,0
198,0,739,1483,13,0
199,0,739,1483,13,0
200,0,739,1483,13,0
201,0,739,1483,13,0
202,0,739,1483,13,0
203,0,739,1483,13,0
204,0,739,1483,13,0
205,0,739,1483,13,0
206,0,739,1483,13,0
207,0,739,1483,13,0
208,0,739,1483,13,0
209,0,739,1483,13,0
210,0,739,1483,13,0
211,0,739,1483,13,0
212,0,739,1483,13,0
213,0,739,1483,13,0
214,0,739,1483,13,0
215,0,739,1483,13,0
216,0,739,1483,13,0
217,0,739,1483,13,0
218,0,739,1483,13,0
219,0,739,1483,13,0
220,0,739,1483,13,0
221,0,739,1483,13,0
222,0,739,1483,13,0
223,0,739,1483,13,0
224,0,739,1483,13,0
225,0,739,1483,13,0
226,0,739,1483,13,0
227,0,739,1483,13,0
228,0,739,1483,13,0
229,0,739,1483,13,0
230,0,739,1483,13,0
231,0,739,1483,13,0
232,0,739,1483,13,0
233,0,739,1483,13,0
234,0,739,1483,13,0
235,0,739,1483,13,0
236,0,739,1483,13,0
237,0,739,1483,13,0
238,0,739,1483,13,0
239,0,739,1483,13,0
240,0,739,1483,13,0
241,0,739,1483,13,0
242,0,739,1483,13,0
243,0,739,1483,13,0
244,0,739,1483,13,0
245,0,739,1483,13,0
246,0,739,1483,13,0
247,0,739,1483,13,0
248,0,739,1483,13,0
249,0,739,1483,13,0
250,0,739,1483,13,0
251,0,739,1483,13,0
252,0,739,1483,13,0
253,0,739,1483,13,0
254,0,739,1483,13,0
255,0,739,1483,13,0
256,0,739,1483,13,0
257,0,739,1483,13,0
258,0,739,1483,13,0
259,0,739,1483,13,0
260,0,739,1483,13,0
261,0,739,1483,13,0
262,0,739,1483,13,0
263,0,739,1483,13,0
264,0,739,1483,13,0
265,0,739,1483,13,0
266,0,739,1483,13,0
267,0,739,1483,13,0
268,0,739,1483,13,0
269,0,739,1483,13,0
270,0,739,1483,13,0
271,0,739,1483,13,0
272,0,739,1483,13,0
273,0,739,1483,13,0
274,0,739,1483,13,0
275,0,739,1483,13,0
276,0,739,1483,13,0
277,0,739,1483,13,0
278,0,739,1483,13,0
279,0,739,1483,13,0
280,0,739,1483,13,0
281,0,739,1483,13,0
282,0,739,1483,13,0
283,0,739,1483,13,0
284,0,739,1483,13,0
285,0,739,1483,13,0
286,0,739,1483,13,0
287,0,739,1483,13,0
288,0,739,1483,13,0
289,0,739,1483,13,0
290,0,739,1483,13,0
291,0,739,1483,13,0
292,0,739,1483,13,0
293,0,739,1483,13,0
294,0,739,1483,13,0
295,0,739,1483,13,0
296,0,739,1483,13,0
297,0,739,1483,13,0
298,0,739,1483,13,0
299,0,739,1483,13,0
