tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,9,1828,628,3,0
3,17,1845,645,3,0
4,11,1856,656,3,0
5,23,1879,679,3,0
6,8,1887,687,3,0
7,19,1906,706,3,0
8,12,1918,718,4,0
9,15,1933,733,5,0
10,11,408,744,6,1536
11,0,408,744,6,0
12,0,408,744,6,0
13,0,408,744,6,0
14,0,408,744,6,0
15,1,409,745,6,0
16,0,409,745,6,0
17,0,409,745,6,0
18,0,409,745,6,0
19,1,410,746,6,0
20,1,411,747,6,0
21,1,412,748,6,0
22,0,412,748,6,0
23,0,412,748,6,0
24,0,412,748,6,0
25,1,413,749,6,0
26,0,413,749,6,0
27,0,413,749,6,0
28,0,413,749,6,0
29,0,413,749,6,0
30,1,414,750,6,0
31,0,414,750,6,0
32,0,414,750,6,0
33,0,414,750,6,0
34,1,415,751,6,0
35,1,416,752,6,0
36,0,416,752,6,0
37,0,416,752,6,0
38,0,416,752,6,0
39,0,416,752,6,0
40,0,416,752,6,0
41,0,416,752,6,0
42,0,416,752,6,0
43,0,416,752,6,0
44,0,416,752,6,0
45,0,416,752,6,0
46,0,416,752,6,0
47,0,416,752,6,0
48,1,417,753,6,0
49,0,417,753,6,0
50,0,417,753,6,0
51,0,417,753,6,0
52,0,417,753,6,0
53,0,417,753,6,0
54,0,417,753,6,0
55,0,417,753,6,0
56,0,417,753,6,0
57,0,417,753,6,0
58,0,417,753,6,0
59,0,417,753,6,0
60,0,417,753,6,0
61,0,417,753,6,0
62,0,417,753,6,0
63,0,417,753,6,0
64,0,417,753,6,0
65,0,417,753,6,0
66,0,417,753,6,0
67,0,417,753,6,0
68,0,417,753,6,0
69,0,417,753,6,0
70,0,417,753,6,0
71,0,417,753,6,0
72,0,417,753,6,0
73,0,417,753,6,0
74,0,417,753,6,0
75,0,417,753,6,0
76,0,417,753,6,0
77,0,417,753,6,0
78,0,417,753,6,0
79,0,417,753,6,0
80,0,417,753,6,0
81,0,417,753,6,0
82,0,417,753,6,0
83,0,417,753,6,0
84,0,417,753,6,0
85,0,417,753,6,0
86,0,417,753,6,0
87,0,417,753,6,0
88,0,417,753,6,0
89,0,417,753,6,0
90,0,417,753,6,0
91,0,417,753,6,0
92,0,417,753,6,0
93,0,417,753,6,0
94,0,417,753,6,0
95,0,417,753,6,0
96,0,417,753,6,0
97,0,417,753,6,0
98,0,417,753,6,0
99,0,417,753,6,0
100,0,417,753,6,0
101,0,417,753,6,0
102,0,417,753,6,0
103,0,417,753,6,0
104,0,417,753,6,0
105,0,417,753,6,0
106,0,417,753,6,0
107,0,417,753,6,0
108,0,417,753,6,0
109,0,417,753,6,0
110,0,417,753,6,0
111,0,417,753,6,0
112,0,417,753,6,0
113,0,417,753,6,0
114,0,417,753,6,0
115,0,417,753,6,0
116,0,417,753,6,0
117,0,417,753,6,0
118,0,417,753,6,0
119,0,417,753,6,0
120,0,417,753,6,0
121,0,417,753,6,0
122,0,417,753,6,0
123,0,417,753,6,0
124,0,417,753,6,0
125,0,417,753,6,0
126,0,417,753,6,0
127,0,417,753,6,0
128,0,417,753,6,0
129,0,417,753,6,0
130,0,417,753,6,0
131,0,417,753,6,0
132,0,417,753,6,0
133,0,417,753,6,0
134,0,417,753,6,0
135,0,417,753,6,0
136,0,417,753,6,0
137,0,417,753,6,0
138,0,417,753,6,0
139,0,417,753,6,0
140,0,417,753,6,0
141,0,417,753,6,0
142,0,417,753,6,0
143,0,417,753,6,0
144,0,417,753,6,0
145,0,417,753,6,0
146,0,417,753,6,0
147,0,417,753,6,0
148,0,417,753,6,0
149,0,417,753,6,0
150,0,417,753,6,0
151,0,417,753,6,0
152,0,417,753,6,0
153,0,417,753,6,0
154,0,417,753,6,0
155,0,417,753,6,0
156,0,417,753,6,0
157,0,417,753,6,0
158,0,417,753,6,0
159,0,417,753,6,0
160,0,417,753,6,0
161,0,417,753,6,0
162,0,417,753,6,0
163,0,417,753,6,0
164,0,417,753,6,0
165,0,417,753,6,0
166,0,417,753,6,0
167,0,417,753,6,0
168,0,417,753,6,0
169,0,417,753,6,0
170,0,417,753,6,0
171,0,417,753,6,0
172,0,417,753,6,0
173,0,417,753,6,0
174,0,417,753,6,0
175,0,417,753,6,0
176,0,417,753,6,0
177,0,417,753,6,0
