tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,9,1828,628,3,0
3,17,1845,645,3,0
4,11,1856,656,3,0
5,23,1879,679,3,0
6,8,1887,687,3,0
7,19,1906,706,3,0
8,12,1918,718,4,0
9,15,1933,733,5,0
10,11,1944,744,6,0
11,12,1956,756,6,0
12,15,1971,771,6,0
13,16,1987,787,6,0
14,16,2003,803,6,0
15,14,2017,817,6,0
16,12,2029,829,6,0
17,15,2044,844,6,0
18,6,2050,850,6,0
19,11,2061,861,6,0
20,13,2074,874,6,0
21,12,2086,886,6,0
22,9,2095,895,7,0
23,9,2104,904,7,0
24,11,817,915,8,1298
25,3,820,918,8,0
26,3,823,921,8,0
27,2,825,923,8,0
28,1,826,924,8,0
29,1,827,925,8,0
30,4,831,929,8,0
31,3,834,932,8,0
32,2,836,934,8,0
33,0,836,934,8,0
34,1,837,935,8,0
35,2,839,937,8,0
36,3,842,940,8,0
37,1,843,941,8,0
38,0,843,941,8,0
39,0,843,941,8,0
40,2,845,943,8,0
41,0,845,943,8,0
42,0,845,943,8,0
43,2,847,945,8,0
44,0,847,945,8,0
45,3,850,948,8,0
46,1,851,949,8,0
47,2,853,951,8,0
48,0,853,951,8,0
49,2,855,953,8,0
50,3,858,956,8,0
51,1,859,957,8,0
52,2,861,959,8,0
53,2,863,961,8,0
54,0,863,961,8,0
55,0,863,961,8,0
56,1,864,962,8,0
57,0,864,962,8,0
58,1,865,963,8,0
59,0,865,963,8,0
60,1,866,964,8,0
61,0,866,964,8,0
62,0,866,964,8,0
63,2,868,966,8,0
64,0,868,966,8,0
65,0,868,966,8,0
66,0,868,966,8,0
67,3,871,969,8,0
68,0,871,969,8,0
69,0,871,969,8,0
70,0,871,969,8,0
71,1,872,970,8,0
72,0,872,970,8,0
73,1,873,971,8,0
74,2,875,973,8,0
75,0,875,973,8,0
76,1,876,974,8,0
77,0,876,974,8,0
78,1,877,975,8,0
79,0,877,975,8,0
80,0,877,975,8,0
81,0,877,975,8,0
82,0,877,975,8,0
83,0,877,975,8,0
84,2,879,977,8,0
85,0,879,977,8,0
86,0,879,977,8,0
87,0,879,977,8,0
88,1,880,978,8,0
89,0,880,978,8,0
90,0,880,978,8,0
91,0,880,978,8,0
92,0,880,978,8,0
93,0,880,978,8,0
94,0,880,978,8,0
95,0,880,978,8,0
96,0,880,978,8,0
97,0,880,978,8,0
98,0,880,978,8,0
99,0,880,978,8,0
100,1,881,979,8,0
101,1,882,980,8,0
102,0,882,980,8,0
103,0,882,980,8,0
104,0,882,980,8,0
105,0,882,980,8,0
106,0,882,980,8,0
107,0,882,980,8,0
108,0,882,980,8,0
109,0,882,980,8,0
110,0,882,980,8,0
111,0,882,980,8,0
112,0,882,980,8,0
113,0,882,980,8,0
114,0,882,980,8,0
115,0,882,980,8,0
116,0,882,980,8,0
117,0,882,980,8,0
118,0,882,980,8,0
119,0,882,980,8,0
120,0,882,980,8,0
121,0,882,980,8,0
122,0,882,980,8,0
123,0,882,980,8,0
124,0,882,980,8,0
125,0,882,980,8,0
126,0,882,980,8,0
127,0,882,980,8,0
128,0,882,980,8,0
129,0,882,980,8,0
130,0,882,980,8,0
131,0,882,980,8,0
132,0,882,980,8,0
133,0,882,980,8,0
134,0,882,980,8,0
135,0,882,980,8,0
136,0,882,980,8,0
137,0,882,980,8,0
138,0,882,980,8,0
139,0,882,980,8,0
140,0,882,980,8,0
141,0,882,980,8,0
142,0,882,980,8,0
143,0,882,980,8,0
144,0,882,980,8,0
145,0,882,980,8,0
146,0,882,980,8,0
147,0,882,980,8,0
148,0,882,980,8,0
149,0,882,980,8,0
150,0,882,980,8,0
151,0,882,980,8,0
152,0,882,980,8,0
153,0,882,980,8,0
154,0,882,980,8,0
155,0,882,980,8,0
156,0,882,980,8,0
157,0,882,980,8,0
158,0,882,980,8,0
159,0,882,980,8,0
160,0,882,980,8,0
161,0,882,980,8,0
162,0,882,980,8,0
163,0,882,980,8,0
164,0,882,980,8,0
165,0,882,980,8,0
166,0,882,980,8,0
167,0,882,980,8,0
168,0,882,980,8,0
169,0,882,980,8,0
170,0,882,980,8,0
171,0,882,980,8,0
172,0,882,980,8,0
173,0,882,980,8,0
174,0,882,980,8,0
175,0,882,980,8,0
176,0,882,980,8,0
177,0,882,980,8,0
178,0,882,980,8,0
179,0,882,980,8,0
180,0,882,980,8,0
181,0,882,980,8,0
182,0,882,980,8,0
183,0,882,980,8,0
184,0,882,980,8,0
185,0,882,980,8,0
186,0,882,980,8,0
187,0,882,980,8,0
188,0,882,980,8,0
189,0,882,980,8,0
190,0,882,980,8,0
191,0,882,980,8,0
192,0,882,980,8,0
193,0,882,980,8,0
194,0,882,980,8,0
195,0,882,980,8,0
196,0,882,980,8,0
197,0,882,980,8,0
198,0,882,980,8,0
199,0,882,980,8,0
200,0,882,980,8,0
201,0,882,980,8,0
202,0,882,980,8,0
203,0,882,980,8,0
204,0,882,980,8,0
205,0,882,980,8,0
206,0,882,980,8,0
207,0,882,980,8,0
208,0,882,980,8,0
209,0,882,980,8,0
210,0,882,980,8,0
211,0,882,980,8,0
212,0,882,980,8,0
213,0,882,980,8,0
214,0,882,980,8,0
215,0,882,980,8,0
216,0,882,980,8,0
217,0,882,980,8,0
218,0,882,980,8,0
219,0,882,980,8,0
220,0,882,980,8,0
221,0,882,980,8,0
222,0,882,980,8,0
223,0,882,980,8,0
224,0,882,980,8,0
225,0,882,980,8,0
226,0,882,980,8,0
227,0,882,980,8,0
228,0,882,980,8,0
229,0,882,980,8,0
230,0,882,980,8,0
