tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,9,1828,628,3,0
3,17,1845,645,3,0
4,11,1856,656,3,0
5,23,1879,679,3,0
6,8,1887,687,3,0
7,19,1906,706,3,0
8,12,1918,718,4,0
9,15,1933,733,5,0
10,11,1944,744,6,0
11,12,1956,756,6,0
12,15,1971,771,6,0
13,16,1987,787,6,0
14,16,2003,803,6,0
15,14,2017,817,6,0
16,12,2029,829,6,0
17,15,2044,844,6,0
18,6,2050,850,6,0
19,11,2061,861,6,0
20,13,2074,874,6,0
21,12,2086,886,6,0
22,9,2095,895,7,0
23,9,2104,904,7,0
24,11,2115,915,8,0
25,19,2134,934,8,0
26,16,2150,950,8,0
27,13,2163,963,8,0
28,12,2175,975,8,0
29,20,2195,995,8,0
30,16,2211,1011,8,0
31,17,2228,1028,8,0
32,10,2238,1038,8,0
33,8,2246,1046,8,0
34,9,2255,1055,8,0
35,13,2268,1068,8,0
36,11,2279,1079,8,0
37,8,2287,1087,8,0
38,9,2296,1096,8,0
39,12,2308,1108,8,0
40,10,2318,1118,8,0
41,14,2332,1132,8,0
42,17,2349,1149,8,0
43,13,2362,1162,8,0
44,17,2379,1179,8,0
45,11,2390,1190,9,0
46,17,2407,1207,9,0
47,18,2425,1225,9,0
48,11,2436,1236,9,0
49,7,2443,1243,9,0
50,11,2454,1254,9,0
51,10,2464,1264,9,0
52,16,2480,1280,9,0
53,8,2488,1288,9,0
54,6,2494,1294,9,0
55,10,2504,1304,9,0
56,9,2513,1313,9,0
57,13,2526,1326,9,0
58,12,2538,1338,9,0
59,12,1560,1350,10,990
60,10,1570,1360,10,0
61,11,1143,1371,11,438
62,4,1147,1375,11,0
63,5,1152,1380,11,0
64,1,1153,1381,11,0
65,4,1157,1385,11,0
66,2,1159,1387,11,0
67,4,1163,1391,11,0
68,2,1165,1393,11,0
69,4,1169,1397,11,0
70,1,1170,1398,11,0
71,2,1172,1400,11,0
72,2,1174,1402,11,0
73,5,1179,1407,11,0
74,5,1184,1412,11,0
75,2,1186,1414,11,0
76,2,1188,1416,11,0
77,1,1189,1417,11,0
78,3,924,1420,12,268
79,2,926,1422,12,0
80,1,927,1423,12,0
81,2,929,1425,12,0
82,0,929,1425,12,0
83,0,929,1425,12,0
84,1,930,1426,12,0
85,3,933,1429,12,0
86,0,933,1429,12,0
87,1,934,1430,12,0
88,1,935,1431,12,0
89,0,935,1431,12,0
90,0,935,1431,12,0
91,1,666,1432,13,270
92,1,667,1433,13,0
93,0,667,1433,13,0
94,0,667,1433,13,0
95,0,667,1433,13,0
96,0,667,1433,13,0
97,0,667,1433,13,0
98,0,667,1433,13,0
99,0,667,1433,13,0
100,0,667,1433,13,0
101,0,667,1433,13,0
102,0,667,1433,13,0
103,1,668,1434,13,0
104,0,668,1434,13,0
105,0,668,1434,13,0
106,0,668,1434,13,0
107,0,668,1434,13,0
108,0,668,1434,13,0
109,1,669,1435,13,0
110,0,669,1435,13,0
111,0,669,1435,13,0
112,0,669,1435,13,0
113,0,669,1435,13,0
114,0,669,1435,13,0
115,0,669,1435,13,0
116,0,669,1435,13,0
117,0,669,1435,13,0
118,0,669,1435,13,0
119,0,669,1435,13,0
120,0,669,1435,13,0
121,0,669,1435,13,0
122,0,669,1435,13,0
123,0,669,1435,13,0
124,0,669,1435,13,0
125,0,669,1435,13,0
126,0,669,1435,13,0
127,0,669,1435,13,0
128,0,669,1435,13,0
129,0,669,1435,13,0
130,0,669,1435,13,0
131,0,669,1435,13,0
132,0,669,1435,13,0
133,0,669,1435,13,0
134,0,669,1435,13,0
135,0,669,1435,13,0
136,0,669,1435,13,0
137,0,669,1435,13,0
138,0,669,1435,13,0
139,0,669,1435,13,0
140,0,669,1435,13,0
141,0,669,1435,13,0
142,0,669,1435,13,0
143,0,669,1435,13,0
144,0,669,1435,13,0
145,0,669,1435,13,0
146,0,669,1435,13,0
147,0,669,1435,13,0
148,0,669,1435,13,0
149,0,669,1435,13,0
150,0,669,1435,13,0
151,0,669,1435,13,0
152,0,669,1435,13,0
153,0,669,1435,13,0
154,0,669,1435,13,0
155,0,669,1435,13,0
156,0,669,1435,13,0
157,0,669,1435,13,0
158,0,669,1435,13,0
159,0,669,1435,13,0
160,0,669,1435,13,0
161,0,669,1435,13,0
162,0,669,1435,13,0
163,0,669,1435,13,0
164,0,669,1435,13,0
165,0,669,1435,13,0
166,0,669,1435,13,0
167,0,669,1435,13,0
168,0,669,1435,13,0
169,0,669,1435,13,0
170,0,669,1435,13,0
171,0,669,1435,13,0
172,0,669,1435,13,0
173,0,669,1435,13,0
174,0,669,1435,13,0
175,0,669,1435,13,0
176,0,669,1435,13,0
177,0,669,1435,13,0
178,0,669,1435,13,0
179,0,669,1435,13,0
180,0,669,1435,13,0
181,0,669,1435,13,0
182,0,669,1435,13,0
183,0,669,1435,13,0
184,0,669,1435,13,0
185,0,669,1435,13,0
186,0,669,1435,13,0
187,0,669,1435,13,0
188,0,669,1435,13,0
189,0,669,1435,13,0
190,0,669,1435,13,0
191,0,669,1435,13,0
192,0,669,1435,13,0
193,0,669,1435,13,0
194,0,669,1435,13,0
195,0,669,1435,13,0
196,0,669,1435,13,0
197,0,669,1435,13,0
198,0,669,1435,13,0
199,0,669,1435,13,0
200,0,669,1435,13,0
201,0,669,1435,13,0
202,0,669,1435,13,0
203,0,669,1435,13,0
204,0,669,1435,13,0
205,0,669,1435,13,0
206,0,669,1435,13,0
207,0,669,1435,13,0
208,0,669,1435,13,0
209,0,669,1435,13,0
210,0,669,1435,13,0
211,0,669,1435,13,0
212,0,669,1435,13,0
213,0,669,1435,13,0
214,0,669,1435,13,0
215,0,669,1435,13,0
216,0,669,1435,13,0
217,0,669,1435,13,0
218,0,669,1435,13,0
219,0,669,1435,13,0
220,0,669,1435,13,0
221,0,669,1435,13,0
222,0,669,1435,13,0
223,0,669,1435,13,0
224,0,669,1435,13,0
225,0,669,1435,13,0
226,0,669,1435,13,0
227,0,669,1435,13,0
228,0,669,1435,13,0
229,0,669,1435,13,0
230,0,669,1435,13,0
231,0,669,1435,13,0
232,0,669,1435,13,0
233,0,669,1435,13,0
234,0,669,1435,13,0
235,0,669,1435,13,0
236,0,669,1435,13,0
237,0,669,1435,13,0
238,0,669,1435,13,0
