tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,9,1828,628,3,0
3,17,1845,645,3,0
4,11,1856,656,3,0
5,23,1879,679,3,0
6,8,1887,687,3,0
7,19,1906,706,3,0
8,12,1918,718,4,0
9,15,1933,733,5,0
10,11,1944,744,6,0
11,12,1956,756,6,0
12,15,1971,771,6,0
13,16,1987,787,6,0
14,16,2003,803,6,0
15,14,2017,817,6,0
16,12,2029,829,6,0
17,15,2044,844,6,0
18,6,2050,850,6,0
19,11,2061,861,6,0
20,13,2074,874,6,0
21,12,2086,886,6,0
22,9,2095,895,7,0
23,9,2104,904,7,0
24,11,2115,915,8,0
25,19,2134,934,8,0
26,16,2150,950,8,0
27,13,2163,963,8,0
28,12,2175,975,8,0
29,20,2195,995,8,0
30,16,2211,1011,8,0
31,17,2228,1028,8,0
32,10,2238,1038,8,0
33,8,2246,1046,8,0
34,9,2255,1055,8,0
35,13,2268,1068,8,0
36,11,2279,1079,8,0
37,8,2287,1087,8,0
38,9,2296,1096,8,0
39,12,2308,1108,8,0
40,10,2318,1118,8,0
41,14,2332,1132,8,0
42,17,2349,1149,8,0
43,13,2362,1162,8,0
44,17,2379,1179,8,0
45,11,2390,1190,9,0
46,17,2407,1207,9,0
47,18,2425,1225,9,0
48,11,2436,1236,9,0
49,7,2443,1243,9,0
50,11,2454,1254,9,0
51,10,2464,1264,9,0
52,16,2480,1280,9,0
53,8,2488,1288,9,0
54,6,2494,1294,9,0
55,10,2504,1304,9,0
56,9,2513,1313,9,0
57,13,2526,1326,9,0
58,12,2538,1338,9,0
59,12,2550,1350,10,0
60,14,2564,1364,10,0
61,15,2579,1379,11,0
62,15,2594,1394,11,0
63,15,2609,1409,11,0
64,11,2620,1420,11,0
65,15,2635,1435,11,0
66,13,2648,1448,11,0
67,13,2661,1461,11,0
68,12,2673,1473,11,0
69,11,2684,1484,12,0
70,13,2697,1497,12,0
71,18,2715,1515,12,0
72,14,2729,1529,12,0
73,13,2742,1542,12,0
74,14,2756,1556,12,0
75,9,2765,1565,12,0
76,11,2776,1576,12,0
77,15,2791,1591,12,0
78,13,2804,1604,12,0
79,13,2817,1617,13,0
80,14,2831,1631,13,0
81,12,2843,1643,13,0
82,16,1993,1659,14,866
83,3,1996,1662,14,0
84,9,1623,1671,15,382
85,7,1630,1678,15,0
86,5,1635,1683,15,0
87,3,1638,1686,15,0
88,10,1648,1696,15,0
89,8,1656,1704,15,0
90,5,1661,1709,15,0
91,2,1663,1711,15,0
92,2,1665,1713,15,0
93,7,1672,1720,15,0
94,3,1675,1723,15,0
95,5,1680,1728,15,0
96,6,1686,1734,15,0
97,5,1691,1739,15,0
98,5,1696,1744,15,0
99,6,1702,1750,15,0
100,2,1704,1752,15,0
101,7,1711,1759,15,0
102,3,1714,1762,15,0
103,3,1717,1765,15,0
104,5,1722,1770,15,0
105,5,1727,1775,15,0
106,1,1728,1776,15,0
107,0,1728,1776,15,0
108,5,1733,1781,15,0
109,4,1737,1785,15,0
110,1,1738,1786,15,0
111,2,1740,1788,15,0
112,1,1741,1789,15,0
113,3,1744,1792,15,0
114,4,1748,1796,15,0
115,3,1751,1799,15,0
116,2,1753,1801,15,0
117,2,1755,1803,15,0
118,1,1756,1804,15,0
119,2,1758,1806,15,0
120,3,1761,1809,15,0
121,0,1761,1809,15,0
122,2,1763,1811,15,0
123,1,1764,1812,15,0
124,2,1766,1814,15,0
125,1,1767,1815,15,0
126,1,1768,1816,15,0
127,0,1768,1816,15,0
128,1,1769,1817,15,0
129,2,1771,1819,15,0
130,2,1773,1821,15,0
131,0,1773,1821,15,0
132,1,1774,1822,15,0
133,0,1774,1822,15,0
134,1,1775,1823,15,0
135,1,1776,1824,15,0
136,0,1776,1824,15,0
137,1,1777,1825,15,0
138,2,1779,1827,15,0
139,1,1780,1828,15,0
140,1,1781,1829,15,0
141,0,1781,1829,15,0
142,0,1781,1829,15,0
143,0,1781,1829,15,0
144,0,1781,1829,15,0
145,0,1781,1829,15,0
146,1,1782,1830,15,0
147,1,1783,1831,15,0
148,0,1783,1831,15,0
149,2,1785,1833,15,0
150,0,1785,1833,15,0
151,1,1786,1834,15,0
152,0,1786,1834,15,0
153,0,1786,1834,15,0
154,1,1787,1835,15,0
155,0,1787,1835,15,0
156,0,1787,1835,15,0
157,0,1787,1835,15,0
158,1,1788,1836,15,0
159,3,1791,1839,15,0
160,1,1792,1840,15,0
161,1,1793,1841,15,0
162,0,1793,1841,15,0
163,1,1794,1842,15,0
164,0,1794,1842,15,0
165,0,1794,1842,15,0
166,0,1794,1842,15,0
167,0,1794,1842,15,0
168,0,1794,1842,15,0
169,1,1795,1843,15,0
170,0,1795,1843,15,0
171,1,1796,1844,15,0
172,1,1797,1845,15,0
173,0,1797,1845,15,0
174,0,1797,1845,15,0
175,0,1797,1845,15,0
176,0,1797,1845,15,0
177,0,1797,1845,15,0
178,0,1797,1845,15,0
179,0,1797,1845,15,0
180,0,1797,1845,15,0
181,0,1797,1845,15,0
182,0,1797,1845,15,0
183,0,1797,1845,15,0
184,0,1797,1845,15,0
185,0,1797,1845,15,0
186,0,1797,1845,15,0
187,0,1797,1845,15,0
188,0,1797,1845,15,0
189,0,1797,1845,15,0
190,0,1797,1845,15,0
191,0,1797,1845,15,0
192,0,1797,1845,15,0
193,0,1797,1845,15,0
194,0,1797,1845,15,0
195,0,1797,1845,15,0
196,0,1797,1845,15,0
197,0,1797,1845,15,0
198,0,1797,1845,15,0
199,0,1797,1845,15,0
200,0,1797,1845,15,0
201,0,1797,1845,15,0
202,0,1797,1845,15,0
203,0,1797,1845,15,0
204,0,1797,1845,15,0
205,0,1797,1845,15,0
206,0,1797,1845,15,0
207,0,1797,1845,15,0
208,0,1797,1845,15,0
209,0,1797,1845,15,0
210,0,1797,1845,15,0
211,0,1797,1845,15,0
212,0,1797,1845,15,0
213,0,1797,1845,15,0
214,0,1797,1845,15,0
215,0,1797,1845,15,0
216,0,1797,1845,15,0
217,0,1797,1845,15,0
218,0,1797,1845,15,0
219,0,1797,1845,15,0
220,0,1797,1845,15,0
221,0,1797,1845,15,0
222,0,1797,1845,15,0
223,0,1797,1845,15,0
224,0,1797,1845,15,0
225,0,1797,1845,15,0
226,0,1797,1845,15,0
227,0,1797,1845,15,0
228,0,1797,1845,15,0
229,0,1797,1845,15,0
230,0,1797,1845,15,0
231,0,1797,1845,15,0
232,0,1797,1845,15,0
233,0,1797,1845,15,0
234,0,1797,1845,15,0
235,0,1797,1845,15,0
236,0,1797,1845,15,0
237,0,1797,1845,15,0
238,0,1797,1845,15,0
239,0,1797,1845,15,0
240,0,1797,1845,15,0
241,0,1797,1845,15,0
242,0,1797,1845,15,0
243,0,1797,1845,15,0
244,0,1797,1845,15,0
245,0,1797,1845,15,0
246,0,1797,1845,15,0
247,0,1797,1845,15,0
248,0,1797,1845,15,0
249,0,1797,1845,15,0
250,0,1797,1845,15,0
251,0,1797,1845,15,0
252,0,1797,1845,15,0
253,0,1797,1845,15,0
254,0,1797,1845,15,0
255,0,1797,1845,15,0
256,0,1797,1845,15,0
257,0,1797,1845,15,0
258,0,1797,1845,15,0
259,0,1797,1845,15,0
260,0,1797,1845,15,0
261,0,1797,1845,15,0
262,0,1797,1845,15,0
263,0,1797,1845,15,0
264,0,1797,1845,15,0
265,0,1797,1845,15,0
266,0,1797,1845,15,0
267,0,1797,1845,15,0
268,0,1797,1845,15,0
269,0,1797,1845,15,0
270,0,1797,1845,15,0
271,0,1797,1845,15,0
272,0,1797,1845,15,0
273,0,1797,1845,15,0
274,0,1797,1845,15,0
275,0,1797,1845,15,0
276,0,1797,1845,15,0
277,0,1797,1845,15,0
278,0,1797,1845,15,0
279,0,1797,1845,15,0
280,0,1797,1845,15,0
281,0,1797,1845,15,0
282,0,1797,1845,15,0
283,0,1797,1845,15,0
284,0,1797,1845,15,0
