tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,9,1828,628,3,0
3,17,1845,645,3,0
4,11,1856,656,3,0
5,23,1879,679,3,0
6,8,1887,687,3,0
7,19,1906,706,3,0
8,12,1918,718,4,0
9,15,1933,733,5,0
10,11,1944,744,6,0
11,12,1956,756,6,0
12,15,1971,771,6,0
13,16,1987,787,6,0
14,16,2003,803,6,0
15,14,2017,817,6,0
16,12,2029,829,6,0
17,15,2044,844,6,0
18,6,2050,850,6,0
19,11,2061,861,6,0
20,13,2074,874,6,0
21,12,2086,886,6,0
22,9,2095,895,7,0
23,9,2104,904,7,0
24,11,2115,915,8,0
25,19,2134,934,8,0
26,16,2150,950,8,0
27,13,2163,963,8,0
28,12,2175,975,8,0
29,20,2195,995,8,0
30,16,2211,1011,8,0
31,17,2228,1028,8,0
32,10,2238,1038,8,0
33,8,2246,1046,8,0
34,9,2255,1055,8,0
35,13,2268,1068,8,0
36,11,2279,1079,8,0
37,8,2287,1087,8,0
38,9,2296,1096,8,0
39,12,2308,1108,8,0
40,10,2318,1118,8,0
41,14,2332,1132,8,0
42,17,2349,1149,8,0
43,13,2362,1162,8,0
44,17,2379,1179,8,0
45,11,2390,1190,9,0
46,17,2407,1207,9,0
47,18,2425,1225,9,0
48,11,2436,1236,9,0
49,7,2443,1243,9,0
50,11,2454,1254,9,0
51,10,2464,1264,9,0
52,16,2480,1280,9,0
53,8,2488,1288,9,0
54,6,2494,1294,9,0
55,10,2504,1304,9,0
56,9,2513,1313,9,0
57,13,2526,1326,9,0
58,12,2538,1338,9,0
59,12,2550,1350,10,0
60,14,2564,1364,10,0
61,15,2579,1379,11,0
62,15,2594,1394,11,0
63,15,2609,1409,11,0
64,11,2620,1420,11,0
65,15,2635,1435,11,0
66,13,2648,1448,11,0
67,13,2661,1461,11,0
68,12,2673,1473,11,0
69,11,2684,1484,12,0
70,13,2697,1497,12,0
71,18,2715,1515,12,0
72,14,2729,1529,12,0
73,13,2742,1542,12,0
74,14,2756,1556,12,0
75,9,2765,1565,12,0
76,11,2776,1576,12,0
77,15,2791,1591,12,0
78,13,2804,1604,12,0
79,13,2817,1617,13,0
80,14,2831,1631,13,0
81,12,2843,1643,13,0
82,16,2859,1659,14,0
83,6,2865,1665,14,0
84,9,2874,1674,15,0
85,13,2887,1687,15,0
86,12,2899,1699,15,0
87,12,2911,1711,15,0
88,17,2928,1728,15,0
89,19,2947,1747,16,0
90,11,2958,1758,16,0
91,15,2973,1773,16,0
92,9,2982,1782,17,0
93,9,2991,1791,17,0
94,10,3001,1801,17,0
95,11,3012,1812,17,0
96,12,3024,1824,17,0
97,9,3033,1833,17,0
98,14,3047,1847,17,0
99,17,3064,1864,17,0
100,12,3076,1876,17,0
101,15,3091,1891,17,0
102,15,3106,1906,17,0
103,15,3121,1921,17,0
104,8,3129,1929,17,0
105,13,3142,1942,17,0
106,21,3163,1963,17,0
107,10,3173,1973,17,0
108,11,3184,1984,17,0
109,11,3195,1995,17,0
110,10,3205,2005,17,0
111,14,3219,2019,17,0
112,16,3235,2035,17,0
113,11,2503,2046,18,743
114,9,2512,2055,18,0
115,6,2518,2061,18,0
116,6,2524,2067,18,0
117,9,2533,2076,18,0
118,7,2540,2083,18,0
119,14,2554,2097,18,0
120,12,2566,2109,18,0
121,11,2258,2120,19,319
122,8,2266,2128,19,0
123,5,2271,2133,19,0
124,6,2277,2139,19,0
125,7,2284,2146,19,0
126,13,2297,2159,19,0
127,11,2308,2170,19,0
128,6,2314,2176,19,0
129,6,2320,2182,19,0
130,5,2325,2187,19,0
131,6,2331,2193,19,0
132,5,2336,2198,19,0
133,3,2339,2201,19,0
134,4,2343,2205,19,0
135,1,2344,2206,19,0
136,2,2346,2208,19,0
137,7,2163,2215,20,190
138,4,1965,2219,21,202
139,2,1967,2221,21,0
140,3,1970,2224,21,0
141,4,1974,2228,21,0
142,4,1978,2232,21,0
143,1,1979,2233,21,0
144,5,1984,2238,21,0
145,5,1989,2243,21,0
146,1,1990,2244,21,0
147,1,1991,2245,21,0
148,0,1991,2245,21,0
149,2,1993,2247,21,0
150,3,1996,2250,21,0
151,0,1996,2250,21,0
152,1,1997,2251,21,0
153,0,1997,2251,21,0
154,1,1998,2252,21,0
155,0,1998,2252,21,0
156,0,1998,2252,21,0
157,1,1999,2253,21,0
158,2,2001,2255,21,0
159,1,2002,2256,21,0
160,2,2004,2258,21,0
161,1,2005,2259,21,0
162,1,2006,2260,21,0
163,0,2006,2260,21,0
164,2,2008,2262,21,0
165,1,2009,2263,21,0
166,0,2009,2263,21,0
167,0,2009,2263,21,0
168,1,2010,2264,21,0
169,1,2011,2265,21,0
170,0,2011,2265,21,0
171,0,2011,2265,21,0
172,1,2012,2266,21,0
173,0,2012,2266,21,0
174,0,2012,2266,21,0
175,2,2014,2268,21,0
176,0,2014,2268,21,0
177,0,2014,2268,21,0
178,0,2014,2268,21,0
179,0,2014,2268,21,0
180,0,2014,2268,21,0
181,0,2014,2268,21,0
182,0,2014,2268,21,0
183,1,2015,2269,21,0
184,0,2015,2269,21,0
185,0,2015,2269,21,0
186,0,2015,2269,21,0
187,0,2015,2269,21,0
188,0,2015,2269,21,0
189,0,2015,2269,21,0
190,1,2016,2270,21,0
191,0,2016,2270,21,0
192,0,2016,2270,21,0
193,0,2016,2270,21,0
194,0,2016,2270,21,0
195,0,2016,2270,21,0
196,0,2016,2270,21,0
197,0,2016,2270,21,0
198,0,2016,2270,21,0
199,0,2016,2270,21,0
200,0,2016,2270,21,0
201,0,2016,2270,21,0
202,0,2016,2270,21,0
203,0,2016,2270,21,0
204,0,2016,2270,21,0
205,0,2016,2270,21,0
206,0,2016,2270,21,0
207,0,2016,2270,21,0
208,0,2016,2270,21,0
209,0,2016,2270,21,0
210,0,2016,2270,21,0
211,0,2016,2270,21,0
212,0,2016,2270,21,0
213,0,2016,2270,21,0
214,0,2016,2270,21,0
215,1,2017,2271,21,0
216,0,2017,2271,21,0
217,0,2017,2271,21,0
218,0,2017,2271,21,0
219,0,2017,2271,21,0
220,0,2017,2271,21,0
221,0,2017,2271,21,0
222,0,2017,2271,21,0
223,0,2017,2271,21,0
224,0,2017,2271,21,0
225,0,2017,2271,21,0
226,1,2018,2272,21,0
227,0,2018,2272,21,0
228,0,2018,2272,21,0
229,0,2018,2272,21,0
230,0,2018,2272,21,0
231,0,2018,2272,21,0
232,0,2018,2272,21,0
233,0,2018,2272,21,0
234,0,2018,2272,21,0
235,0,2018,2272,21,0
236,0,2018,2272,21,0
237,0,2018,2272,21,0
238,0,2018,2272,21,0
239,0,2018,2272,21,0
240,0,2018,2272,21,0
241,0,2018,2272,21,0
242,0,2018,2272,21,0
243,0,2018,2272,21,0
244,0,2018,2272,21,0
245,0,2018,2272,21,0
246,0,2018,2272,21,0
247,0,2018,2272,21,0
248,0,2018,2272,21,0
249,0,2018,2272,21,0
250,0,2018,2272,21,0
251,0,2018,2272,21,0
252,0,2018,2272,21,0
253,0,2018,2272,21,0
254,0,2018,2272,21,0
255,0,2018,2272,21,0
256,0,2018,2272,21,0
257,0,2018,2272,21,0
258,0,2018,2272,21,0
259,0,2018,2272,21,0
260,0,2018,2272,21,0
261,0,2018,2272,21,0
262,0,2018,2272,21,0
263,0,2018,2272,21,0
264,0,2018,2272,21,0
265,0,2018,2272,21,0
266,0,2018,2272,21,0
267,0,2018,2272,21,0
268,0,2018,2272,21,0
269,0,2018,2272,21,0
270,0,2018,2272,21,0
271,0,2018,2272,21,0
272,0,2018,2272,21,0
273,0,2018,2272,21,0
274,0,2018,2272,21,0
275,0,2018,2272,21,0
276,0,2018,2272,21,0
277,0,2018,2272,21,0
278,0,2018,2272,21,0
279,0,2018,2272,21,0
280,0,2018,2272,21,0
281,0,2018,2272,21,0
282,0,2018,2272,21,0
283,0,2018,2272,21,0
284,0,2018,2272,21,0
