t,P
1,0.5
2,0.28382557000056474
3,0.18057868925566903
4,0.12821687075639113
5,0.09986315253482657
6,0.08340802002904665
7,0.07317489009090844
8,0.066389583408194
9,0.06163407028000605
10,0.058147376591184956
11,0.055499402916695605
12,0.05343374708905807
13,0.051789347186769204
14,0.050459973254836255
15,0.04937245568752231
16,0.04847449375283497
17,0.04772753422267694
18,0.047102432880261266
19,0.046576702443282825
20,0.0461327001718758
21,0.04575639341225645
22,0.04543649352987497
23,0.045163832548091636
24,0.04493090452159771
25,0.044731521710797424
26,0.04456055262896882
27,0.04441371966655599
28,0.04428744083637957
29,0.044178704699276435
30,0.04408497058232796
31,0.04400408830950271
32,0.043934233147423486
33,0.043873852729938975
34,0.04382162349575393
35,0.04377641474061921
36,0.0437372588082711
37,0.043703326262780395
38,0.04367390512736852
39,0.04364838346097078
40,0.04362623468813924
41,0.04360700521061001
42,0.04359030391759255
43,0.04357579328216804
44,0.043563181787298434
45,0.04355221746999787
46,0.04354268240859528
47,0.04353438800755091
48,0.04352717095839285
49,0.04352088977510138
50,0.04351542181854793
51,0.04351066073805864
52,0.043506514269351516
53,0.04350290233741289
54,0.043499755420668286
55,0.0434970131393374
56,0.043494623036357975
57,0.043492539523900794
58,0.04349072297241636
59,0.043489138922476155
60,0.04348775740249261
61,0.04348655233780079
62,0.04348550103863231
63,0.043484583756256225
64,0.0434837832980573
65,0.043483084693598385
66,0.04348247490481079
67,0.04348194257439706
68,0.04348147780733752
69,0.04348107198108863
70,0.04348071758065753
71,0.043480408055253925
72,0.043480137693663455
73,0.04347990151587113
74,0.04347969517879304
75,0.04347951489426167
76,0.043479357357655686
77,0.04347921968578032
78,0.043479099362787876
79,0.04347899419308858
80,0.04347890226034077
81,0.04347882189172861
82,0.04347875162684036
83,0.04347869019054996
84,0.043478636469383034
85,0.043478589490916375
86,0.04347854840581857
87,0.04347851247219098
88,0.043478481041912084
89,0.04347845354872776
90,0.043478429497861945
91,0.043478408456953346
92,0.04347839004814698
93,0.04347837394119316
94,0.04347835984742447
95,0.04347834751449868
96,0.04347833672180916
97,0.043478327276478226
98,0.043478319009858366
99,0.04347831177447696
100,0.043478305441368076
101,0.043478299897741685
102,0.043478295044947816
103,0.043478290796697766
104,0.04347828707751028
105,0.043478283821353346
106,0.04347828097045786
107,0.043478278474280256
108,0.043478276288596206
109,0.04347827437470822
110,0.04347827269875304
111,0.04347827123109594
112,0.04347826994580154
113,0.043478268820170474
114,0.043478267834334845
115,0.043478266970904136
116,0.04347826621465539
117,0.043478265552262606
118,0.04347826497205968
119,0.04347826446383324
120,0.04347826401864137
121,0.04347826362865494
122,0.04347826328701886
123,0.043478262987730706
124,0.04347826272553435
125,0.04347826249582708
126,0.043478262294578185
127,0.0434782621182578
128,0.04347826196377445
129,0.04347826182842061
130,0.04347826170982492
131,0.04347826160591027
132,0.04347826151485748
133,0.04347826143507298
134,0.04347826136516088
135,0.043478261303898466
136,0.04347826125021452
137,0.043478261203170776
138,0.04347826116194516
139,0.0434782611258175
140,0.043478261094156916
141,0.043478261066410576
142,0.043478261042094186
143,0.04347826102078343
144,0.04347826100210653
145,0.043478260985737725
146,0.04347826097139158
147,0.04347826095881801
148,0.04347826094779784
149,0.04347826093813903
150,0.04347826092967332
151,0.043478260922253216
152,0.04347826091574955
153,0.043478260910049034
154,0.04347826090505241
155,0.04347826090067278
156,0.043478260896833876
157,0.043478260893468915
158,0.04347826089051932
159,0.04347826088793387
160,0.043478260885667516
161,0.043478260883680904
162,0.04347826088193947
163,0.04347826088041296
164,0.04347826087907479
165,0.043478260877901784
166,0.043478260876873495
167,0.04347826087597206
168,0.04347826087518188
169,0.04347826087448917
170,0.04347826087388191
171,0.04347826087334955
172,0.0434782608728829
173,0.04347826087247378
174,0.04347826087211511
175,0.04347826087180073
176,0.04347826087152508
177,0.04347826087128342
178,0.04347826087107158
179,0.043478260870885854
180,0.043478260870723054
181,0.04347826087058031
182,0.04347826087045517
183,0.04347826087034543
184,0.04347826087024928
185,0.04347826087016494
186,0.04347826087009103
187,0.04347826087002622
188,0.043478260869969386
189,0.04347826086991958
190,0.04347826086987588
191,0.043478260869837596
192,0.04347826086980404
193,0.04347826086977458
194,0.04347826086974877
195,0.043478260869726164
196,0.04347826086970632
197,0.043478260869688944
198,0.04347826086967369
199,0.04347826086966032
200,0.04347826086964859
201,0.04347826086963832
202,0.04347826086962932
203,0.04347826086962141
204,0.043478260869614475
205,0.04347826086960842
206,0.04347826086960311
207,0.043478260869598426
208,0.04347826086959433
209,0.04347826086959073
210,0.043478260869587594
211,0.043478260869584846
212,0.04347826086958241
213,0.043478260869580294
214,0.04347826086957842
215,0.043478260869576825
216,0.04347826086957538
217,0.043478260869574126
218,0.04347826086957305
219,0.043478260869572065
220,0.04347826086957121
221,0.043478260869570476
222,0.04347826086956983
223,0.04347826086956926
224,0.04347826086956877
225,0.04347826086956834
226,0.04347826086956794
227,0.043478260869567624
228,0.04347826086956731
229,0.043478260869567055
230,0.04347826086956684
231,0.04347826086956664
232,0.043478260869566465
233,0.04347826086956629
234,0.043478260869566174
235,0.043478260869566035
236,0.04347826086956593
237,0.043478260869565855
238,0.04347826086956578
239,0.04347826086956572
240,0.04347826086956564
241,0.04347826086956558
242,0.04347826086956553
243,0.0434782608695655
244,0.04347826086956545
245,0.04347826086956543
246,0.043478260869565404
247,0.04347826086956537
248,0.04347826086956536
249,0.04347826086956534
250,0.04347826086956532
251,0.04347826086956531
252,0.04347826086956531
253,0.043478260869565286
254,0.04347826086956528
255,0.04347826086956528
256,0.04347826086956528
