tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,9,1828,628,3,0
3,17,1845,645,3,0
4,11,1856,656,3,0
5,23,1879,679,3,0
6,8,1887,687,3,0
7,19,1906,706,3,0
8,12,1918,718,4,0
9,15,1933,733,5,0
10,11,1944,744,6,0
11,12,1956,756,6,0
12,15,1971,771,6,0
13,16,1987,787,6,0
14,16,2003,803,6,0
15,14,2017,817,6,0
16,12,2029,829,6,0
17,15,2044,844,6,0
18,6,2050,850,6,0
19,11,2061,861,6,0
20,13,2074,874,6,0
21,12,2086,886,6,0
22,9,2095,895,7,0
23,9,2104,904,7,0
24,11,2115,915,8,0
25,19,2134,934,8,0
26,16,2150,950,8,0
27,13,2163,963,8,0
28,12,2175,975,8,0
29,20,2195,995,8,0
30,16,2211,1011,8,0
31,17,2228,1028,8,0
32,10,2238,1038,8,0
33,8,2246,1046,8,0
34,9,2255,1055,8,0
35,13,2268,1068,8,0
36,11,2279,1079,8,0
37,8,2287,1087,8,0
38,9,2296,1096,8,0
39,12,2308,1108,8,0
40,10,2318,1118,8,0
41,14,2332,1132,8,0
42,17,2349,1149,8,0
43,13,2362,1162,8,0
44,17,2379,1179,8,0
45,11,2390,1190,9,0
46,17,2407,1207,9,0
47,18,2425,1225,9,0
48,11,2436,1236,9,0
49,7,2443,1243,9,0
50,11,2454,1254,9,0
51,10,2464,1264,9,0
52,16,2480,1280,9,0
53,8,2488,1288,9,0
54,6,2494,1294,9,0
55,10,2504,1304,9,0
56,9,2513,1313,9,0
57,13,2526,1326,9,0
58,12,2538,1338,9,0
59,12,2550,1350,10,0
60,14,2564,1364,10,0
61,15,2579,1379,11,0
62,15,2594,1394,11,0
63,15,2609,1409,11,0
64,11,2620,1420,11,0
65,15,2635,1435,11,0
66,13,2648,1448,11,0
67,13,2661,1461,11,0
68,12,2673,1473,11,0
69,11,2684,1484,12,0
70,13,2697,1497,12,0
71,18,2715,1515,12,0
72,14,2729,1529,12,0
73,13,2742,1542,12,0
74,14,2756,1556,12,0
75,9,2765,1565,12,0
76,11,2776,1576,12,0
77,15,2791,1591,12,0
78,13,2804,1604,12,0
79,13,2817,1617,13,0
80,14,2831,1631,13,0
81,12,2843,1643,13,0
82,16,2859,1659,14,0
83,6,2865,1665,14,0
84,9,2874,1674,15,0
85,13,2887,1687,15,0
86,12,2899,1699,15,0
87,12,2911,1711,15,0
88,17,2928,1728,15,0
89,19,2947,1747,16,0
90,11,2958,1758,16,0
91,15,2973,1773,16,0
92,9,2982,1782,17,0
93,9,2991,1791,17,0
94,10,3001,1801,17,0
95,11,3012,1812,17,0
96,12,3024,1824,17,0
97,9,3033,1833,17,0
98,14,3047,1847,17,0
99,17,3064,1864,17,0
100,12,3076,1876,17,0
101,15,3091,1891,17,0
102,15,3106,1906,17,0
103,15,3121,1921,17,0
104,8,3129,1929,17,0
105,13,3142,1942,17,0
106,21,3163,1963,17,0
107,10,3173,1973,17,0
108,11,3184,1984,17,0
109,11,3195,1995,17,0
110,10,3205,2005,17,0
111,14,3219,2019,17,0
112,16,3235,2035,17,0
113,11,3246,2046,18,0
114,9,3255,2055,18,0
115,7,3262,2062,18,0
116,9,3271,2071,18,0
117,14,3285,2085,18,0
118,11,3296,2096,18,0
119,17,3313,2113,18,0
120,14,3327,2127,18,0
121,12,3339,2139,18,0
122,12,3351,2151,18,0
123,6,3357,2157,18,0
124,13,3370,2170,18,0
125,10,3380,2180,18,0
126,17,3397,2197,18,0
127,16,3413,2213,18,0
128,9,3422,2222,18,0
129,13,3435,2235,18,0
130,12,3447,2247,18,0
131,16,3463,2263,18,0
132,12,3475,2275,18,0
133,7,3482,2282,18,0
134,13,3495,2295,19,0
135,11,3506,2306,19,0
136,16,3522,2322,19,0
137,10,3532,2332,19,0
138,7,3539,2339,19,0
139,11,3550,2350,19,0
140,10,3560,2360,19,0
141,11,3571,2371,19,0
142,8,3579,2379,19,0
143,14,3593,2393,20,0
144,9,3602,2402,20,0
145,8,3610,2410,20,0
146,9,3619,2419,20,0
147,5,3624,2424,21,0
148,11,3635,2435,21,0
149,15,3650,2450,21,0
150,15,3665,2465,21,0
151,5,3670,2470,21,0
152,12,3682,2482,21,0
153,13,3695,2495,21,0
154,9,3704,2504,21,0
155,8,3712,2512,21,0
156,13,3725,2525,21,0
157,13,3738,2538,21,0
158,14,3752,2552,21,0
159,10,3762,2562,21,0
160,9,3771,2571,21,0
161,7,3778,2578,21,0
162,11,3789,2589,21,0
163,16,3805,2605,22,0
164,10,3815,2615,22,0
165,6,3821,2621,22,0
166,8,3829,2629,22,0
167,9,3838,2638,22,0
168,12,3850,2650,22,0
169,7,3857,2657,22,0
170,6,3863,2663,22,0
171,9,3872,2672,22,0
172,12,3884,2684,22,0
173,8,3892,2692,22,0
174,6,3898,2698,22,0
175,19,3917,2717,22,0
176,7,3924,2724,22,0
177,8,3932,2732,22,0
178,11,3943,2743,22,0
179,12,3955,2755,22,0
180,6,3961,2761,22,0
181,8,3969,2769,22,0
182,6,3975,2775,22,0
183,13,3988,2788,23,0
184,9,3997,2797,24,0
185,13,4010,2810,24,0
186,7,4017,2817,24,0
187,5,4022,2822,24,0
188,14,4036,2836,24,0
189,6,4042,2842,24,0
190,11,4053,2853,24,0
191,7,4060,2860,24,0
192,7,4067,2867,24,0
193,5,4072,2872,24,0
194,11,4083,2883,25,0
195,8,3522,2891,26,569
196,7,3529,2898,26,0
197,4,3533,2902,26,0
198,5,3538,2907,26,0
199,8,3546,2915,26,0
200,15,3561,2930,26,0
201,7,3568,2937,26,0
202,6,3574,2943,26,0
203,2,3576,2945,26,0
204,8,3584,2953,26,0
205,3,3587,2956,26,0
206,5,3592,2961,26,0
207,7,3599,2968,26,0
208,6,3605,2974,26,0
209,7,3612,2981,26,0
210,4,3616,2985,26,0
211,3,3619,2988,26,0
212,4,3623,2992,26,0
213,4,3627,2996,26,0
214,4,3631,3000,26,0
215,1,3632,3001,26,0
216,8,3640,3009,26,0
217,3,3643,3012,26,0
218,3,3646,3015,26,0
219,6,3652,3021,26,0
220,3,3655,3024,26,0
221,0,3655,3024,26,0
222,5,3660,3029,26,0
223,6,3666,3035,26,0
224,5,3671,3040,26,0
225,1,3672,3041,26,0
226,4,3676,3045,26,0
227,2,3678,3047,26,0
228,2,3680,3049,26,0
229,0,3680,3049,26,0
230,1,3681,3050,26,0
231,1,3682,3051,26,0
232,3,3685,3054,26,0
233,3,3688,3057,26,0
234,6,3694,3063,26,0
235,3,3697,3066,26,0
236,2,3699,3068,26,0
237,2,3461,3070,27,240
238,2,3463,3072,27,0
239,0,3463,3072,27,0
240,3,3466,3075,27,0
241,1,3467,3076,27,0
242,0,3467,3076,27,0
243,0,3467,3076,27,0
244,1,3468,3077,27,0
245,1,3469,3078,27,0
246,2,3471,3080,27,0
247,0,3471,3080,27,0
248,2,3473,3082,27,0
249,0,3473,3082,27,0
250,1,3474,3083,27,0
251,0,3474,3083,27,0
252,1,3475,3084,27,0
253,0,3475,3084,27,0
254,3,3478,3087,27,0
255,0,3478,3087,27,0
256,1,3479,3088,27,0
257,0,3479,3088,27,0
258,1,3480,3089,27,0
259,1,3481,3090,27,0
260,1,3482,3091,27,0
261,2,3484,3093,27,0
262,1,3485,3094,27,0
263,0,3485,3094,27,0
264,0,3485,3094,27,0
265,0,3485,3094,27,0
266,1,3486,3095,27,0
267,0,3486,3095,27,0
268,2,3488,3097,27,0
269,2,3490,3099,27,0
270,0,3490,3099,27,0
271,0,3490,3099,27,0
272,0,3490,3099,27,0
273,2,3492,3101,27,0
274,1,3493,3102,27,0
275,0,3493,3102,27,0
276,1,3494,3103,27,0
277,0,3494,3103,27,0
278,0,3494,3103,27,0
279,1,3495,3104,27,0
280,0,3495,3104,27,0
281,0,3495,3104,27,0
282,0,3495,3104,27,0
283,0,3495,3104,27,0
284,0,3495,3104,27,0
