t,P
1,0.5
2,0.27929105012952415
3,0.17660452957424802
4,0.12580157525329966
5,0.09886864260189807
6,0.08350637084457932
7,0.07409325793872643
8,0.0679413436843346
9,0.06369882339868507
10,0.0606471325925401
11,0.05838124464420276
12,0.05665900308794828
13,0.05532732568821595
14,0.05428451304344038
15,0.053460108699271466
16,0.05280361378193903
17,0.0522778501677042
18,0.05185486941391811
19,0.05151331817139981
20,0.05123667411806142
21,0.05101202454186223
22,0.05082919661024319
23,0.050680123621018355
24,0.05055837443982873
25,0.050458798708965205
26,0.050377255968696376
27,0.05031040669446109
28,0.05025554970271815
29,0.05021049471526168
30,0.05017346186109726
31,0.050143002000116385
32,0.05011793326312621
33,0.05009729030385786
34,0.05008028357243105
35,0.05006626652851659
36,0.05005470917251518
37,0.05004517662391731
38,0.05003731174567503
39,0.05003082102213709
40,0.050025463060649644
41,0.05002103921422607
42,0.050017385922880006
43,0.05001436845043156
44,0.05001187575648099
45,0.0500098162933562
46,0.05000811455790653
47,0.05000670826015322
48,0.05000554599665702
49,0.0500045853373116
50,0.05000379125112501
51,0.05000313481020657
52,0.05000259212226207
53,0.05000214345091496
54,0.05000177249051705
55,0.05000146576810309
56,0.05000121215004065
57,0.05000100243493052
58,0.05000082901759321
59,0.05000068561166562
60,0.050000567020537866
61,0.05000046894817221
62,0.05000038784283489
63,0.050000320767996195
64,0.05000026529566154
65,0.050000219418226036
66,0.0500001814756285
67,0.05000015009514386
68,0.050000124141616864
69,0.0500001026763239
70,0.05000008492296448
71,0.050000070239545245
72,0.050000058095134116
73,0.05000004805064053
74,0.0500000397429235
75,0.050000032871650744
76,0.05000002718843275
77,0.05000002248783699
78,0.05000001859995755
79,0.050000015384270124
80,0.05000001272455022
81,0.050000010524670756
82,0.05000000870512622
83,0.05000000720015839
84,0.05000000595537899
85,0.05000000492580364
86,0.0500000040742257
87,0.05000000336987152
88,0.050000002787287924
89,0.05000000230542255
90,0.05000000190686271
91,0.05000000157720623
92,0.050000001304540874
93,0.0500000010790139
94,0.050000000892475895
95,0.050000000738186424
96,0.05000000061057034
97,0.050000000505016365
98,0.050000000417710376
99,0.05000000034549769
100,0.050000000285768974
101,0.05000000023636605
102,0.05000000019550377
103,0.05000000016170565
104,0.050000000133750465
105,0.05000000011062811
106,0.05000000009150307
107,0.050000000075684316
108,0.05000000006260027
109,0.050000000051778126
110,0.0500000000428269
111,0.05000000003542311
112,0.05000000002929929
113,0.05000000002423414
114,0.05000000002004462
115,0.05000000001657938
116,0.050000000013713186
117,0.05000000001134251
118,0.05000000000938167
119,0.050000000007759796
120,0.05000000000641831
121,0.05000000000530873
122,0.05000000000439096
123,0.050000000003631896
124,0.05000000000300401
125,0.05000000000248469
126,0.050000000002055164
127,0.050000000001699865
128,0.050000000001405996
129,0.05000000000116295
130,0.050000000000961886
131,0.050000000000795596
132,0.050000000000658074
133,0.0500000000005443
134,0.05000000000045022
135,0.05000000000037238
136,0.050000000000308006
137,0.05000000000025477
138,0.05000000000021071
139,0.05000000000017428
140,0.05000000000014414
141,0.05000000000011924
142,0.05000000000009863
143,0.050000000000081576
144,0.05000000000006747
145,0.05000000000005581
146,0.05000000000004616
147,0.050000000000038194
148,0.050000000000031596
149,0.05000000000002612
150,0.0500000000000216
151,0.05000000000001788
152,0.050000000000014776
153,0.05000000000001222
154,0.05000000000001011
155,0.05000000000000837
156,0.05000000000000693
157,0.05000000000000572
158,0.05000000000000473
159,0.05000000000000393
160,0.05000000000000325
161,0.050000000000002695
162,0.05000000000000222
163,0.050000000000001855
164,0.05000000000000152
165,0.05000000000000125
166,0.05000000000000106
167,0.050000000000000856
168,0.050000000000000724
169,0.0500000000000006
170,0.05000000000000049
171,0.05000000000000041
172,0.05000000000000034
173,0.0500000000000003
174,0.050000000000000225
175,0.0500000000000002
176,0.05000000000000017
177,0.050000000000000135
178,0.050000000000000114
179,0.050000000000000114
180,0.050000000000000086
181,0.05000000000000008
182,0.050000000000000065
183,0.05000000000000006
184,0.050000000000000044
185,0.05000000000000003
186,0.050000000000000024
187,0.05000000000000001
188,0.05000000000000001
189,0.05
190,0.05
191,0.05
192,0.05
193,0.05
194,0.05
195,0.05
196,0.05
197,0.05
198,0.05
199,0.05
200,0.05
201,0.05
202,0.05
203,0.05
204,0.05
205,0.05
206,0.05
207,0.05
208,0.05
209,0.05
210,0.05
211,0.05
212,0.05
213,0.05
214,0.05
215,0.05
216,0.05
217,0.05
218,0.05
219,0.05
220,0.05
221,0.05
222,0.05
223,0.05
224,0.05
225,0.05
226,0.05
227,0.05
228,0.05
229,0.05
230,0.05
231,0.05
232,0.05
233,0.05
234,0.05
235,0.05
236,0.05
237,0.05
238,0.05
239,0.05
240,0.05
241,0.05
242,0.05
243,0.05
244,0.05
245,0.05
246,0.05
247,0.05
248,0.05
249,0.05
250,0.05
251,0.05
252,0.05
253,0.05
254,0.05
255,0.05
256,0.05
