tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,32,2432,832,2,0
2,21,2453,853,3,0
3,26,2479,879,3,0
4,22,2501,901,3,0
5,43,2544,944,4,0
6,20,2564,964,4,0
7,30,2594,994,4,0
8,32,2626,1026,4,0
9,31,2657,1057,4,0
10,30,2687,1087,5,0
11,25,2712,1112,5,0
12,28,2740,1140,5,0
13,30,2770,1170,5,0
14,35,2805,1205,6,0
15,28,2833,1233,6,0
16,38,2871,1271,6,0
17,31,2902,1302,6,0
18,30,2932,1332,6,0
19,29,2961,1361,6,0
20,32,2993,1393,6,0
21,27,3020,1420,6,0
22,35,3055,1455,7,0
23,28,3083,1483,7,0
24,29,3112,1512,7,0
25,37,3149,1549,7,0
26,38,3187,1587,7,0
27,40,3227,1627,7,0
28,35,3262,1662,7,0
29,38,3300,1700,8,0
30,45,3345,1745,8,0
31,48,3393,1793,8,0
32,32,3425,1825,8,0
33,34,3459,1859,8,0
34,37,3496,1896,9,0
35,41,3537,1937,9,0
36,32,3569,1969,9,0
37,37,2482,2006,10,1124
38,28,1848,2034,11,662
39,12,1860,2046,11,0
40,17,1877,2063,11,0
41,16,1893,2079,11,0
42,12,1905,2091,11,0
43,10,1915,2101,11,0
44,11,1926,2112,11,0
45,11,1937,2123,11,0
46,6,1943,2129,11,0
47,7,1950,2136,11,0
48,10,1960,2146,11,0
49,11,1971,2157,11,0
50,13,1984,2170,11,0
51,16,2000,2186,11,0
52,12,1522,2198,12,490
53,6,1528,2204,12,0
54,7,1535,2211,12,0
55,8,1543,2219,12,0
56,7,1550,2226,12,0
57,6,1556,2232,12,0
58,4,1560,2236,12,0
59,4,1564,2240,12,0
60,7,1571,2247,12,0
61,7,1578,2254,12,0
62,1,1579,2255,12,0
63,1,1580,2256,12,0
64,5,1585,2261,12,0
65,3,1588,2264,12,0
66,5,1593,2269,12,0
67,2,1595,2271,12,0
68,5,1600,2276,12,0
69,1,1601,2277,12,0
70,3,1604,2280,12,0
71,1,1605,2281,12,0
72,5,1610,2286,12,0
73,1,1611,2287,12,0
74,1,1612,2288,12,0
75,3,1615,2291,12,0
76,3,1258,2294,13,360
77,1,1259,2295,13,0
78,6,1265,2301,13,0
79,1,1266,2302,13,0
80,0,1266,2302,13,0
81,1,1267,2303,13,0
82,0,1267,2303,13,0
83,1,1268,2304,13,0
84,0,1268,2304,13,0
85,0,1268,2304,13,0
86,0,1268,2304,13,0
87,1,1269,2305,13,0
88,1,1270,2306,13,0
89,0,1270,2306,13,0
90,0,1270,2306,13,0
91,0,1270,2306,13,0
92,1,1271,2307,13,0
93,0,1271,2307,13,0
94,0,1271,2307,13,0
95,0,1271,2307,13,0
96,0,1271,2307,13,0
97,0,1271,2307,13,0
98,1,1272,2308,13,0
99,0,1272,2308,13,0
100,0,1272,2308,13,0
101,0,1272,2308,13,0
102,0,1272,2308,13,0
103,0,1272,2308,13,0
104,0,1272,2308,13,0
105,0,1272,2308,13,0
106,0,1272,2308,13,0
107,0,1272,2308,13,0
108,0,1272,2308,13,0
109,0,1272,2308,13,0
110,0,1272,2308,13,0
111,0,1272,2308,13,0
112,0,1272,2308,13,0
113,0,1272,2308,13,0
114,0,1272,2308,13,0
115,0,1272,2308,13,0
116,0,1272,2308,13,0
117,0,1272,2308,13,0
118,0,1272,2308,13,0
119,0,1272,2308,13,0
120,0,1272,2308,13,0
121,0,1272,2308,13,0
122,0,1272,2308,13,0
123,0,1272,2308,13,0
124,0,1272,2308,13,0
125,0,1272,2308,13,0
126,0,1272,2308,13,0
127,0,1272,2308,13,0
128,0,1272,2308,13,0
129,0,1272,2308,13,0
130,0,1272,2308,13,0
131,0,1272,2308,13,0
132,0,1272,2308,13,0
133,0,1272,2308,13,0
134,0,1272,2308,13,0
135,0,1272,2308,13,0
136,0,1272,2308,13,0
137,0,1272,2308,13,0
138,0,1272,2308,13,0
139,0,1272,2308,13,0
140,0,1272,2308,13,0
141,0,1272,2308,13,0
142,0,1272,2308,13,0
143,0,1272,2308,13,0
144,0,1272,2308,13,0
145,0,1272,2308,13,0
146,0,1272,2308,13,0
147,0,1272,2308,13,0
148,0,1272,2308,13,0
149,0,1272,2308,13,0
150,0,1272,2308,13,0
151,0,1272,2308,13,0
152,0,1272,2308,13,0
153,0,1272,2308,13,0
154,0,1272,2308,13,0
155,0,1272,2308,13,0
156,0,1272,2308,13,0
157,0,1272,2308,13,0
158,0,1272,2308,13,0
159,0,1272,2308,13,0
160,0,1272,2308,13,0
161,0,1272,2308,13,0
162,0,1272,2308,13,0
163,0,1272,2308,13,0
164,0,1272,2308,13,0
165,0,1272,2308,13,0
166,0,1272,2308,13,0
167,0,1272,2308,13,0
168,0,1272,2308,13,0
169,0,1272,2308,13,0
170,0,1272,2308,13,0
171,0,1272,2308,13,0
172,0,1272,2308,13,0
173,0,1272,2308,13,0
174,0,1272,2308,13,0
175,0,1272,2308,13,0
176,0,1272,2308,13,0
177,0,1272,2308,13,0
178,0,1272,2308,13,0
179,0,1272,2308,13,0
180,0,1272,2308,13,0
181,0,1272,2308,13,0
182,0,1272,2308,13,0
183,0,1272,2308,13,0
184,0,1272,2308,13,0
185,0,1272,2308,13,0
186,0,1272,2308,13,0
187,0,1272,2308,13,0
188,0,1272,2308,13,0
189,0,1272,2308,13,0
190,0,1272,2308,13,0
191,0,1272,2308,13,0
192,0,1272,2308,13,0
193,0,1272,2308,13,0
194,0,1272,2308,13,0
195,0,1272,2308,13,0
196,0,1272,2308,13,0
197,0,1272,2308,13,0
198,0,1272,2308,13,0
199,0,1272,2308,13,0
200,0,1272,2308,13,0
201,0,1272,2308,13,0
202,0,1272,2308,13,0
203,0,1272,2308,13,0
204,0,1272,2308,13,0
205,0,1272,2308,13,0
206,0,1272,2308,13,0
207,0,1272,2308,13,0
208,0,1272,2308,13,0
209,0,1272,2308,13,0
210,0,1272,2308,13,0
211,0,1272,2308,13,0
212,0,1272,2308,13,0
213,0,1272,2308,13,0
214,0,1272,2308,13,0
215,0,1272,2308,13,0
216,0,1272,2308,13,0
217,0,1272,2308,13,0
218,0,1272,2308,13,0
219,0,1272,2308,13,0
220,0,1272,2308,13,0
221,0,1272,2308,13,0
222,0,1272,2308,13,0
223,0,1272,2308,13,0
224,0,1272,2308,13,0
225,0,1272,2308,13,0
226,0,1272,2308,13,0
227,0,1272,2308,13,0
