tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,46,3046,1046,2,0
2,39,3085,1085,3,0
3,43,3128,1128,3,0
4,44,3172,1172,3,0
5,55,3227,1227,4,0
6,40,3267,1267,4,0
7,39,3306,1306,5,0
8,62,3368,1368,5,0
9,56,3424,1424,5,0
10,46,3470,1470,5,0
11,46,3516,1516,6,0
12,50,3566,1566,6,0
13,45,3611,1611,6,0
14,50,3661,1661,6,0
15,46,3707,1707,6,0
16,55,3762,1762,6,0
17,52,3814,1814,6,0
18,61,3875,1875,7,0
19,49,3924,1924,7,0
20,62,3986,1986,7,0
21,54,4040,2040,8,0
22,56,4096,2096,8,0
23,59,4155,2155,8,0
24,64,4219,2219,8,0
25,65,4284,2284,9,0
26,71,4355,2355,9,0
27,75,4430,2430,9,0
28,84,4514,2514,9,0
29,86,3274,2600,10,1326
30,47,3321,2647,10,0
31,39,2535,2686,11,825
32,23,2558,2709,11,0
33,22,2580,2731,11,0
34,28,2608,2759,11,0
35,22,2630,2781,11,0
36,22,2652,2803,11,0
37,24,2676,2827,11,0
38,21,2697,2848,11,0
39,23,2720,2871,11,0
40,17,2137,2888,12,600
41,9,2146,2897,12,0
42,3,2149,2900,12,0
43,7,2156,2907,12,0
44,9,2165,2916,12,0
45,11,2176,2927,12,0
46,14,1613,2941,13,577
47,9,1622,2950,13,0
48,5,1627,2955,13,0
49,1,1628,2956,13,0
50,3,1631,2959,13,0
51,4,1635,2963,13,0
52,5,1640,2968,13,0
53,0,1640,2968,13,0
54,5,1645,2973,13,0
55,9,1654,2982,13,0
56,7,1661,2989,13,0
57,5,1666,2994,13,0
58,4,1670,2998,13,0
59,3,1673,3001,13,0
60,3,1676,3004,13,0
61,5,1681,3009,13,0
62,2,1683,3011,13,0
63,4,1687,3015,13,0
64,4,1691,3019,13,0
65,3,1694,3022,13,0
66,3,1697,3025,13,0
67,3,1700,3028,13,0
68,2,1702,3030,13,0
69,4,1706,3034,13,0
70,1,1707,3035,13,0
71,1,1708,3036,13,0
72,2,1710,3038,13,0
73,1,1711,3039,13,0
74,0,1711,3039,13,0
75,1,1712,3040,13,0
76,0,1712,3040,13,0
77,2,1714,3042,13,0
78,0,1714,3042,13,0
79,2,1716,3044,13,0
80,2,1718,3046,13,0
81,1,1719,3047,13,0
82,1,1720,3048,13,0
83,0,1720,3048,13,0
84,0,1720,3048,13,0
85,0,1720,3048,13,0
86,1,1721,3049,13,0
87,0,1721,3049,13,0
88,0,1721,3049,13,0
89,0,1721,3049,13,0
90,0,1721,3049,13,0
91,0,1721,3049,13,0
92,0,1721,3049,13,0
93,0,1721,3049,13,0
94,0,1721,3049,13,0
95,0,1721,3049,13,0
96,0,1721,3049,13,0
97,0,1721,3049,13,0
98,0,1721,3049,13,0
99,0,1721,3049,13,0
100,0,1721,3049,13,0
101,0,1721,3049,13,0
102,0,1721,3049,13,0
103,0,1721,3049,13,0
104,0,1721,3049,13,0
105,0,1721,3049,13,0
106,0,1721,3049,13,0
107,0,1721,3049,13,0
108,1,1722,3050,13,0
109,0,1722,3050,13,0
110,0,1722,3050,13,0
111,0,1722,3050,13,0
112,0,1722,3050,13,0
113,0,1722,3050,13,0
114,0,1722,3050,13,0
115,0,1722,3050,13,0
116,0,1722,3050,13,0
117,0,1722,3050,13,0
118,0,1722,3050,13,0
119,0,1722,3050,13,0
120,0,1722,3050,13,0
121,0,1722,3050,13,0
122,0,1722,3050,13,0
123,0,1722,3050,13,0
124,0,1722,3050,13,0
125,0,1722,3050,13,0
126,0,1722,3050,13,0
127,0,1722,3050,13,0
128,0,1722,3050,13,0
129,0,1722,3050,13,0
130,0,1722,3050,13,0
131,0,1722,3050,13,0
132,0,1722,3050,13,0
133,0,1722,3050,13,0
134,0,1722,3050,13,0
135,0,1722,3050,13,0
136,0,1722,3050,13,0
137,0,1722,3050,13,0
138,0,1722,3050,13,0
139,0,1722,3050,13,0
140,0,1722,3050,13,0
141,0,1722,3050,13,0
142,0,1722,3050,13,0
143,0,1722,3050,13,0
144,0,1722,3050,13,0
145,0,1722,3050,13,0
146,0,1722,3050,13,0
147,0,1722,3050,13,0
148,0,1722,3050,13,0
149,0,1722,3050,13,0
150,0,1722,3050,13,0
151,0,1722,3050,13,0
152,0,1722,3050,13,0
153,0,1722,3050,13,0
154,0,1722,3050,13,0
155,0,1722,3050,13,0
156,0,1722,3050,13,0
157,0,1722,3050,13,0
158,0,1722,3050,13,0
159,0,1722,3050,13,0
160,0,1722,3050,13,0
161,0,1722,3050,13,0
162,0,1722,3050,13,0
163,0,1722,3050,13,0
164,0,1722,3050,13,0
165,0,1722,3050,13,0
166,0,1722,3050,13,0
167,0,1722,3050,13,0
168,0,1722,3050,13,0
169,0,1722,3050,13,0
170,0,1722,3050,13,0
171,0,1722,3050,13,0
172,0,1722,3050,13,0
173,0,1722,3050,13,0
174,0,1722,3050,13,0
175,0,1722,3050,13,0
176,0,1722,3050,13,0
177,0,1722,3050,13,0
178,0,1722,3050,13,0
179,0,1722,3050,13,0
180,0,1722,3050,13,0
181,0,1722,3050,13,0
182,0,1722,3050,13,0
183,0,1722,3050,13,0
184,0,1722,3050,13,0
185,0,1722,3050,13,0
186,0,1722,3050,13,0
187,0,1722,3050,13,0
188,0,1722,3050,13,0
189,0,1722,3050,13,0
190,0,1722,3050,13,0
191,0,1722,3050,13,0
192,0,1722,3050,13,0
193,0,1722,3050,13,0
194,0,1722,3050,13,0
195,0,1722,3050,13,0
196,0,1722,3050,13,0
197,0,1722,3050,13,0
198,0,1722,3050,13,0
199,0,1722,3050,13,0
200,0,1722,3050,13,0
201,0,1722,3050,13,0
202,0,1722,3050,13,0
203,0,1722,3050,13,0
204,0,1722,3050,13,0
205,0,1722,3050,13,0
206,0,1722,3050,13,0
207,0,1722,3050,13,0
208,0,1722,3050,13,0
209,0,1722,3050,13,0
210,0,1722,3050,13,0
211,0,1722,3050,13,0
212,0,1722,3050,13,0
213,0,1722,3050,13,0
214,0,1722,3050,13,0
215,0,1722,3050,13,0
216,0,1722,3050,13,0
217,0,1722,3050,13,0
218,0,1722,3050,13,0
219,0,1722,3050,13,0
220,0,1722,3050,13,0
221,0,1722,3050,13,0
222,0,1722,3050,13,0
223,0,1722,3050,13,0
224,0,1722,3050,13,0
225,0,1722,3050,13,0
226,0,1722,3050,13,0
227,0,1722,3050,13,0
228,0,1722,3050,13,0
229,0,1722,3050,13,0
230,0,1722,3050,13,0
231,0,1722,3050,13,0
232,0,1722,3050,13,0
233,0,1722,3050,13,0
234,0,1722,3050,13,0
235,0,1722,3050,13,0
236,0,1722,3050,13,0
237,0,1722,3050,13,0
