tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,18,1818,618,2,0
2,13,1831,631,2,0
3,11,1842,642,2,0
4,12,1854,654,2,0
5,13,1867,667,3,0
6,15,1882,682,3,0
7,20,1902,702,4,0
8,17,1919,719,4,0
9,10,1929,729,4,0
10,12,1941,741,4,0
11,12,1953,753,4,0
12,16,1969,769,5,0
13,20,1989,789,5,0
14,18,2007,807,5,0
15,19,2026,826,5,0
16,16,2042,842,5,0
17,17,2059,859,5,0
18,20,2079,879,5,0
19,14,2093,893,5,0
20,22,2115,915,6,0
21,17,2132,932,6,0
22,15,2147,947,6,0
23,14,2161,961,6,0
24,8,2169,969,6,0
25,14,2183,983,6,0
26,22,2205,1005,6,0
27,8,2213,1013,6,0
28,15,2228,1028,7,0
29,19,2247,1047,7,0
30,26,2273,1073,8,0
31,18,2291,1091,8,0
32,17,2308,1108,8,0
33,15,2323,1123,8,0
34,13,2336,1136,8,0
35,15,2351,1151,8,0
36,12,2363,1163,8,0
37,15,2378,1178,8,0
38,14,2392,1192,9,0
39,12,2404,1204,9,0
40,13,2417,1217,9,0
41,14,2431,1231,9,0
42,17,2448,1248,9,0
43,14,2462,1262,9,0
44,17,2479,1279,9,0
45,15,2494,1294,9,0
46,17,2511,1311,9,0
47,18,2529,1329,9,0
48,10,1541,1339,10,998
49,11,1552,1350,10,0
50,11,1563,1361,10,0
51,5,1568,1366,10,0
52,6,1574,1372,10,0
53,10,1584,1382,10,0
54,18,1602,1400,10,0
55,6,1608,1406,10,0
56,8,1616,1414,10,0
57,7,1623,1421,10,0
58,9,1632,1430,10,0
59,7,1639,1437,10,0
60,7,1646,1444,10,0
61,8,1654,1452,10,0
62,1,1655,1453,10,0
63,7,1662,1460,10,0
64,2,1664,1462,10,0
65,8,1672,1470,10,0
66,9,1681,1479,10,0
67,1,1682,1480,10,0
68,5,1687,1485,10,0
69,10,1697,1495,10,0
70,7,1704,1502,10,0
71,6,1710,1508,10,0
72,8,1718,1516,10,0
73,4,1722,1520,10,0
74,6,1728,1526,10,0
75,3,1731,1529,10,0
76,13,1744,1542,10,0
77,5,1749,1547,10,0
78,7,1756,1554,10,0
79,5,1761,1559,10,0
80,1,1762,1560,10,0
81,6,1768,1566,10,0
82,3,1771,1569,10,0
83,3,1774,1572,10,0
84,2,1776,1574,10,0
85,2,1461,1576,11,317
86,5,1466,1581,11,0
87,2,1468,1583,11,0
88,1,1469,1584,11,0
89,5,1474,1589,11,0
90,2,1476,1591,11,0
91,2,1478,1593,11,0
92,0,1478,1593,11,0
93,0,1478,1593,11,0
94,3,1481,1596,11,0
95,0,1481,1596,11,0
96,3,1484,1599,11,0
97,2,1486,1601,11,0
98,0,1486,1601,11,0
99,0,1486,1601,11,0
100,2,1488,1603,11,0
101,3,1491,1606,11,0
102,0,1491,1606,11,0
103,0,1491,1606,11,0
104,1,1492,1607,11,0
105,0,1492,1607,11,0
106,0,1492,1607,11,0
107,0,1492,1607,11,0
108,0,1492,1607,11,0
109,0,1492,1607,11,0
110,1,1493,1608,11,0
111,0,1493,1608,11,0
112,1,1494,1609,11,0
113,0,1494,1609,11,0
114,0,1494,1609,11,0
115,2,1496,1611,11,0
116,0,1496,1611,11,0
117,0,1496,1611,11,0
118,0,1496,1611,11,0
119,1,1497,1612,11,0
120,0,1497,1612,11,0
121,0,1497,1612,11,0
122,0,1497,1612,11,0
123,1,1498,1613,11,0
124,0,1498,1613,11,0
125,1,1499,1614,11,0
126,0,1499,1614,11,0
127,0,1499,1614,11,0
128,0,1499,1614,11,0
129,0,1499,1614,11,0
130,0,1499,1614,11,0
131,0,1499,1614,11,0
132,0,1499,1614,11,0
133,1,1500,1615,11,0
134,1,1501,1616,11,0
135,1,1197,1617,12,305
136,0,1197,1617,12,0
137,0,1197,1617,12,0
138,0,1197,1617,12,0
139,0,1197,1617,12,0
140,0,1197,1617,12,0
141,0,1197,1617,12,0
142,0,1197,1617,12,0
143,0,1197,1617,12,0
144,1,1198,1618,12,0
145,0,1198,1618,12,0
146,0,1198,1618,12,0
147,0,1198,1618,12,0
148,0,1198,1618,12,0
149,0,1198,1618,12,0
150,1,1199,1619,12,0
151,0,1199,1619,12,0
152,0,1199,1619,12,0
153,0,1199,1619,12,0
154,0,1199,1619,12,0
155,0,1199,1619,12,0
156,0,1199,1619,12,0
157,0,1199,1619,12,0
158,0,1199,1619,12,0
159,0,1199,1619,12,0
160,0,1199,1619,12,0
161,0,1199,1619,12,0
162,0,1199,1619,12,0
163,0,1199,1619,12,0
164,0,1199,1619,12,0
165,0,1199,1619,12,0
166,0,1199,1619,12,0
167,0,1199,1619,12,0
168,0,1199,1619,12,0
169,0,1199,1619,12,0
170,0,1199,1619,12,0
171,0,1199,1619,12,0
172,0,1199,1619,12,0
173,0,1199,1619,12,0
174,0,1199,1619,12,0
175,0,1199,1619,12,0
176,0,1199,1619,12,0
177,0,1199,1619,12,0
178,0,1199,1619,12,0
179,0,1199,1619,12,0
180,0,1199,1619,12,0
181,0,1199,1619,12,0
182,0,1199,1619,12,0
183,0,1199,1619,12,0
184,0,1199,1619,12,0
185,0,1199,1619,12,0
186,0,1199,1619,12,0
187,0,1199,1619,12,0
188,0,1199,1619,12,0
189,0,1199,1619,12,0
190,0,1199,1619,12,0
191,0,1199,1619,12,0
192,0,1199,1619,12,0
193,0,1199,1619,12,0
194,0,1199,1619,12,0
195,0,1199,1619,12,0
196,0,1199,1619,12,0
197,0,1199,1619,12,0
198,0,1199,1619,12,0
199,0,1199,1619,12,0
200,0,1199,1619,12,0
201,0,1199,1619,12,0
202,0,1199,1619,12,0
203,0,1199,1619,12,0
204,0,1199,1619,12,0
205,0,1199,1619,12,0
206,0,1199,1619,12,0
207,0,1199,1619,12,0
208,0,1199,1619,12,0
209,0,1199,1619,12,0
210,0,1199,1619,12,0
211,0,1199,1619,12,0
212,0,1199,1619,12,0
213,0,1199,1619,12,0
214,0,1199,1619,12,0
215,0,1199,1619,12,0
216,0,1199,1619,12,0
217,0,1199,1619,12,0
218,0,1199,1619,12,0
219,0,1199,1619,12,0
220,0,1199,1619,12,0
221,0,1199,1619,12,0
222,0,1199,1619,12,0
223,0,1199,1619,12,0
224,0,1199,1619,12,0
225,0,1199,1619,12,0
226,0,1199,1619,12,0
227,0,1199,1619,12,0
228,0,1199,1619,12,0
229,0,1199,1619,12,0
230,0,1199,1619,12,0
231,0,1199,1619,12,0
232,0,1199,1619,12,0
233,0,1199,1619,12,0
234,0,1199,1619,12,0
235,0,1199,1619,12,0
236,0,1199,1619,12,0
237,0,1199,1619,12,0
238,0,1199,1619,12,0
239,0,1199,1619,12,0
240,0,1199,1619,12,0
241,0,1199,1619,12,0
242,0,1199,1619,12,0
243,0,1199,1619,12,0
244,0,1199,1619,12,0
245,0,1199,1619,12,0
246,0,1199,1619,12,0
247,0,1199,1619,12,0
248,0,1199,1619,12,0
249,0,1199,1619,12,0
250,0,1199,1619,12,0
251,0,1199,1619,12,0
252,0,1199,1619,12,0
253,0,1199,1619,12,0
254,0,1199,1619,12,0
255,0,1199,1619,12,0
256,0,1199,1619,12,0
257,0,1199,1619,12,0
258,0,1199,1619,12,0
259,0,1199,1619,12,0
260,0,1199,1619,12,0
261,0,1199,1619,12,0
262,0,1199,1619,12,0
263,0,1199,1619,12,0
264,0,1199,1619,12,0
265,0,1199,1619,12,0
266,0,1199,1619,12,0
267,0,1199,1619,12,0
268,0,1199,1619,12,0
269,0,1199,1619,12,0
270,0,1199,1619,12,0
271,0,1199,1619,12,0
272,0,1199,1619,12,0
273,0,1199,1619,12,0
274,0,1199,1619,12,0
275,0,1199,1619,12,0
276,0,1199,1619,12,0
277,0,1199,1619,12,0
278,0,1199,1619,12,0
279,0,1199,1619,12,0
