tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,10,1810,610,2,0
2,13,1823,623,2,0
3,14,1837,637,2,0
4,19,1856,656,3,0
5,10,1866,666,3,0
6,17,1883,683,4,0
7,15,1898,698,4,0
8,13,1911,711,4,0
9,9,1920,720,4,0
10,20,1940,740,5,0
11,8,1948,748,5,0
12,22,1970,770,5,0
13,11,1981,781,5,0
14,15,1996,796,5,0
15,12,2008,808,5,0
16,14,2022,822,5,0
17,13,2035,835,5,0
18,14,2049,849,5,0
19,7,2056,856,5,0
20,15,2071,871,5,0
21,14,2085,885,5,0
22,14,2099,899,5,0
23,9,2108,908,5,0
24,19,2127,927,6,0
25,14,2141,941,6,0
26,17,2158,958,6,0
27,12,2170,970,6,0
28,12,2182,982,6,0
29,12,2194,994,6,0
30,13,2207,1007,6,0
31,15,2222,1022,6,0
32,15,2237,1037,6,0
33,13,2250,1050,6,0
34,13,2263,1063,7,0
35,6,2269,1069,7,0
36,12,2281,1081,7,0
37,16,2297,1097,7,0
38,13,2310,1110,7,0
39,9,2319,1119,7,0
40,20,2339,1139,7,0
41,15,2354,1154,7,0
42,16,2370,1170,7,0
43,11,2381,1181,7,0
44,19,2400,1200,7,0
45,11,2411,1211,7,0
46,14,2425,1225,8,0
47,18,2443,1243,8,0
48,6,2449,1249,8,0
49,13,2462,1262,8,0
50,13,2475,1275,8,0
51,13,2488,1288,8,0
52,13,2501,1301,8,0
53,13,2514,1314,8,0
54,13,2527,1327,8,0
55,15,2542,1342,9,0
56,18,2560,1360,9,0
57,10,2570,1370,9,0
58,13,2583,1383,9,0
59,8,2591,1391,9,0
60,10,2601,1401,9,0
61,17,2618,1418,9,0
62,18,2636,1436,9,0
63,15,1702,1451,10,949
64,10,1712,1461,10,0
65,11,1723,1472,10,0
66,9,1732,1481,10,0
67,7,1739,1488,10,0
68,10,1749,1498,10,0
69,11,1760,1509,10,0
70,8,1768,1517,10,0
71,6,1774,1523,10,0
72,7,1781,1530,10,0
73,11,1792,1541,10,0
74,4,1796,1545,10,0
75,7,1462,1552,11,341
76,6,1468,1558,11,0
77,8,1476,1566,11,0
78,7,1483,1573,11,0
79,6,1489,1579,11,0
80,5,1494,1584,11,0
81,6,1500,1590,11,0
82,2,1502,1592,11,0
83,5,1507,1597,11,0
84,1,1508,1598,11,0
85,2,1510,1600,11,0
86,4,1514,1604,11,0
87,3,1517,1607,11,0
88,5,1522,1612,11,0
89,2,1524,1614,11,0
90,2,1526,1616,11,0
91,3,1529,1619,11,0
92,5,1534,1624,11,0
93,3,1537,1627,11,0
94,4,1541,1631,11,0
95,4,1545,1635,11,0
96,5,1550,1640,11,0
97,6,1556,1646,11,0
98,5,1561,1651,11,0
99,1,1562,1652,11,0
100,4,1566,1656,11,0
101,1,1567,1657,11,0
102,1,1568,1658,11,0
103,0,1568,1658,11,0
104,1,1569,1659,11,0
105,0,1569,1659,11,0
106,0,1569,1659,11,0
107,1,1570,1660,11,0
108,0,1570,1660,11,0
109,3,1573,1663,11,0
110,0,1573,1663,11,0
111,0,1573,1663,11,0
112,1,1574,1664,11,0
113,0,1574,1664,11,0
114,0,1574,1664,11,0
115,1,1575,1665,11,0
116,0,1575,1665,11,0
117,1,1576,1666,11,0
118,0,1576,1666,11,0
119,3,1579,1669,11,0
120,0,1579,1669,11,0
121,0,1579,1669,11,0
122,0,1579,1669,11,0
123,0,1579,1669,11,0
124,0,1579,1669,11,0
125,0,1579,1669,11,0
126,0,1579,1669,11,0
127,0,1579,1669,11,0
128,1,1580,1670,11,0
129,1,1284,1671,12,297
130,2,1286,1673,12,0
131,1,1287,1674,12,0
132,0,1287,1674,12,0
133,1,1288,1675,12,0
134,2,1091,1677,13,199
135,0,1091,1677,13,0
136,0,1091,1677,13,0
137,0,1091,1677,13,0
138,0,1091,1677,13,0
139,0,1091,1677,13,0
140,0,1091,1677,13,0
141,0,1091,1677,13,0
142,0,1091,1677,13,0
143,1,1092,1678,13,0
144,0,1092,1678,13,0
145,0,1092,1678,13,0
146,0,1092,1678,13,0
147,0,1092,1678,13,0
148,0,1092,1678,13,0
149,0,1092,1678,13,0
150,0,1092,1678,13,0
151,0,1092,1678,13,0
152,0,1092,1678,13,0
153,0,1092,1678,13,0
154,0,1092,1678,13,0
155,0,1092,1678,13,0
156,0,1092,1678,13,0
157,0,1092,1678,13,0
158,0,1092,1678,13,0
159,0,1092,1678,13,0
160,0,1092,1678,13,0
161,0,1092,1678,13,0
162,0,1092,1678,13,0
163,0,1092,1678,13,0
164,0,1092,1678,13,0
165,0,1092,1678,13,0
166,0,1092,1678,13,0
167,0,1092,1678,13,0
168,0,1092,1678,13,0
169,0,1092,1678,13,0
170,0,1092,1678,13,0
171,0,1092,1678,13,0
172,0,1092,1678,13,0
173,0,1092,1678,13,0
174,0,1092,1678,13,0
175,0,1092,1678,13,0
176,0,1092,1678,13,0
177,0,1092,1678,13,0
178,0,1092,1678,13,0
179,0,1092,1678,13,0
180,0,1092,1678,13,0
181,0,1092,1678,13,0
182,0,1092,1678,13,0
183,0,1092,1678,13,0
184,0,1092,1678,13,0
185,0,1092,1678,13,0
186,0,1092,1678,13,0
187,0,1092,1678,13,0
188,0,1092,1678,13,0
189,0,1092,1678,13,0
190,0,1092,1678,13,0
191,0,1092,1678,13,0
192,0,1092,1678,13,0
193,0,1092,1678,13,0
194,0,1092,1678,13,0
195,0,1092,1678,13,0
196,0,1092,1678,13,0
197,0,1092,1678,13,0
198,0,1092,1678,13,0
199,0,1092,1678,13,0
200,0,1092,1678,13,0
201,0,1092,1678,13,0
202,0,1092,1678,13,0
203,0,1092,1678,13,0
204,0,1092,1678,13,0
205,0,1092,1678,13,0
206,0,1092,1678,13,0
207,0,1092,1678,13,0
208,0,1092,1678,13,0
209,0,1092,1678,13,0
210,0,1092,1678,13,0
211,0,1092,1678,13,0
212,0,1092,1678,13,0
213,0,1092,1678,13,0
214,0,1092,1678,13,0
215,0,1092,1678,13,0
