tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,15,1815,615,2,0
2,12,1827,627,3,0
3,24,1851,651,3,0
4,21,1872,672,3,0
5,14,1886,686,3,0
6,21,1907,707,4,0
7,16,1923,723,4,0
8,17,1940,740,4,0
9,14,1954,754,4,0
10,16,1970,770,4,0
11,14,1984,784,4,0
12,12,1996,796,4,0
13,20,2016,816,5,0
14,11,2027,827,5,0
15,22,2049,849,5,0
16,19,2068,868,5,0
17,14,2082,882,6,0
18,19,2101,901,6,0
19,10,2111,911,6,0
20,18,2129,929,6,0
21,20,2149,949,6,0
22,10,2159,959,6,0
23,16,2175,975,6,0
24,23,2198,998,6,0
25,14,2212,1012,6,0
26,13,2225,1025,7,0
27,18,2243,1043,7,0
28,15,2258,1058,7,0
29,10,2268,1068,7,0
30,12,2280,1080,7,0
31,9,2289,1089,7,0
32,22,2311,1111,7,0
33,15,2326,1126,8,0
34,17,2343,1143,8,0
35,12,2355,1155,8,0
36,10,2365,1165,8,0
37,16,2381,1181,8,0
38,10,2391,1191,8,0
39,14,2405,1205,9,0
40,17,2422,1222,9,0
41,6,2428,1228,9,0
42,18,2446,1246,9,0
43,11,2457,1257,9,0
44,11,2468,1268,9,0
45,16,2484,1284,9,0
46,10,2494,1294,9,0
47,16,2510,1310,9,0
48,22,1539,1332,10,993
49,5,1544,1337,10,0
50,11,1555,1348,10,0
51,5,1560,1353,10,0
52,7,1567,1360,10,0
53,8,1575,1368,10,0
54,4,1579,1372,10,0
55,9,1588,1381,10,0
56,9,1597,1390,10,0
57,3,1600,1393,10,0
58,7,1607,1400,10,0
59,8,1249,1408,11,366
60,1,1250,1409,11,0
61,5,1255,1414,11,0
62,4,1259,1418,11,0
63,7,1266,1425,11,0
64,3,1269,1428,11,0
65,7,1276,1435,11,0
66,2,1278,1437,11,0
67,2,1280,1439,11,0
68,1,1281,1440,11,0
69,4,1285,1444,11,0
70,5,1290,1449,11,0
71,2,1292,1451,11,0
72,1,1293,1452,11,0
73,1,1294,1453,11,0
74,1,1295,1454,11,0
75,7,1302,1461,11,0
76,3,1305,1464,11,0
77,0,1305,1464,11,0
78,0,1305,1464,11,0
79,2,1307,1466,11,0
80,5,969,1471,12,343
81,1,970,1472,12,0
82,0,970,1472,12,0
83,2,972,1474,12,0
84,0,972,1474,12,0
85,3,975,1477,12,0
86,1,976,1478,12,0
87,0,976,1478,12,0
88,2,978,1480,12,0
89,0,978,1480,12,0
90,1,979,1481,12,0
91,1,980,1482,12,0
92,1,981,1483,12,0
93,0,981,1483,12,0
94,0,981,1483,12,0
95,0,981,1483,12,0
96,0,981,1483,12,0
97,1,982,1484,12,0
98,1,983,1485,12,0
99,1,984,1486,12,0
100,0,984,1486,12,0
101,0,984,1486,12,0
