tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,291,2091,891,2,0
2,374,2465,1265,3,0
3,513,2978,1778,4,0
4,636,3614,2414,5,0
5,871,4485,3285,6,0
6,1020,5505,4305,7,0
7,889,6394,5194,8,0
8,696,7090,5890,9,0
9,547,7633,6437,10,4
10,437,8070,6874,10,0
11,386,8449,7260,11,7
12,326,8764,7586,12,11
13,329,9093,7915,12,0
14,295,9388,8210,12,0
15,296,9684,8506,12,0
16,308,9992,8814,12,0
17,323,10272,9137,13,43
18,311,10168,9448,14,415
19,284,10452,9732,14,0
20,281,10733,10013,14,0
21,252,10159,10265,15,826
22,229,10388,10494,15,0
23,223,10611,10717,15,0
24,254,10865,10971,15,0
25,218,11083,11189,15,0
26,242,11325,11431,15,0
27,226,11551,11657,15,0
28,227,10599,11884,16,1179
29,216,10815,12100,16,0
30,179,10994,12279,16,0
31,205,9603,12484,17,1596
32,142,9745,12626,17,0
33,151,9896,12777,17,0
34,143,10039,12920,17,0
35,139,10178,13059,17,0
36,162,10340,13221,17,0
37,151,8589,13372,18,1902
38,106,6493,13478,19,2202
39,59,6552,13537,19,0
40,56,6608,13593,19,0
41,62,6670,13655,19,0
42,61,6731,13716,19,0
43,48,6779,13764,19,0
44,39,6818,13803,19,0
45,52,6870,13855,19,0
46,61,6931,13916,19,0
47,53,6984,13969,19,0
48,51,7035,14020,19,0
49,46,7081,14066,19,0
50,47,7128,14113,19,0
51,58,7186,14171,19,0
52,72,7258,14243,19,0
53,45,7303,14288,19,0
54,54,7357,14342,19,0
55,59,7416,14401,19,0
56,52,7468,14453,19,0
57,56,5727,14509,20,1797
58,36,5763,14545,20,0
59,28,5791,14573,20,0
60,43,5834,14616,20,0
61,30,5864,14646,20,0
62,34,5898,14680,20,0
63,33,5931,14713,20,0
64,43,5974,14756,20,0
65,23,5997,14779,20,0
66,25,6022,14804,20,0
67,29,6051,14833,20,0
68,22,6073,14855,20,0
69,27,4520,14882,21,1580
70,15,4535,14897,21,0
71,22,4557,14919,21,0
72,23,4580,14942,21,0
73,23,4603,14965,21,0
74,23,4626,14988,21,0
75,15,4641,15003,21,0
76,19,4660,15022,21,0
77,22,4682,15044,21,0
78,19,4701,15063,21,0
79,21,4722,15084,21,0
80,19,4741,15103,21,0
81,21,4762,15124,21,0
82,18,4780,15142,21,0
83,18,4798,15160,21,0
84,14,4812,15174,21,0
85,13,4825,15187,21,0
86,21,4846,15208,21,0
87,20,4866,15228,21,0
88,10,4876,15238,21,0
89,17,4893,15255,21,0
90,21,4914,15276,21,0
91,13,3623,15289,22,1304
92,11,3634,15300,22,0
93,14,3648,15314,22,0
94,11,3659,15325,22,0
95,10,3669,15335,22,0
96,6,3675,15341,22,0
97,10,3685,15351,22,0
98,8,3693,15359,22,0
99,11,3704,15370,22,0
100,5,3709,15375,22,0
101,6,3715,15381,22,0
102,7,3722,15388,22,0
103,11,2724,15399,23,1009
104,5,2729,15404,23,0
105,5,2734,15409,23,0
106,6,2740,15415,23,0
107,4,2744,15419,23,0
108,5,2749,15424,23,0
109,3,2752,15427,23,0
110,5,2757,15432,23,0
111,4,2761,15436,23,0
112,3,2764,15439,23,0
113,7,2771,15446,23,0
114,5,2776,15451,23,0
115,4,2780,15455,23,0
116,6,2786,15461,23,0
117,4,2790,15465,23,0
118,3,2793,15468,23,0
119,5,2798,15473,23,0
120,7,2805,15480,23,0
121,4,2809,15484,23,0
122,4,2813,15488,23,0
123,4,2817,15492,23,0
124,3,2820,15495,23,0
125,2,2822,15497,23,0
126,4,1975,15501,24,851
127,4,1979,15505,24,0
128,7,1986,15512,24,0
129,7,1993,15519,24,0
130,1,1994,15520,24,0
131,2,1996,15522,24,0
132,2,1998,15524,24,0
133,3,2001,15527,24,0
134,2,2003,15529,24,0
135,4,2007,15533,24,0
136,6,2013,15539,24,0
137,2,2015,15541,24,0
138,3,2018,15544,24,0
139,5,2023,15549,24,0
140,1,2024,15550,24,0
141,1,2025,15551,24,0
142,2,2027,15553,24,0
143,5,2032,15558,24,0
144,3,2035,15561,24,0
145,1,2036,15562,24,0
146,1,2037,15563,24,0
147,2,2039,15565,24,0
148,4,2043,15569,24,0
149,1,2044,15570,24,0
150,6,1449,15576,25,601
151,2,1451,15578,25,0
152,1,1452,15579,25,0
153,2,1454,15581,25,0
154,2,1456,15583,25,0
155,2,1458,15585,25,0
156,3,1461,15588,25,0
157,1,1462,15589,25,0
158,0,1462,15589,25,0
159,1,1463,15590,25,0
160,1,1464,15591,25,0
161,4,1468,15595,25,0
162,2,1470,15597,25,0
163,0,1470,15597,25,0
164,1,1471,15598,25,0
165,1,1046,15599,26,426
166,1,1047,15600,26,0
167,0,1047,15600,26,0
168,6,1053,15606,26,0
169,1,1054,15607,26,0
170,2,1056,15609,26,0
171,2,1058,15611,26,0
172,0,1058,15611,26,0
173,1,1059,15612,26,0
174,3,1062,15615,26,0
175,1,1063,15616,26,0
176,1,1064,15617,26,0
177,1,1065,15618,26,0
178,0,1065,15618,26,0
179,0,1065,15618,26,0
180,0,1065,15618,26,0
181,0,1065,15618,26,0
182,3,747,15621,27,321
183,3,750,15624,27,0
184,1,751,15625,27,0
185,1,498,15626,28,254
186,1,499,15627,28,0
187,1,500,15628,28,0
188,1,339,15629,29,162
189,0,339,15629,29,0
190,0,339,15629,29,0
191,0,339,15629,29,0
192,1,340,15630,29,0
193,0,340,15630,29,0
194,0,340,15630,29,0
195,0,340,15630,29,0
196,0,340,15630,29,0
197,0,340,15630,29,0
198,0,340,15630,29,0
199,0,340,15630,29,0
200,0,340,15630,29,0
201,1,341,15631,29,0
