tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,9,1828,628,3,0
3,19,1847,647,3,0
4,10,1857,657,3,0
5,23,1880,680,3,0
6,9,1889,689,4,0
7,15,1904,704,4,0
8,16,1920,720,4,0
9,14,1934,734,4,0
10,11,1945,745,4,0
11,9,1954,754,4,0
12,16,1970,770,4,0
13,19,1989,789,4,0
14,9,1998,798,4,0
15,15,2013,813,4,0
16,19,2032,832,5,0
17,14,2046,846,5,0
18,12,2058,858,5,0
19,16,2074,874,5,0
20,15,2089,889,5,0
21,12,2101,901,5,0
22,9,2110,910,5,0
23,16,2126,926,6,0
24,14,2140,940,6,0
25,23,2163,963,6,0
26,13,2176,976,7,0
27,15,2191,991,7,0
28,13,2204,1004,7,0
29,18,2222,1022,7,0
30,15,2237,1037,7,0
31,20,2257,1057,7,0
32,17,2274,1074,7,0
33,12,2286,1086,7,0
34,8,2294,1094,7,0
35,15,2309,1109,7,0
36,20,2329,1129,7,0
37,11,2340,1140,7,0
38,18,2358,1158,7,0
39,12,2370,1170,7,0
40,17,2387,1187,7,0
41,21,2408,1208,7,0
42,19,2427,1227,8,0
43,15,2442,1242,8,0
44,6,2448,1248,9,0
45,16,2464,1264,9,0
46,10,2474,1274,9,0
47,20,2494,1294,9,0
48,15,1503,1309,10,1006
49,7,1510,1316,10,0
50,6,1516,1322,10,0
51,7,1523,1329,10,0
52,8,1531,1337,10,0
53,9,1540,1346,10,0
54,4,1544,1350,10,0
55,6,1550,1356,10,0
56,8,1558,1364,10,0
57,6,1564,1370,10,0
58,7,1571,1377,10,0
59,2,1573,1379,10,0
60,2,1575,1381,10,0
61,2,1577,1383,10,0
62,5,1582,1388,10,0
63,5,1587,1393,10,0
64,7,1177,1400,11,417
65,1,1178,1401,11,0
66,7,1185,1408,11,0
67,4,839,1412,12,350
68,0,839,1412,12,0
69,2,841,1414,12,0
70,1,842,1415,12,0
71,1,843,1416,12,0
72,2,845,1418,12,0
73,4,849,1422,12,0
74,2,851,1424,12,0
75,1,852,1425,12,0
76,1,853,1426,12,0
77,1,854,1427,12,0
78,1,855,1428,12,0
79,1,856,1429,12,0
80,3,859,1432,12,0
81,1,860,1433,12,0
82,1,861,1434,12,0
83,1,862,1435,12,0
84,0,862,1435,12,0
85,0,862,1435,12,0
86,1,863,1436,12,0
87,0,863,1436,12,0
88,0,863,1436,12,0
89,0,863,1436,12,0
90,0,863,1436,12,0
91,3,866,1439,12,0
92,1,867,1440,12,0
93,0,867,1440,12,0
94,0,867,1440,12,0
95,1,868,1441,12,0
96,1,869,1442,12,0
97,1,870,1443,12,0
98,0,870,1443,12,0
99,0,870,1443,12,0
100,0,870,1443,12,0
101,0,870,1443,12,0
102,0,870,1443,12,0
103,0,870,1443,12,0
104,1,871,1444,12,0
105,0,871,1444,12,0
106,0,871,1444,12,0
107,0,871,1444,12,0
108,0,871,1444,12,0
109,0,871,1444,12,0
110,0,871,1444,12,0
111,0,871,1444,12,0
112,1,649,1445,13,223
113,0,649,1445,13,0
114,0,649,1445,13,0
115,0,649,1445,13,0
116,0,649,1445,13,0
117,0,649,1445,13,0
118,0,649,1445,13,0
119,0,649,1445,13,0
120,0,649,1445,13,0
121,0,649,1445,13,0
122,0,649,1445,13,0
123,0,649,1445,13,0
124,0,649,1445,13,0
125,0,649,1445,13,0
126,0,649,1445,13,0
127,0,649,1445,13,0
128,0,649,1445,13,0
129,0,649,1445,13,0
130,0,649,1445,13,0
131,0,649,1445,13,0
132,0,649,1445,13,0
133,0,649,1445,13,0
134,0,649,1445,13,0
135,0,649,1445,13,0
136,0,649,1445,13,0
137,0,649,1445,13,0
138,0,649,1445,13,0
139,0,649,1445,13,0
140,0,649,1445,13,0
141,0,649,1445,13,0
142,0,649,1445,13,0
143,0,649,1445,13,0
144,0,649,1445,13,0
145,0,649,1445,13,0
146,0,649,1445,13,0
147,0,649,1445,13,0
148,0,649,1445,13,0
149,0,649,1445,13,0
150,0,649,1445,13,0
151,0,649,1445,13,0
152,0,649,1445,13,0
153,0,649,1445,13,0
154,0,649,1445,13,0
155,0,649,1445,13,0
156,0,649,1445,13,0
157,0,649,1445,13,0
158,0,649,1445,13,0
159,0,649,1445,13,0
160,0,649,1445,13,0
161,0,649,1445,13,0
162,0,649,1445,13,0
163,0,649,1445,13,0
164,0,649,1445,13,0
165,0,649,1445,13,0
166,0,649,1445,13,0
167,0,649,1445,13,0
168,0,649,1445,13,0
169,0,649,1445,13,0
170,0,649,1445,13,0
171,0,649,1445,13,0
172,0,649,1445,13,0
173,0,649,1445,13,0
174,0,649,1445,13,0
175,0,649,1445,13,0
176,0,649,1445,13,0
177,0,649,1445,13,0
178,0,649,1445,13,0
179,0,649,1445,13,0
180,0,649,1445,13,0
181,0,649,1445,13,0
182,0,649,1445,13,0
183,0,649,1445,13,0
184,0,649,1445,13,0
185,0,649,1445,13,0
186,0,649,1445,13,0
187,0,649,1445,13,0
188,0,649,1445,13,0
189,0,649,1445,13,0
190,0,649,1445,13,0
191,0,649,1445,13,0
192,0,649,1445,13,0
193,0,649,1445,13,0
194,0,649,1445,13,0
195,0,649,1445,13,0
196,0,649,1445,13,0
197,0,649,1445,13,0
198,0,649,1445,13,0
199,0,649,1445,13,0
200,0,649,1445,13,0
201,0,649,1445,13,0
202,0,649,1445,13,0
203,0,649,1445,13,0
204,0,649,1445,13,0
205,0,649,1445,13,0
206,0,649,1445,13,0
207,0,649,1445,13,0
208,0,649,1445,13,0
209,0,649,1445,13,0
210,0,649,1445,13,0
211,0,649,1445,13,0
212,0,649,1445,13,0
213,0,649,1445,13,0
214,0,649,1445,13,0
215,0,649,1445,13,0
216,0,649,1445,13,0
217,0,649,1445,13,0
218,0,649,1445,13,0
219,0,649,1445,13,0
220,0,649,1445,13,0
221,0,649,1445,13,0
222,0,649,1445,13,0
223,0,649,1445,13,0
224,0,649,1445,13,0
225,0,649,1445,13,0
226,0,649,1445,13,0
227,0,649,1445,13,0
228,0,649,1445,13,0
229,0,649,1445,13,0
230,0,649,1445,13,0
231,0,649,1445,13,0
232,0,649,1445,13,0
233,0,649,1445,13,0
234,0,649,1445,13,0
235,0,649,1445,13,0
236,0,649,1445,13,0
237,0,649,1445,13,0
238,0,649,1445,13,0
239,0,649,1445,13,0
240,0,649,1445,13,0
241,0,649,1445,13,0
