tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,538,2338,1138,2,0
2,792,3130,1930,3,0
3,1181,4311,3111,4,0
4,1594,5905,4705,5,0
5,1205,7110,5910,6,0
6,837,7947,6747,7,0
7,768,8715,7515,8,0
8,778,9493,8293,9,0
9,768,10261,9061,10,0
10,748,11009,9809,11,0
11,767,11775,10576,12,1
12,797,12440,11373,13,132
13,792,13232,12165,13,0
14,869,13388,13034,14,713
15,807,14195,13841,14,0
16,860,15055,14701,14,0
17,847,15902,15548,14,0
18,885,15845,16433,15,942
19,893,15282,17326,16,1456
20,783,16065,18109,16,0
21,812,14962,18921,17,1915
22,653,13051,19574,18,2564
23,455,13506,20029,18,0
24,500,14006,20529,18,0
25,503,11790,21032,19,2719
26,359,12149,21391,19,0
27,350,9587,21741,20,2912
28,227,9814,21968,20,0
29,224,7169,22192,21,2869
30,118,7287,22310,21,0
31,141,7428,22451,21,0
32,108,7536,22559,21,0
33,120,7656,22679,21,0
34,134,7790,22813,21,0
35,130,7920,22943,21,0
36,142,8062,23085,21,0
37,115,8177,23200,21,0
38,119,8296,23319,21,0
39,150,6451,23469,22,1995
40,111,4807,23580,23,1755
41,52,4859,23632,23,0
42,55,4914,23687,23,0
43,49,4963,23736,23,0
44,52,5015,23788,23,0
45,65,5080,23853,23,0
46,63,3763,23916,24,1380
47,39,3802,23955,24,0
48,36,2709,23991,25,1129
49,27,2736,24018,25,0
50,26,1846,24044,26,916
51,16,1137,24060,27,725
52,8,1145,24068,27,0
53,7,1152,24075,27,0
54,11,654,24086,28,509
55,3,657,24089,28,0
56,4,661,24093,28,0
57,2,663,24095,28,0
58,4,667,24099,28,0
59,6,673,24105,28,0
60,4,677,24109,28,0
61,1,678,24110,28,0
62,3,681,24113,28,0
63,1,682,24114,28,0
64,6,688,24120,28,0
65,3,691,24123,28,0
66,0,691,24123,28,0
67,2,693,24125,28,0
68,0,693,24125,28,0
69,3,696,24128,28,0
70,1,697,24129,28,0
71,1,698,24130,28,0
72,7,705,24137,28,0
73,3,708,24140,28,0
74,0,708,24140,28,0
75,3,711,24143,28,0
76,0,711,24143,28,0
77,2,713,24145,28,0
78,1,714,24146,28,0
79,2,716,24148,28,0
80,2,718,24150,28,0
81,2,720,24152,28,0
82,1,721,24153,28,0
83,1,722,24154,28,0
84,0,722,24154,28,0
85,2,724,24156,28,0
86,3,727,24159,28,0
87,5,732,24164,28,0
88,1,733,24165,28,0
89,2,735,24167,28,0
90,2,467,24169,29,270
91,0,467,24169,29,0
92,1,468,24170,29,0
93,0,468,24170,29,0
94,1,469,24171,29,0
95,0,469,24171,29,0
96,1,310,24172,30,160
97,1,311,24173,30,0
98,1,312,24174,30,0
99,2,314,24176,30,0
100,2,316,24178,30,0
101,2,318,24180,30,0
102,0,318,24180,30,0
103,2,223,24182,31,97
104,2,225,24184,31,0
105,2,227,24186,31,0
106,1,228,24187,31,0
107,1,229,24188,31,0
108,1,230,24189,31,0
109,0,230,24189,31,0
110,2,232,24191,31,0
111,2,234,24193,31,0
112,1,235,24194,31,0
113,0,235,24194,31,0
114,1,236,24195,31,0
115,1,237,24196,31,0
116,1,238,24197,31,0
117,0,238,24197,31,0
118,0,238,24197,31,0
119,0,238,24197,31,0
120,1,190,24198,32,49
121,0,190,24198,32,0
122,1,191,24199,32,0
123,1,192,24200,32,0
124,0,192,24200,32,0
125,0,192,24200,32,0
126,1,193,24201,32,0
127,0,193,24201,32,0
128,0,193,24201,32,0
129,0,193,24201,32,0
130,0,193,24201,32,0
131,0,193,24201,32,0
132,1,194,24202,32,0
133,0,194,24202,32,0
134,0,194,24202,32,0
135,0,194,24202,32,0
136,0,194,24202,32,0
137,1,195,24203,32,0
138,0,195,24203,32,0
139,0,195,24203,32,0
140,0,195,24203,32,0
141,1,142,24204,33,54
142,0,142,24204,33,0
143,1,143,24205,33,0
144,0,143,24205,33,0
145,1,103,24206,34,41
146,0,103,24206,34,0
147,0,103,24206,34,0
148,0,103,24206,34,0
149,0,103,24206,34,0
150,0,103,24206,34,0
151,0,103,24206,34,0
152,0,103,24206,34,0
153,0,103,24206,34,0
154,0,103,24206,34,0
155,1,104,24207,34,0
156,0,104,24207,34,0
157,0,104,24207,34,0
158,0,104,24207,34,0
159,0,104,24207,34,0
160,0,104,24207,34,0
161,0,104,24207,34,0
162,0,104,24207,34,0
163,0,104,24207,34,0
164,0,104,24207,34,0
165,0,104,24207,34,0
166,0,104,24207,34,0
167,0,104,24207,34,0
168,0,104,24207,34,0
169,1,82,24208,35,23
170,0,82,24208,35,0
171,0,82,24208,35,0
172,0,82,24208,35,0
173,0,82,24208,35,0
174,0,82,24208,35,0
175,0,82,24208,35,0
176,0,82,24208,35,0
177,0,82,24208,35,0
178,0,82,24208,35,0
179,0,82,24208,35,0
180,0,82,24208,35,0
181,0,82,24208,35,0
182,0,82,24208,35,0
183,0,82,24208,35,0
184,0,82,24208,35,0
185,0,82,24208,35,0
186,0,82,24208,35,0
187,1,71,24209,36,12
188,0,71,24209,36,0
189,0,71,24209,36,0
190,0,71,24209,36,0
191,0,71,24209,36,0
192,0,71,24209,36,0
193,0,71,24209,36,0
194,0,71,24209,36,0
195,0,71,24209,36,0
196,0,71,24209,36,0
197,0,71,24209,36,0
198,0,71,24209,36,0
199,0,71,24209,36,0
200,0,71,24209,36,0
201,0,71,24209,36,0
202,0,71,24209,36,0
203,0,71,24209,36,0
204,0,71,24209,36,0
205,0,71,24209,36,0
206,0,71,24209,36,0
207,0,71,24209,36,0
208,0,71,24209,36,0
209,0,71,24209,36,0
210,0,71,24209,36,0
211,0,71,24209,36,0
212,0,71,24209,36,0
213,0,71,24209,36,0
214,0,71,24209,36,0
215,0,71,24209,36,0
216,0,71,24209,36,0
217,0,71,24209,36,0
218,0,71,24209,36,0
219,0,71,24209,36,0
220,0,71,24209,36,0
221,0,71,24209,36,0
222,0,71,24209,36,0
223,0,71,24209,36,0
224,0,71,24209,36,0
225,0,71,24209,36,0
226,0,71,24209,36,0
227,0,71,24209,36,0
228,0,71,24209,36,0
229,0,71,24209,36,0
230,0,71,24209,36,0
231,0,71,24209,36,0
232,0,71,24209,36,0
233,0,71,24209,36,0
234,0,71,24209,36,0
235,0,71,24209,36,0
236,0,71,24209,36,0
237,0,71,24209,36,0
238,0,71,24209,36,0
239,0,71,24209,36,0
240,0,71,24209,36,0
241,0,71,24209,36,0
242,0,71,24209,36,0
243,0,71,24209,36,0
244,0,71,24209,36,0
245,0,71,24209,36,0
246,0,71,24209,36,0
247,0,71,24209,36,0
248,0,71,24209,36,0
249,0,71,24209,36,0
250,0,71,24209,36,0
251,0,71,24209,36,0
252,0,71,24209,36,0
253,0,71,24209,36,0
254,0,71,24209,36,0
255,0,71,24209,36,0
256,0,71,24209,36,0
257,0,71,24209,36,0
258,0,71,24209,36,0
259,0,71,24209,36,0
260,0,71,24209,36,0
261,0,71,24209,36,0
262,0,71,24209,36,0
263,0,71,24209,36,0
264,0,71,24209,36,0
265,0,71,24209,36,0
266,0,71,24209,36,0
267,0,71,24209,36,0
268,0,71,24209,36,0
269,0,71,24209,36,0
270,0,71,24209,36,0
271,0,71,24209,36,0
272,0,71,24209,36,0
273,0,71,24209,36,0
274,0,71,24209,36,0
275,0,71,24209,36,0
276,0,71,24209,36,0
277,0,71,24209,36,0
278,0,71,24209,36,0
279,0,71,24209,36,0
280,0,71,24209,36,0
281,0,71,24209,36,0
282,0,71,24209,36,0
283,0,71,24209,36,0
284,0,71,24209,36,0
