tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,7,1807,607,2,0
2,0,1807,607,2,0
3,4,1811,611,2,0
4,3,1814,614,2,0
5,5,1819,619,2,0
6,1,1820,620,2,0
7,6,1826,626,3,0
8,3,1829,629,3,0
9,7,1836,636,3,0
10,1,1837,637,3,0
11,1,1838,638,3,0
12,0,1838,638,3,0
13,3,1841,641,3,0
14,1,1842,642,3,0
15,1,1843,643,3,0
16,1,1844,644,3,0
17,2,1846,646,3,0
18,0,1846,646,3,0
19,2,1848,648,3,0
20,0,1848,648,3,0
21,3,1851,651,3,0
22,0,1851,651,3,0
23,2,1853,653,3,0
24,1,1854,654,3,0
25,1,1855,655,3,0
26,0,1855,655,3,0
27,6,1861,661,3,0
28,0,1861,661,3,0
29,2,1863,663,3,0
30,0,1863,663,3,0
31,3,1866,666,3,0
32,1,1867,667,3,0
33,0,1867,667,3,0
34,0,1867,667,3,0
35,0,1867,667,3,0
36,1,1868,668,3,0
37,0,1868,668,3,0
38,1,1869,669,3,0
39,0,1869,669,3,0
40,0,1869,669,3,0
41,0,1869,669,3,0
42,0,1869,669,3,0
43,0,1869,669,3,0
44,0,1869,669,3,0
45,0,1869,669,3,0
46,0,1869,669,3,0
47,0,1869,669,3,0
48,0,1869,669,3,0
49,0,1869,669,3,0
50,0,1869,669,3,0
51,0,1869,669,3,0
52,0,1869,669,3,0
53,0,1869,669,3,0
54,0,1869,669,3,0
55,0,1869,669,3,0
56,0,1869,669,3,0
57,0,1869,669,3,0
58,0,1869,669,3,0
59,0,1869,669,3,0
60,0,1869,669,3,0
61,0,1869,669,3,0
62,0,1869,669,3,0
63,0,1869,669,3,0
64,0,1869,669,3,0
65,0,1869,669,3,0
66,0,1869,669,3,0
67,0,1869,669,3,0
68,1,1870,670,4,0
69,0,1870,670,4,0
70,0,1870,670,4,0
71,0,1870,670,4,0
72,0,1870,670,4,0
73,0,1870,670,4,0
74,0,1870,670,4,0
75,0,1870,670,4,0
76,0,1870,670,4,0
77,0,1870,670,4,0
78,0,1870,670,4,0
79,0,1870,670,4,0
80,0,1870,670,4,0
81,0,1870,670,4,0
82,0,1870,670,4,0
83,0,1870,670,4,0
84,0,1870,670,4,0
85,0,1870,670,4,0
86,0,1870,670,4,0
87,0,1870,670,4,0
88,0,1870,670,4,0
89,0,1870,670,4,0
90,0,1870,670,4,0
91,0,1870,670,4,0
92,0,1870,670,4,0
93,0,1870,670,4,0
94,0,1870,670,4,0
95,0,1870,670,4,0
96,0,1870,670,4,0
97,0,1870,670,4,0
98,0,1870,670,4,0
99,0,1870,670,4,0
100,0,1870,670,4,0
101,0,1870,670,4,0
102,0,1870,670,4,0
103,0,1870,670,4,0
104,0,1870,670,4,0
105,0,1870,670,4,0
106,0,1870,670,4,0
107,0,1870,670,4,0
108,0,1870,670,4,0
109,0,1870,670,4,0
110,0,1870,670,4,0
111,0,1870,670,4,0
112,0,1870,670,4,0
113,0,1870,670,4,0
114,0,1870,670,4,0
115,0,1870,670,4,0
116,0,1870,670,4,0
117,0,1870,670,4,0
118,0,1870,670,4,0
119,0,1870,670,4,0
120,0,1870,670,4,0
121,0,1870,670,4,0
122,0,1870,670,4,0
123,0,1870,670,4,0
124,0,1870,670,4,0
125,0,1870,670,4,0
126,0,1870,670,4,0
127,0,1870,670,4,0
128,0,1870,670,4,0
129,0,1870,670,4,0
130,0,1870,670,4,0
131,0,1870,670,4,0
132,0,1870,670,4,0
133,0,1870,670,4,0
134,0,1870,670,4,0
135,0,1870,670,4,0
136,0,1870,670,4,0
137,0,1870,670,4,0
138,0,1870,670,4,0
139,0,1870,670,4,0
140,0,1870,670,4,0
141,0,1870,670,4,0
142,0,1870,670,4,0
143,0,1870,670,4,0
144,0,1870,670,4,0
145,0,1870,670,4,0
146,0,1870,670,4,0
147,0,1870,670,4,0
148,0,1870,670,4,0
149,0,1870,670,4,0
150,0,1870,670,4,0
151,0,1870,670,4,0
152,0,1870,670,4,0
153,0,1870,670,4,0
154,0,1870,670,4,0
155,0,1870,670,4,0
156,0,1870,670,4,0
157,0,1870,670,4,0
158,0,1870,670,4,0
159,0,1870,670,4,0
160,0,1870,670,4,0
161,0,1870,670,4,0
162,0,1870,670,4,0
163,0,1870,670,4,0
164,0,1870,670,4,0
165,0,1870,670,4,0
166,0,1870,670,4,0
167,0,1870,670,4,0
168,0,1870,670,4,0
169,0,1870,670,4,0
170,0,1870,670,4,0
171,0,1870,670,4,0
172,0,1870,670,4,0
173,0,1870,670,4,0
174,0,1870,670,4,0
175,0,1870,670,4,0
176,0,1870,670,4,0
177,0,1870,670,4,0
178,0,1870,670,4,0
179,0,1870,670,4,0
180,0,1870,670,4,0
181,0,1870,670,4,0
182,0,1870,670,4,0
183,0,1870,670,4,0
184,0,1870,670,4,0
185,0,1870,670,4,0
186,0,1870,670,4,0
187,0,1870,670,4,0
188,0,1870,670,4,0
189,0,1870,670,4,0
190,0,1870,670,4,0
191,0,1870,670,4,0
192,0,1870,670,4,0
193,0,1870,670,4,0
194,0,1870,670,4,0
195,0,1870,670,4,0
196,0,1870,670,4,0
197,0,1870,670,4,0
