tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,8,1827,627,2,0
3,16,1843,643,2,0
4,9,1852,652,2,0
5,19,1871,671,2,0
6,7,1878,678,2,0
7,15,1893,693,2,0
8,10,1903,703,2,0
9,12,1915,715,2,0
10,8,1923,723,2,0
11,7,1930,730,2,0
12,12,1942,742,2,0
13,11,1953,753,2,0
14,9,1962,762,2,0
15,9,1971,771,2,0
16,8,1979,779,2,0
17,7,1986,786,3,0
18,5,1991,791,3,0
19,3,1994,794,3,0
20,5,1999,799,3,0
21,3,2002,802,3,0
22,4,2006,806,3,0
23,7,2013,813,3,0
24,4,2017,817,3,0
25,9,2026,826,3,0
26,4,2030,830,3,0
27,4,2034,834,3,0
28,3,2037,837,3,0
29,8,2045,845,3,0
30,3,2048,848,3,0
31,9,2057,857,3,0
32,5,2062,862,3,0
33,0,2062,862,3,0
34,0,2062,862,3,0
35,0,2062,862,3,0
36,0,2062,862,3,0
37,0,2062,862,3,0
38,0,2062,862,3,0
39,0,2062,862,3,0
40,0,2062,862,3,0
41,0,2062,862,3,0
42,0,2062,862,3,0
43,0,2062,862,3,0
44,0,2062,862,3,0
45,0,2062,862,3,0
46,1,2063,863,3,0
47,0,2063,863,3,0
48,0,2063,863,3,0
49,0,2063,863,3,0
50,0,2063,863,3,0
51,0,2063,863,3,0
52,0,2063,863,3,0
53,0,2063,863,3,0
54,0,2063,863,3,0
55,0,2063,863,3,0
56,0,2063,863,3,0
57,0,2063,863,3,0
58,0,2063,863,3,0
59,0,2063,863,3,0
60,0,2063,863,3,0
61,0,2063,863,3,0
62,0,2063,863,3,0
63,0,2063,863,3,0
64,0,2063,863,3,0
65,0,2063,863,3,0
66,0,2063,863,3,0
67,0,2063,863,3,0
68,0,2063,863,3,0
69,0,2063,863,3,0
70,0,2063,863,3,0
71,0,2063,863,3,0
72,0,2063,863,3,0
73,0,2063,863,3,0
74,0,2063,863,3,0
75,0,2063,863,3,0
76,0,2063,863,3,0
77,0,2063,863,3,0
78,0,2063,863,3,0
79,0,2063,863,3,0
80,0,2063,863,3,0
81,0,2063,863,3,0
82,0,2063,863,3,0
83,0,2063,863,3,0
84,0,2063,863,3,0
85,0,2063,863,3,0
86,0,2063,863,3,0
87,0,2063,863,3,0
88,0,2063,863,3,0
89,0,2063,863,3,0
90,0,2063,863,3,0
91,0,2063,863,3,0
92,0,2063,863,3,0
93,0,2063,863,3,0
94,0,2063,863,3,0
95,0,2063,863,3,0
96,0,2063,863,3,0
97,0,2063,863,3,0
98,0,2063,863,3,0
99,0,2063,863,3,0
100,0,2063,863,3,0
101,0,2063,863,3,0
102,0,2063,863,3,0
103,0,2063,863,3,0
104,0,2063,863,3,0
105,0,2063,863,3,0
106,0,2063,863,3,0
107,0,2063,863,3,0
108,0,2063,863,3,0
109,0,2063,863,3,0
110,0,2063,863,3,0
111,0,2063,863,3,0
112,0,2063,863,3,0
113,0,2063,863,3,0
114,0,2063,863,3,0
115,0,2063,863,3,0
116,0,2063,863,3,0
117,0,2063,863,3,0
118,0,2063,863,3,0
119,0,2063,863,3,0
120,0,2063,863,3,0
121,0,2063,863,3,0
122,0,2063,863,3,0
123,0,2063,863,3,0
124,0,2063,863,3,0
125,0,2063,863,3,0
126,0,2063,863,3,0
127,0,2063,863,3,0
128,0,2063,863,3,0
129,0,2063,863,3,0
130,0,2063,863,3,0
131,0,2063,863,3,0
132,0,2063,863,3,0
133,0,2063,863,3,0
134,0,2063,863,3,0
135,0,2063,863,3,0
136,0,2063,863,3,0
137,0,2063,863,3,0
138,0,2063,863,3,0
139,0,2063,863,3,0
140,0,2063,863,3,0
141,0,2063,863,3,0
142,0,2063,863,3,0
143,0,2063,863,3,0
144,0,2063,863,3,0
145,0,2063,863,3,0
146,0,2063,863,3,0
147,0,2063,863,3,0
148,0,2063,863,3,0
149,0,2063,863,3,0
150,0,2063,863,3,0
151,0,2063,863,3,0
152,0,2063,863,3,0
153,0,2063,863,3,0
154,0,2063,863,3,0
155,0,2063,863,3,0
156,0,2063,863,3,0
157,0,2063,863,3,0
158,0,2063,863,3,0
159,0,2063,863,3,0
160,0,2063,863,3,0
161,0,2063,863,3,0
162,0,2063,863,3,0
163,0,2063,863,3,0
164,0,2063,863,3,0
165,0,2063,863,3,0
166,0,2063,863,3,0
167,0,2063,863,3,0
168,0,2063,863,3,0
169,0,2063,863,3,0
170,0,2063,863,3,0
171,0,2063,863,3,0
172,0,2063,863,3,0
173,0,2063,863,3,0
174,0,2063,863,3,0
175,0,2063,863,3,0
