t,P
1,0.5
2,0.2878570986634939
3,0.1852607734776581
4,0.130574896452983
5,0.09890427614094406
6,0.07913941994147129
7,0.06595917496252575
8,0.05665950657419006
9,0.04978813599442981
10,0.04452178815988295
11,0.04036852693507519
12,0.037019278398846
13,0.03427064907440101
14,0.03198312843255191
15,0.030057512863832323
16,0.028421062973479776
17,0.027019053152526243
18,0.025809418229604586
19,0.02475924287913965
20,0.02384238546491213
21,0.02303782323887613
22,0.022328470332426652
23,0.02170031440444131
24,0.02114177359719793
25,0.020643209344176384
26,0.02019655172425367
27,0.01979500759525439
28,0.019432830615215405
29,0.01910513820905097
30,0.018807764609141304
31,0.01853714193705402
32,0.018290203307702035
33,0.018064303389096193
34,0.017857152912675776
35,0.01766676441611657
36,0.017491407090805527
37,0.01732956905391353
38,0.017179925708106083
39,0.017041313117346104
40,0.016912705534351716
41,0.016793196378186763
42,0.016681982089572518
43,0.016578348394534283
44,0.016481658589734147
45,0.016391343529676698
46,0.01630689305025948
47,0.01622784860745143
48,0.01615379694622141
49,0.016084364644764575
50,0.016019213403815655
51,0.01595803597136635
52,0.01590055261019122
53,0.01584650802985335
54,0.015795668716804934
55,0.015747820606221857
56,0.015702767047644745
57,0.015660327023606948
58,0.015620333586434389
59,0.01558263248348232
60,0.015547080945379389
61,0.015513546615504005
62,0.015481906602024179
63,0.015452046636475626
64,0.015423860325106025
65,0.015397248481135002
66,0.015372118527721322
67,0.015348383962831925
68,0.015325963878408785
69,0.015304782527258688
70,0.015284768931973143
71,0.015265856530943358
72,0.015247982857185538
73,0.01523108924625164
74,0.015215120569982097
75,0.015200024993271954
76,0.015185753751379951
77,0.015172260945618663
78,0.01515950335553111
79,0.015147440265889775
80,0.01513603330705452
81,0.015125246307398735
82,0.015115045156664073
83,0.015105397679234715
84,0.01509627351643613
85,0.015087644017062633
86,0.0150794821354245
87,0.015071762336281457
88,0.015064460506095601
89,0.01505755387009482
90,0.015051020914689354
91,0.015044841314828718
92,0.015038995865926325
93,0.015033466420013927
94,0.01502823582581932
95,0.015023287872488224
96,0.015018607236695895
97,0.015014179432915758
98,0.015009990766632092
99,0.015006028290301204
100,0.015002279761881157
101,0.014998733605764489
102,0.014995378875960887
103,0.014992205221388463
104,0.014989202853142616
105,0.014986362513620954
106,0.01498367544739165
107,0.01498113337369985
108,0.014978728460514864
109,0.014976453300026416
110,0.01497430088550532
111,0.014972264589448676
112,0.01497033814293532
113,0.014968515616121754
114,0.014966791399813337
115,0.014965160188049333
116,0.014963616961644492
117,0.014962156972633008
118,0.014960775729564208
119,0.01495946898360217
120,0.014958232715384415
