tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,9,1828,628,3,0
3,17,1845,645,3,0
4,11,1856,656,3,0
5,23,1879,679,3,0
6,8,1887,687,3,0
7,19,1906,706,3,0
8,12,1918,718,4,0
9,15,1933,733,5,0
10,11,1944,744,6,0
11,12,1956,756,6,0
12,15,1971,771,6,0
13,16,1987,787,6,0
14,16,2003,803,6,0
15,13,2016,816,6,0
16,12,2028,828,6,0
17,17,2045,845,6,0
18,7,2052,852,6,0
19,11,2063,863,6,0
20,13,2076,876,6,0
21,9,2085,885,6,0
22,10,2095,895,6,0
23,8,2103,903,6,0
24,11,2114,914,6,0
25,20,2134,934,6,0
26,11,2145,945,6,0
27,7,2152,952,6,0
28,15,2167,967,6,0
29,19,2186,986,6,0
30,9,2195,995,6,0
31,11,2206,1006,6,0
32,9,2215,1015,6,0
33,8,2223,1023,6,0
34,6,2229,1029,6,0
35,12,2241,1041,6,0
36,6,2247,1047,6,0
37,6,2253,1053,6,0
38,8,2261,1061,6,0
39,9,2270,1070,6,0
40,8,2278,1078,6,0
41,8,2286,1086,6,0
42,11,2297,1097,6,0
43,15,2312,1112,6,0
44,11,2323,1123,6,0
45,10,2333,1133,7,0
46,10,2343,1143,7,0
47,8,2351,1151,7,0
48,7,2358,1158,7,0
49,5,2363,1163,7,0
50,9,2372,1172,7,0
51,4,2376,1176,7,0
52,10,2386,1186,7,0
53,6,2392,1192,7,0
54,5,2397,1197,7,0
55,3,2400,1200,7,0
56,4,2404,1204,7,0
57,4,2408,1208,7,0
58,2,2410,1210,7,0
59,6,2416,1216,7,0
60,5,2421,1221,7,0
61,6,2427,1227,7,0
62,6,2433,1233,7,0
63,5,2438,1238,7,0
64,3,2441,1241,7,0
65,3,2444,1244,8,0
66,5,2449,1249,8,0
67,4,2453,1253,8,0
68,4,2457,1257,8,0
69,4,2461,1261,8,0
70,4,2465,1265,8,0
71,4,2469,1269,8,0
72,8,2477,1277,8,0
73,1,2478,1278,8,0
74,3,2481,1281,9,0
75,3,2484,1284,9,0
76,3,2487,1287,9,0
77,1,2488,1288,9,0
78,4,2492,1292,9,0
79,2,2494,1294,9,0
80,2,2496,1296,9,0
81,5,2501,1301,9,0
82,3,2504,1304,9,0
83,0,2504,1304,9,0
84,2,2506,1306,9,0
85,4,2510,1310,9,0
86,0,2510,1310,9,0
87,2,2512,1312,9,0
88,1,2513,1313,9,0
89,0,2513,1313,9,0
90,2,2515,1315,9,0
91,3,2518,1318,9,0
92,1,2519,1319,9,0
93,5,2524,1324,9,0
94,1,2525,1325,9,0
95,0,2525,1325,9,0
96,0,2525,1325,9,0
97,0,2525,1325,9,0
98,0,2525,1325,9,0
99,1,2526,1326,9,0
100,0,2526,1326,9,0
101,0,2526,1326,9,0
102,3,2529,1329,9,0
103,1,2530,1330,9,0
104,2,2532,1332,9,0
105,2,2534,1334,9,0
106,2,2536,1336,9,0
107,0,2536,1336,9,0
108,1,2537,1337,9,0
109,0,2537,1337,9,0
110,1,2538,1338,9,0
111,0,2538,1338,9,0
112,2,2540,1340,9,0
113,4,2544,1344,9,0
114,0,2544,1344,9,0
115,1,2545,1345,9,0
116,0,2545,1345,9,0
117,2,2547,1347,9,0
118,2,1578,1349,10,971
119,0,1578,1349,10,0
120,0,1578,1349,10,0
121,0,1578,1349,10,0
122,0,1578,1349,10,0
123,0,1578,1349,10,0
124,1,1579,1350,10,0
125,0,1579,1350,10,0
126,0,1579,1350,10,0
127,0,1579,1350,10,0
128,0,1579,1350,10,0
129,0,1579,1350,10,0
130,1,1580,1351,10,0
131,0,1580,1351,10,0
132,1,1581,1352,10,0
133,1,1582,1353,10,0
134,0,1582,1353,10,0
135,0,1582,1353,10,0
136,0,1582,1353,10,0
137,0,1582,1353,10,0
138,0,1582,1353,10,0
139,0,1582,1353,10,0
140,0,1582,1353,10,0
141,0,1582,1353,10,0
142,1,1583,1354,10,0
143,0,1583,1354,10,0
144,0,1583,1354,10,0
145,0,1583,1354,10,0
146,0,1583,1354,10,0
147,0,1583,1354,10,0
148,0,1583,1354,10,0
149,0,1583,1354,10,0
150,0,1583,1354,10,0
151,0,1583,1354,10,0
152,0,1583,1354,10,0
153,0,1583,1354,10,0
154,0,1583,1354,10,0
155,0,1583,1354,10,0
156,0,1583,1354,10,0
157,0,1583,1354,10,0
158,0,1583,1354,10,0
159,0,1583,1354,10,0
160,0,1583,1354,10,0
161,0,1583,1354,10,0
162,0,1583,1354,10,0
163,0,1583,1354,10,0
164,0,1583,1354,10,0
165,0,1583,1354,10,0
166,0,1583,1354,10,0
167,0,1583,1354,10,0
168,0,1583,1354,10,0
169,0,1583,1354,10,0
170,0,1583,1354,10,0
171,0,1583,1354,10,0
172,0,1583,1354,10,0
173,0,1583,1354,10,0
174,0,1583,1354,10,0
175,0,1583,1354,10,0
176,0,1583,1354,10,0
177,0,1583,1354,10,0
178,0,1583,1354,10,0
179,0,1583,1354,10,0
180,0,1583,1354,10,0
181,0,1583,1354,10,0
182,0,1583,1354,10,0
183,0,1583,1354,10,0
184,0,1583,1354,10,0
185,0,1583,1354,10,0
186,0,1583,1354,10,0
187,0,1583,1354,10,0
188,0,1583,1354,10,0
189,0,1583,1354,10,0
190,0,1583,1354,10,0
191,0,1583,1354,10,0
192,0,1583,1354,10,0
193,0,1583,1354,10,0
194,0,1583,1354,10,0
195,0,1583,1354,10,0
196,0,1583,1354,10,0
197,0,1583,1354,10,0
198,0,1583,1354,10,0
199,0,1583,1354,10,0
200,0,1583,1354,10,0
201,0,1583,1354,10,0
202,0,1583,1354,10,0
203,0,1583,1354,10,0
204,0,1583,1354,10,0
205,0,1583,1354,10,0
206,0,1583,1354,10,0
207,0,1583,1354,10,0
208,0,1583,1354,10,0
209,0,1583,1354,10,0
210,0,1583,1354,10,0
211,0,1583,1354,10,0
212,0,1583,1354,10,0
213,0,1583,1354,10,0
214,0,1583,1354,10,0
215,0,1583,1354,10,0
216,0,1583,1354,10,0
217,0,1583,1354,10,0
218,0,1583,1354,10,0
219,0,1583,1354,10,0
220,0,1583,1354,10,0
221,0,1583,1354,10,0
222,0,1583,1354,10,0
223,0,1583,1354,10,0
224,0,1583,1354,10,0
225,0,1583,1354,10,0
226,0,1583,1354,10,0
227,0,1583,1354,10,0
228,0,1583,1354,10,0
229,0,1583,1354,10,0
230,0,1583,1354,10,0
231,0,1583,1354,10,0
232,0,1583,1354,10,0
233,0,1583,1354,10,0
234,0,1583,1354,10,0
235,0,1583,1354,10,0
236,0,1583,1354,10,0
237,0,1583,1354,10,0
238,0,1583,1354,10,0
239,0,1583,1354,10,0
240,0,1583,1354,10,0
241,0,1583,1354,10,0
242,0,1583,1354,10,0
243,0,1583,1354,10,0
244,0,1583,1354,10,0
245,0,1583,1354,10,0
246,0,1583,1354,10,0
247,0,1583,1354,10,0
248,0,1583,1354,10,0
249,0,1583,1354,10,0
250,0,1583,1354,10,0
251,0,1583,1354,10,0
252,0,1583,1354,10,0
253,0,1583,1354,10,0
254,0,1583,1354,10,0
255,0,1583,1354,10,0
256,0,1583,1354,10,0
257,0,1583,1354,10,0
258,0,1583,1354,10,0
259,0,1583,1354,10,0
260,0,1583,1354,10,0
261,0,1583,1354,10,0
262,0,1583,1354,10,0
263,0,1583,1354,10,0
264,0,1583,1354,10,0
265,0,1583,1354,10,0
266,0,1583,1354,10,0
267,0,1583,1354,10,0
268,0,1583,1354,10,0
269,0,1583,1354,10,0
270,0,1583,1354,10,0
271,0,1583,1354,10,0
