t,P
1,0.5
2,0.2517073899444607
3,0.12773102845031864
4,0.06543799032691466
5,0.03390988502113262
6,0.017816494022311054
7,0.00951925224669069
8,0.00519096609019403
9,0.0029019009133809514
10,0.0016719159647468796
11,0.0009989338367105722
12,0.0006232010155241224
13,0.0004087682094216228
14,0.00028352128443839196
15,0.00020861363560808392
16,0.00016275181541325709
17,0.00013403676839369953
18,0.00011567912971319312
19,0.0001037192345630317
20,9.579556763292649e-05
21,9.046826572946502e-05
22,8.684058747574159e-05
23,8.434286459688045e-05
24,8.260660346286102e-05
25,8.138955329791389e-05
26,8.053016668872259e-05
27,7.991936106454699e-05
28,7.948267503707956e-05
29,7.916879649988147e-05
30,7.89420714659964e-05
31,7.877754420367534e-05
32,7.865763310805467e-05
33,7.856987895785001e-05
34,7.850540527913647e-05
35,7.845785693522657e-05
36,7.842266307004641e-05
37,7.839652196391077e-05
38,7.837703888496556e-05
39,7.836247014435871e-05
40,7.835154132608787e-05
41,7.83433176092026e-05
42,7.833711085954849e-05
43,7.833241279686342e-05
44,7.832884673406848e-05
45,7.832613259895065e-05
46,7.832406149212437e-05
47,7.832247711722112e-05
48,7.832126218125447e-05
49,7.832032840203127e-05
50,7.831960914217663e-05
51,7.831905396213868e-05
52,7.831862457970927e-05
53,7.8318291863716e-05
54,7.831803359047977e-05
55,7.831783276458353e-05
56,7.83176763583893e-05
57,7.831755436321225e-05
58,7.831745907312445e-05
59,7.831738454289998e-05
60,7.83173261766849e-05
61,7.831728041507166e-05
62,7.831724449644978e-05
63,7.831721627456772e-05
64,7.831719407874529e-05
65,7.831717660652776e-05
66,7.831716284107776e-05
67,7.831715198747368e-05
68,7.831714342349163e-05
69,7.831713666150719e-05
70,7.831713131895208e-05
71,7.83171270953658e-05
72,7.83171237545422e-05
73,7.831712111061792e-05
74,7.831711901721709e-05
75,7.831711735896983e-05
76,7.831711604487604e-05
77,7.831711500310764e-05
78,7.831711417693244e-05
79,7.831711352151408e-05
80,7.831711300139775e-05
81,7.831711258853228e-05
82,7.831711226071317e-05
83,7.831711200035595e-05
84,7.831711179352892e-05
85,7.831711162919005e-05
86,7.83171114985843e-05
87,7.831711139476748e-05
88,7.83171113122301e-05
89,7.831711124659951e-05
90,7.831711119440438e-05
91,7.831711115288819e-05
92,7.831711111986151e-05
93,7.8317111093585e-05
94,7.83171110726765e-05
95,7.831711105603747e-05
96,7.83171110427947e-05
97,7.831711103225387e-05
98,7.831711102386297e-05
99,7.831711101718282e-05
100,7.831711101186424e-05
101,7.831711100762939e-05
102,7.831711100425714e-05
103,7.831711100157161e-05
104,7.831711099943285e-05
105,7.831711099772936e-05
106,7.831711099637255e-05
107,7.831711099529178e-05
108,7.831711099443081e-05
109,7.831711099374489e-05
110,7.831711099319847e-05
111,7.831711099276313e-05
112,7.831711099241627e-05
113,7.831711099213989e-05
114,7.831711099191965e-05
115,7.831711099174417e-05
116,7.831711099160432e-05
117,7.831711099149287e-05
118,7.831711099140409e-05
119,7.83171109913333e-05
120,7.83171109912769e-05
121,7.831711099123193e-05
122,7.831711099119607e-05
123,7.83171109911675e-05
124,7.831711099114474e-05
125,7.83171109911266e-05
126,7.831711099111214e-05
127,7.831711099110059e-05
128,7.83171109910914e-05
129,7.831711099108407e-05
130,7.83171109910782e-05
131,7.831711099107355e-05
132,7.831711099106983e-05
133,7.831711099106686e-05
134,7.83171109910645e-05
135,7.831711099106263e-05
136,7.831711099106115e-05
137,7.831711099105993e-05
138,7.8317110991059e-05
139,7.831711099105822e-05
140,7.831711099105763e-05
141,7.831711099105713e-05
142,7.83171109910567e-05
143,7.831711099105638e-05
144,7.831711099105603e-05
145,7.831711099105583e-05
146,7.831711099105566e-05
147,7.831711099105556e-05
148,7.831711099105549e-05
149,7.831711099105545e-05
150,7.831711099105543e-05
151,7.831711099105542e-05
152,7.831711099105542e-05
153,7.83171109910554e-05
154,7.83171109910554e-05
155,7.83171109910554e-05
156,7.83171109910554e-05
157,7.83171109910554e-05
158,7.83171109910554e-05
159,7.83171109910554e-05
160,7.83171109910554e-05
161,7.83171109910554e-05
162,7.83171109910554e-05
163,7.83171109910554e-05
164,7.83171109910554e-05
165,7.83171109910554e-05
166,7.83171109910554e-05
167,7.83171109910554e-05
168,7.83171109910554e-05
169,7.83171109910554e-05
170,7.83171109910554e-05
171,7.83171109910554e-05
172,7.83171109910554e-05
173,7.83171109910554e-05
174,7.83171109910554e-05
175,7.83171109910554e-05
176,7.83171109910554e-05
177,7.83171109910554e-05
178,7.83171109910554e-05
179,7.83171109910554e-05
180,7.83171109910554e-05
181,7.83171109910554e-05
182,7.83171109910554e-05
183,7.83171109910554e-05
184,7.83171109910554e-05
185,7.83171109910554e-05
186,7.83171109910554e-05
187,7.83171109910554e-05
188,7.83171109910554e-05
189,7.83171109910554e-05
190,7.83171109910554e-05
191,7.83171109910554e-05
192,7.83171109910554e-05
193,7.83171109910554e-05
194,7.83171109910554e-05
195,7.83171109910554e-05
196,7.83171109910554e-05
197,7.83171109910554e-05
198,7.83171109910554e-05
199,7.83171109910554e-05
200,7.83171109910554e-05
201,7.83171109910554e-05
202,7.83171109910554e-05
203,7.83171109910554e-05
204,7.83171109910554e-05
205,7.83171109910554e-05
206,7.83171109910554e-05
207,7.83171109910554e-05
208,7.83171109910554e-05
209,7.83171109910554e-05
210,7.83171109910554e-05
211,7.83171109910554e-05
212,7.83171109910554e-05
213,7.83171109910554e-05
214,7.83171109910554e-05
215,7.83171109910554e-05
216,7.83171109910554e-05
217,7.83171109910554e-05
218,7.83171109910554e-05
219,7.83171109910554e-05
220,7.83171109910554e-05
221,7.83171109910554e-05
222,7.83171109910554e-05
223,7.83171109910554e-05
224,7.83171109910554e-05
225,7.83171109910554e-05
226,7.83171109910554e-05
227,7.83171109910554e-05
228,7.83171109910554e-05
229,7.83171109910554e-05
230,7.83171109910554e-05
231,7.83171109910554e-05
232,7.83171109910554e-05
233,7.83171109910554e-05
234,7.83171109910554e-05
235,7.83171109910554e-05
236,7.83171109910554e-05
237,7.83171109910554e-05
238,7.83171109910554e-05
239,7.83171109910554e-05
240,7.83171109910554e-05
241,7.83171109910554e-05
242,7.83171109910554e-05
243,7.83171109910554e-05
244,7.83171109910554e-05
245,7.83171109910554e-05
246,7.83171109910554e-05
247,7.83171109910554e-05
248,7.83171109910554e-05
249,7.83171109910554e-05
250,7.83171109910554e-05
251,7.83171109910554e-05
252,7.83171109910554e-05
253,7.83171109910554e-05
254,7.83171109910554e-05
255,7.83171109910554e-05
256,7.83171109910554e-05
