tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,10,1829,629,3,0
3,16,1845,645,3,0
4,10,1855,655,3,0
5,20,1875,675,3,0
6,13,1888,688,3,0
7,20,1908,708,4,0
8,14,1922,722,4,0
9,16,1938,738,4,0
10,16,1954,754,4,0
11,9,1963,763,4,0
12,22,1985,785,4,0
13,20,2005,805,4,0
14,15,2020,820,5,0
15,12,2032,832,5,0
16,11,2043,843,5,0
17,12,2055,855,5,0
18,14,2069,869,6,0
19,17,2086,886,6,0
20,11,2097,897,6,0
21,10,2107,907,6,0
22,10,2117,917,6,0
23,13,2130,930,6,0
24,13,2143,943,6,0
25,16,2159,959,6,0
26,12,2171,971,6,0
27,11,2182,982,6,0
28,13,2195,995,6,0
29,20,2215,1015,7,0
30,11,2226,1026,7,0
31,17,2243,1043,7,0
32,11,2254,1054,7,0
33,12,2266,1066,7,0
34,18,2284,1084,7,0
35,16,2300,1100,7,0
36,8,2308,1108,7,0
37,14,2322,1122,8,0
38,14,2336,1136,8,0
39,17,2353,1153,9,0
40,11,2364,1164,9,0
41,14,2378,1178,9,0
42,11,2389,1189,9,0
43,8,2397,1197,9,0
44,15,2412,1212,9,0
45,15,2427,1227,9,0
46,10,2437,1237,9,0
47,15,2452,1252,9,0
48,11,2463,1263,9,0
49,16,2479,1279,9,0
50,15,2494,1294,9,0
51,12,2506,1306,9,0
52,15,2521,1321,9,0
53,14,2535,1335,9,0
54,11,2546,1346,9,0
55,13,2559,1359,9,0
56,15,2574,1374,9,0
57,18,2592,1392,9,0
58,11,2603,1403,9,0
59,14,2617,1417,9,0
60,24,2641,1441,9,0
61,13,2654,1454,9,0
62,12,2666,1466,9,0
63,8,2674,1474,9,0
64,19,2693,1493,9,0
65,11,2704,1504,9,0
66,14,2718,1518,9,0
67,14,2732,1532,9,0
68,13,2745,1545,9,0
69,11,2756,1556,9,0
70,13,2769,1569,9,0
71,8,1891,1577,10,886
72,6,1897,1583,10,0
73,10,1907,1593,10,0
74,10,1917,1603,10,0
75,5,1922,1608,10,0
76,10,1932,1618,10,0
77,10,1558,1628,11,384
78,5,1563,1633,11,0
79,5,1279,1638,12,289
80,3,1282,1641,12,0
81,6,1288,1647,12,0
82,6,1294,1653,12,0
83,4,1298,1657,12,0
84,3,1301,1660,12,0
85,4,1305,1664,12,0
86,5,1310,1669,12,0
87,5,1315,1674,12,0
88,2,1317,1676,12,0
89,5,1322,1681,12,0
90,1,1323,1682,12,0
91,2,1325,1684,12,0
92,3,1328,1687,12,0
93,2,1330,1689,12,0
94,4,1334,1693,12,0
95,6,1340,1699,12,0
96,4,1344,1703,12,0
97,2,1346,1705,12,0
98,2,1348,1707,12,0
99,2,1350,1709,12,0
100,1,1351,1710,12,0
101,1,1352,1711,12,0
102,1,1353,1712,12,0
103,1,1354,1713,12,0
104,2,1356,1715,12,0
105,0,1356,1715,12,0
106,5,1361,1720,12,0
107,2,1363,1722,12,0
108,1,1364,1723,12,0
109,0,1364,1723,12,0
110,1,1365,1724,12,0
111,0,1365,1724,12,0
112,1,1366,1725,12,0
113,0,1366,1725,12,0
114,0,1366,1725,12,0
115,0,1366,1725,12,0
116,1,1367,1726,12,0
117,0,1367,1726,12,0
118,1,1368,1727,12,0
119,2,1370,1729,12,0
120,1,1371,1730,12,0
121,0,1371,1730,12,0
122,0,1371,1730,12,0
123,0,1371,1730,12,0
124,0,1371,1730,12,0
125,0,1371,1730,12,0
126,0,1371,1730,12,0
127,0,1371,1730,12,0
128,1,1372,1731,12,0
129,0,1372,1731,12,0
130,0,1372,1731,12,0
131,0,1372,1731,12,0
132,0,1372,1731,12,0
133,0,1372,1731,12,0
134,0,1372,1731,12,0
135,0,1372,1731,12,0
136,0,1372,1731,12,0
137,0,1372,1731,12,0
138,2,1374,1733,12,0
139,0,1374,1733,12,0
140,0,1374,1733,12,0
141,0,1374,1733,12,0
142,0,1374,1733,12,0
143,0,1374,1733,12,0
144,0,1374,1733,12,0
