t,P
1,0.5
2,0.27370114099159776
3,0.16397512686401602
4,0.10726373652500054
5,0.0760056069219564
6,0.057621711324249945
7,0.04610927891433569
8,0.03847556627229008
9,0.03315886497513912
10,0.029303978572433102
11,0.026418547043163612
12,0.02420452148458062
13,0.022472611743723822
14,0.02109722432356123
15,0.01999177937127279
16,0.019094627091637947
17,0.01836067350943982
18,0.017756197029025728
19,0.017255517044019154
20,0.01683877877686502
21,0.01649043561726547
22,0.01619818215824928
23,0.01595218737816132
24,0.0157445330899716
25,0.015568796046267454
26,0.015419732600282307
27,0.01529303784834183
28,0.015185159675394851
29,0.015093153802633215
30,0.01501456981151463
31,0.014947360813592908
32,0.01488981134071457
33,0.014840479396312115
34,0.014798149600658263
35,0.014761795091610387
36,0.014730546382994961
37,0.014703665787614962
38,0.01468052631761085
39,0.014660594207663207
40,0.014643414385047127
41,0.014628598348446395
42,0.014615814024676583
43,0.014604777256407096
44,0.014595244640084508
45,0.014587007485642123
46,0.014579886711322175
47,0.014573728520382979
48,0.014568400733402534
49,0.014563789671697691
50,0.014559797505114753
51,0.014556339991938613
52,0.014553344550557132
53,0.014550748612310862
54,0.01454849821305528
55,0.014546546787680482
56,0.014544854137423902
57,0.014543385544478963
58,0.014542111012308897
59,0.014541004613353047
60,0.014540043928570346
61,0.014539209565588268
62,0.014538484744188375
63,0.014537854939519864
64,0.014537307574839502
65,0.014536831756770464
66,0.014536418047087336
67,0.014536058265898032
68,0.014535745321829037
69,0.014535473065447653
70,0.014535236162690514
71,0.014535029985525277
72,0.014534850517463636
73,0.014534694271878772
74,0.014534558221367212
75,0.014534439736641001
76,0.014534336533646806
77,0.01453424662778973
78,0.014534168294294908
79,0.014534100033873364
80,0.014534040542973782
81,0.014533988687999913
82,0.014533943482959015
83,0.014533904070079215
84,0.014533869702997011
85,0.01453383973217041
86,0.014533813592219736
87,0.014533790790938741
88,0.014533770899753298
89,0.01453375354543504
90,0.014533738402903233
91,0.014533725188970607
92,0.014533713656908143
93,0.014533703591720555
94,0.014533694806038746
95,0.014533687136547914
96,0.014533680440880862
97,0.014533674594915372
98,0.014533669490422754
99,0.014533665033021385
100,0.014533661140395643
101,0.01453365774074522
102,0.01453365477143509
103,0.014533652177819802
104,0.014533649912219468
105,0.014533647933027784
106,0.01453364620393486
107,0.014533644693250084
108,0.014533643373311965
109,0.014533642219973783
110,0.014533641212155227
111,0.014533640331451464
112,0.014533639561792334
113,0.014533638889145118
114,0.01453363830125531
115,0.014533637787420554
116,0.014533637338293357
117,0.014533636945709055
118,0.014533636602535692
119,0.014533636302542988
120,0.014533636040288005
121,0.014533635811015414
122,0.014533635610570353
123,0.014533635435322418
124,0.014533635282099326
125,0.014533635148128915
126,0.014533635030988598
127,0.014533634928561162
128,0.014533634838996199
129,0.014533634760676397
130,0.014533634692188139
131,0.014533634632295777
132,0.014533634579919207
133,0.01453363453411423
134,0.014533634494055425
135,0.014533634459021193
136,0.014533634428380678
137,0.014533634401582316
138,0.014533634378143867
139,0.014533634357643694
140,0.014533634339713148
141,0.014533634324029841
142,0.014533634310311913
143,0.014533634298312873
