tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,32,2464,632,2,0
2,21,2506,653,3,0
3,26,2558,679,3,0
4,24,2606,703,3,0
5,47,2700,750,4,0
6,20,2740,770,4,0
7,34,2808,804,4,0
8,37,2882,841,5,0
9,35,2952,876,5,0
10,40,3032,916,6,0
11,35,3102,951,6,0
12,38,3178,989,6,0
13,37,3252,1026,6,0
14,50,3352,1076,6,0
15,39,3430,1115,6,0
16,54,3538,1169,7,0
17,45,3628,1214,7,0
18,52,3732,1266,7,0
19,58,3848,1324,7,0
20,56,3960,1380,7,0
21,60,4080,1440,8,0
22,70,4220,1510,8,0
23,66,4352,1576,8,0
24,71,4494,1647,8,0
25,79,4652,1726,9,0
26,94,4840,1820,9,0
27,105,5050,1925,9,0
28,92,4130,2017,10,1104
29,66,3485,2083,11,777
30,60,3605,2143,11,0
31,51,3707,2194,11,0
32,36,3779,2230,11,0
33,52,3883,2282,11,0
34,55,3993,2337,11,0
35,61,4115,2398,11,0
36,43,4201,2441,11,0
37,55,3619,2496,12,692
38,49,3717,2545,12,0
39,38,3793,2583,12,0
40,29,3851,2612,12,0
41,37,3925,2649,12,0
42,38,4001,2687,12,0
43,39,4079,2726,12,0
44,26,3484,2752,13,647
45,27,3538,2779,13,0
46,22,3582,2801,13,0
47,22,3626,2823,13,0
48,25,3676,2848,13,0
49,18,3712,2866,13,0
50,16,3744,2882,13,0
51,12,3768,2894,13,0
52,22,3812,2916,13,0
53,15,3842,2931,13,0
54,20,3882,2951,13,0
55,15,3229,2966,14,683
56,7,3243,2973,14,0
57,14,3271,2987,14,0
58,6,3283,2993,14,0
59,6,3295,2999,14,0
60,4,3303,3003,14,0
61,14,3331,3017,14,0
62,6,3343,3023,14,0
63,7,3357,3030,14,0
64,2,3361,3032,14,0
65,4,3369,3036,14,0
66,4,3377,3040,14,0
67,6,3389,3046,14,0
68,4,3397,3050,14,0
69,4,3405,3054,14,0
70,4,3413,3058,14,0
71,7,3427,3065,14,0
72,6,3439,3071,14,0
73,2,3443,3073,14,0
74,4,3451,3077,14,0
75,5,3461,3082,14,0
76,4,3469,3086,14,0
77,1,3471,3087,14,0
78,0,3471,3087,14,0
79,4,3479,3091,14,0
80,6,3491,3097,14,0
81,1,3493,3098,14,0
82,0,3493,3098,14,0
83,2,3497,3100,14,0
84,4,3505,3104,14,0
85,0,3505,3104,14,0
86,3,3511,3107,14,0
87,0,3511,3107,14,0
88,1,3513,3108,14,0
89,0,3513,3108,14,0
90,0,3513,3108,14,0
91,0,3513,3108,14,0
92,0,3513,3108,14,0
93,1,3515,3109,14,0
94,1,3517,3110,14,0
95,0,3517,3110,14,0
96,1,3519,3111,14,0
97,2,3523,3113,14,0
98,0,3523,3113,14,0
99,0,3523,3113,14,0
100,0,3523,3113,14,0
101,0,3523,3113,14,0
102,0,3523,3113,14,0
103,0,3523,3113,14,0
104,0,3523,3113,14,0
105,0,3523,3113,14,0
106,0,3523,3113,14,0
107,0,3523,3113,14,0
108,0,3523,3113,14,0
109,0,3523,3113,14,0
110,1,3525,3114,14,0
111,0,3525,3114,14,0
112,0,3525,3114,14,0
113,0,3525,3114,14,0
114,0,3525,3114,14,0
115,0,3525,3114,14,0
116,0,3525,3114,14,0
117,0,3525,3114,14,0
118,0,3525,3114,14,0
119,0,3525,3114,14,0
120,0,3525,3114,14,0
121,0,3525,3114,14,0
122,0,3525,3114,14,0
123,0,3525,3114,14,0
124,0,3525,3114,14,0
125,0,3525,3114,14,0
126,0,3525,3114,14,0
127,0,3525,3114,14,0
128,0,3525,3114,14,0
129,0,3525,3114,14,0
130,0,3525,3114,14,0
131,0,3525,3114,14,0
132,0,3525,3114,14,0
133,0,3525,3114,14,0
134,0,3525,3114,14,0
135,0,3525,3114,14,0
136,0,3525,3114,14,0
137,0,3525,3114,14,0
138,0,3525,3114,14,0
139,0,3525,3114,14,0
140,0,3525,3114,14,0
141,0,3525,3114,14,0
142,0,3525,3114,14,0
143,0,3525,3114,14,0
144,0,3525,3114,14,0
145,0,3525,3114,14,0
146,0,3525,3114,14,0
147,0,3525,3114,14,0
148,0,3525,3114,14,0
149,0,3525,3114,14,0
150,0,3525,3114,14,0
151,0,3525,3114,14,0
152,0,3525,3114,14,0
153,0,3525,3114,14,0
154,0,3525,3114,14,0
155,0,3525,3114,14,0
156,0,3525,3114,14,0
157,0,3525,3114,14,0
158,0,3525,3114,14,0
159,0,3525,3114,14,0
160,0,3525,3114,14,0
161,0,3525,3114,14,0
162,0,3525,3114,14,0
163,0,3525,3114,14,0
164,0,3525,3114,14,0
165,0,3525,3114,14,0
166,0,3525,3114,14,0
167,0,3525,3114,14,0
168,0,3525,3114,14,0
169,0,3525,3114,14,0
170,0,3525,3114,14,0
171,0,3525,3114,14,0
172,0,3525,3114,14,0
173,0,3525,3114,14,0
174,0,3525,3114,14,0
175,0,3525,3114,14,0
176,0,3525,3114,14,0
177,0,3525,3114,14,0
178,0,3525,3114,14,0
179,0,3525,3114,14,0
180,0,3525,3114,14,0
181,0,3525,3114,14,0
182,0,3525,3114,14,0
183,0,3525,3114,14,0
184,0,3525,3114,14,0
185,0,3525,3114,14,0
186,0,3525,3114,14,0
187,0,3525,3114,14,0
188,0,3525,3114,14,0
189,0,3525,3114,14,0
190,0,3525,3114,14,0
191,0,3525,3114,14,0
192,0,3525,3114,14,0
193,0,3525,3114,14,0
194,0,3525,3114,14,0
195,0,3525,3114,14,0
196,0,3525,3114,14,0
197,0,3525,3114,14,0
198,0,3525,3114,14,0
199,0,3525,3114,14,0
200,0,3525,3114,14,0
201,0,3525,3114,14,0
202,0,3525,3114,14,0
203,0,3525,3114,14,0
204,0,3525,3114,14,0
205,0,3525,3114,14,0
206,0,3525,3114,14,0
207,0,3525,3114,14,0
208,0,3525,3114,14,0
209,0,3525,3114,14,0
210,0,3525,3114,14,0
211,0,3525,3114,14,0
212,0,3525,3114,14,0
213,0,3525,3114,14,0
214,0,3525,3114,14,0
215,0,3525,3114,14,0
216,0,3525,3114,14,0
217,0,3525,3114,14,0
218,0,3525,3114,14,0
219,0,3525,3114,14,0
220,0,3525,3114,14,0
221,0,3525,3114,14,0
222,0,3525,3114,14,0
223,0,3525,3114,14,0
224,0,3525,3114,14,0
225,0,3525,3114,14,0
226,0,3525,3114,14,0
227,0,3525,3114,14,0
228,0,3525,3114,14,0
229,0,3525,3114,14,0
230,0,3525,3114,14,0
231,0,3525,3114,14,0
232,0,3525,3114,14,0
233,0,3525,3114,14,0
234,0,3525,3114,14,0
235,0,3525,3114,14,0
236,0,3525,3114,14,0
237,0,3525,3114,14,0
238,0,3525,3114,14,0
239,0,3525,3114,14,0
