tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,8,1827,627,2,0
3,17,1844,644,3,0
4,9,1853,653,3,0
5,23,1876,676,3,0
6,8,1884,684,4,0
7,19,1903,703,4,0
8,15,1918,718,4,0
9,20,1938,738,5,0
10,15,1953,753,5,0
11,10,1963,763,5,0
12,16,1979,779,5,0
13,18,1997,797,5,0
14,15,2012,812,5,0
15,13,2025,825,6,0
16,17,2042,842,6,0
17,20,2062,862,6,0
18,15,2077,877,6,0
19,8,2085,885,6,0
20,16,2101,901,6,0
21,14,2115,915,6,0
22,12,2127,927,6,0
23,18,2145,945,6,0
24,11,2156,956,6,0
25,15,2171,971,7,0
26,17,2188,988,8,0
27,22,2210,1010,8,0
28,17,2227,1027,8,0
29,18,2245,1045,8,0
30,19,2264,1064,8,0
31,26,2290,1090,8,0
32,11,2301,1101,8,0
33,11,2312,1112,8,0
34,10,2322,1122,8,0
35,17,2339,1139,8,0
36,9,2348,1148,8,0
37,15,2363,1163,8,0
38,7,2370,1170,8,0
39,11,2381,1181,8,0
40,10,2391,1191,8,0
41,11,2402,1202,8,0
42,11,2413,1213,9,0
43,14,1395,1227,10,1032
44,6,1401,1233,10,0
45,6,1407,1239,10,0
46,4,1411,1243,10,0
47,9,1420,1252,10,0
48,7,1427,1259,10,0
49,4,1431,1263,10,0
50,10,1441,1273,10,0
51,9,1450,1282,10,0
52,2,1452,1284,10,0
53,8,1460,1292,10,0
54,8,1468,1300,10,0
55,6,1474,1306,10,0
56,3,1477,1309,10,0
57,6,1483,1315,10,0
58,3,1486,1318,10,0
59,5,1491,1323,10,0
60,4,1495,1327,10,0
61,7,1502,1334,10,0
62,3,1505,1337,10,0
63,4,1509,1341,10,0
64,3,1512,1344,10,0
65,3,1515,1347,10,0
66,5,1520,1352,10,0
67,5,1525,1357,10,0
68,5,1530,1362,10,0
69,10,1540,1372,10,0
70,4,1544,1376,10,0
71,9,1553,1385,10,0
72,2,1555,1387,10,0
73,2,1557,1389,10,0
74,3,1560,1392,10,0
75,0,1560,1392,10,0
76,1,1561,1393,10,0
77,3,1564,1396,10,0
78,3,1567,1399,10,0
79,4,1571,1403,10,0
