tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,19,1819,619,2,0
2,8,1827,627,2,0
3,18,1845,645,3,0
4,11,1856,656,3,0
5,21,1877,677,3,0
6,11,1888,688,4,0
7,22,1910,710,4,0
8,17,1927,727,4,0
9,17,1944,744,4,0
10,15,1959,759,4,0
11,19,1978,778,4,0
12,19,1997,797,5,0
13,12,2009,809,5,0
14,15,2024,824,5,0
15,21,2045,845,5,0
16,12,2057,857,5,0
17,19,2076,876,5,0
18,20,2096,896,6,0
19,9,2105,905,6,0
20,13,2118,918,6,0
21,11,2129,929,6,0
22,16,2145,945,6,0
23,18,2163,963,6,0
24,16,2179,979,7,0
25,15,2194,994,7,0
26,17,2211,1011,7,0
27,16,2227,1027,7,0
28,19,2246,1046,7,0
29,18,2264,1064,7,0
30,13,2277,1077,7,0
31,21,2298,1098,7,0
32,14,2312,1112,7,0
33,17,2329,1129,7,0
34,15,2344,1144,7,0
35,15,2359,1159,7,0
36,9,2368,1168,7,0
37,18,2386,1186,8,0
38,11,2397,1197,8,0
39,23,2420,1220,8,0
40,10,2430,1230,8,0
41,20,2450,1250,8,0
42,15,2465,1265,8,0
43,14,2479,1279,9,0
44,16,2495,1295,9,0
45,16,2511,1311,9,0
46,19,2530,1330,9,0
47,16,2546,1346,9,0
48,11,2557,1357,9,0
49,13,2570,1370,9,0
50,12,2582,1382,9,0
51,18,2600,1400,9,0
52,23,1686,1423,10,937
53,9,1695,1432,10,0
54,11,1706,1443,10,0
55,10,1716,1453,10,0
56,6,1722,1459,10,0
57,9,1731,1468,10,0
58,9,1740,1477,10,0
59,10,1750,1487,10,0
60,8,1758,1495,10,0
61,12,1770,1507,10,0
62,8,1778,1515,10,0
63,12,1790,1527,10,0
64,12,1426,1539,11,376
65,8,1097,1547,12,337
66,6,1103,1553,12,0
67,3,1106,1556,12,0
68,2,1108,1558,12,0
69,6,1114,1564,12,0
70,6,1120,1570,12,0
71,4,1124,1574,12,0
72,1,1125,1575,12,0
73,3,1128,1578,12,0
74,3,1131,1581,12,0
75,4,1135,1585,12,0
76,3,1138,1588,12,0
77,5,1143,1593,12,0
78,1,1144,1594,12,0
79,0,1144,1594,12,0
