tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,45,3135,645,2,0
2,39,3252,684,3,0
3,44,3384,728,3,0
4,53,3543,781,3,0
5,65,3738,846,4,0
6,48,3882,894,4,0
7,58,4056,952,5,0
8,87,4317,1039,5,0
9,85,4572,1124,5,0
10,86,4830,1210,6,0
11,89,5097,1299,6,0
12,106,5415,1405,7,0
13,113,5754,1518,8,0
14,142,6180,1660,8,0
15,155,6645,1815,9,0
16,205,7260,2020,9,0
17,234,6409,2254,10,1553
18,163,5675,2417,11,1223
19,113,6014,2530,11,0
20,121,5198,2651,12,1179
21,102,5504,2753,12,0
22,84,5756,2837,12,0
23,97,6047,2934,12,0
24,104,6359,3038,12,0
25,101,6662,3139,12,0
26,122,6015,3261,13,1013
27,77,6246,3338,13,0
28,60,6426,3398,13,0
29,58,6600,3456,13,0
30,55,6765,3511,13,0
31,60,6945,3571,13,0
32,49,7092,3620,13,0
33,45,7227,3665,13,0
34,59,7404,3724,13,0
35,47,6598,3771,14,947
36,30,6688,3801,14,0
37,31,6781,3832,14,0
38,34,6883,3866,14,0
39,26,6961,3892,14,0
40,30,7051,3922,14,0
41,27,7132,3949,14,0
42,23,7201,3972,14,0
43,16,7249,3988,14,0
44,27,7330,4015,14,0
45,24,7402,4039,14,0
46,24,7474,4063,14,0
47,17,7525,4080,14,0
48,25,7600,4105,14,0
49,12,7636,4117,14,0
50,16,7684,4133,14,0
51,13,7723,4146,14,0
52,14,7765,4160,14,0
53,14,7807,4174,14,0
54,25,7882,4199,14,0
55,19,7939,4218,14,0
56,11,7972,4229,14,0
57,10,8002,4239,14,0
58,9,8029,4248,14,0
59,16,8077,4264,14,0
60,17,8128,4281,14,0
61,26,8206,4307,14,0
62,18,8260,4325,14,0
63,14,8302,4339,14,0
64,6,8320,4345,14,0
65,7,8341,4352,14,0
66,8,8365,4360,14,0
67,8,8389,4368,14,0
68,6,8407,4374,14,0
69,8,8431,4382,14,0
70,7,8452,4389,14,0
71,8,8476,4397,14,0
72,8,8500,4405,14,0
73,2,8506,4407,14,0
74,8,8530,4415,14,0
75,3,8539,4418,14,0
76,6,8557,4424,14,0
77,7,8578,4431,14,0
78,3,8587,4434,14,0
79,1,8590,4435,14,0
80,4,8602,4439,14,0
81,5,8617,4444,14,0
82,2,8623,4446,14,0
83,5,8638,4451,14,0
84,2,8644,4453,14,0
85,7,8665,4460,14,0
86,4,8677,4464,14,0
87,2,8683,4466,14,0
88,3,8692,4469,14,0
89,5,8707,4474,14,0
90,3,8716,4477,14,0
91,2,8722,4479,14,0
92,6,8740,4485,14,0
93,0,8740,4485,14,0
94,1,8743,4486,14,0
95,3,7735,4489,15,1017
96,2,6191,4491,16,1550
97,1,6194,4492,16,0
98,3,4493,4495,17,1710
99,1,4496,4496,17,0
100,1,4499,4497,17,0
101,1,4502,4498,17,0
102,2,4508,4500,17,0
103,0,4508,4500,17,0
104,0,4508,4500,17,0
105,0,4508,4500,17,0
106,0,4508,4500,17,0
107,0,4508,4500,17,0
108,0,4508,4500,17,0
109,1,4511,4501,17,0
110,0,4511,4501,17,0
111,1,4514,4502,17,0
112,0,4514,4502,17,0
113,2,4520,4504,17,0
114,0,4520,4504,17,0
115,0,4520,4504,17,0
116,0,4520,4504,17,0
117,1,4523,4505,17,0
118,1,4526,4506,17,0
119,0,4526,4506,17,0
120,0,4526,4506,17,0
121,0,4526,4506,17,0
122,1,4529,4507,17,0
123,1,4532,4508,17,0
124,0,4532,4508,17,0
125,1,4535,4509,17,0
126,0,4535,4509,17,0
127,0,4535,4509,17,0
128,0,4535,4509,17,0
129,0,4535,4509,17,0
130,0,4535,4509,17,0
131,0,4535,4509,17,0
132,0,4535,4509,17,0
133,0,4535,4509,17,0
134,0,4535,4509,17,0
135,0,4535,4509,17,0
136,0,4535,4509,17,0
137,0,4535,4509,17,0
138,1,4538,4510,17,0
139,0,4538,4510,17,0
140,0,4538,4510,17,0
141,0,4538,4510,17,0
142,0,4538,4510,17,0
143,0,4538,4510,17,0
144,0,4538,4510,17,0
145,0,4538,4510,17,0
146,0,4538,4510,17,0
147,0,4538,4510,17,0
148,0,4538,4510,17,0
149,0,4538,4510,17,0
150,0,4538,4510,17,0
151,0,4538,4510,17,0
152,0,4538,4510,17,0
153,0,4538,4510,17,0
154,0,4538,4510,17,0
155,0,4538,4510,17,0
156,0,4538,4510,17,0
157,0,4538,4510,17,0
158,0,4538,4510,17,0
159,0,4538,4510,17,0
160,0,4538,4510,17,0
161,0,4538,4510,17,0
162,0,4538,4510,17,0
163,0,4538,4510,17,0
164,0,4538,4510,17,0
165,0,4538,4510,17,0
166,0,4538,4510,17,0
167,0,4538,4510,17,0
168,0,4538,4510,17,0
169,0,4538,4510,17,0
170,0,4538,4510,17,0
171,0,4538,4510,17,0
172,0,4538,4510,17,0
173,0,4538,4510,17,0
174,0,4538,4510,17,0
175,0,4538,4510,17,0
176,0,4538,4510,17,0
177,0,4538,4510,17,0
178,0,4538,4510,17,0
179,0,4538,4510,17,0
180,0,4538,4510,17,0
181,0,4538,4510,17,0
182,0,4538,4510,17,0
183,0,4538,4510,17,0
184,0,4538,4510,17,0
185,0,4538,4510,17,0
186,0,4538,4510,17,0
187,0,4538,4510,17,0
188,0,4538,4510,17,0
189,0,4538,4510,17,0
190,0,4538,4510,17,0
191,0,4538,4510,17,0
192,0,4538,4510,17,0
193,0,4538,4510,17,0
194,0,4538,4510,17,0
195,0,4538,4510,17,0
196,0,4538,4510,17,0
197,0,4538,4510,17,0
198,0,4538,4510,17,0
199,0,4538,4510,17,0
200,0,4538,4510,17,0
201,0,4538,4510,17,0
202,0,4538,4510,17,0
203,0,4538,4510,17,0
204,0,4538,4510,17,0
205,0,4538,4510,17,0
206,0,4538,4510,17,0
207,0,4538,4510,17,0
208,0,4538,4510,17,0
209,0,4538,4510,17,0
210,0,4538,4510,17,0
211,0,4538,4510,17,0
212,0,4538,4510,17,0
213,0,4538,4510,17,0
214,0,4538,4510,17,0
215,0,4538,4510,17,0
216,0,4538,4510,17,0
217,0,4538,4510,17,0
218,0,4538,4510,17,0
219,0,4538,4510,17,0
220,0,4538,4510,17,0
221,0,4538,4510,17,0
222,0,4538,4510,17,0
223,0,4538,4510,17,0
224,0,4538,4510,17,0
225,0,4538,4510,17,0
226,0,4538,4510,17,0
227,0,4538,4510,17,0
228,0,4538,4510,17,0
229,0,4538,4510,17,0
230,0,4538,4510,17,0
231,0,4538,4510,17,0
232,0,4538,4510,17,0
233,0,4538,4510,17,0
234,0,4538,4510,17,0
235,0,4538,4510,17,0
236,0,4538,4510,17,0
237,0,4538,4510,17,0
238,0,4538,4510,17,0
239,0,4538,4510,17,0
240,0,4538,4510,17,0
241,0,4538,4510,17,0
242,0,4538,4510,17,0
243,0,4538,4510,17,0
244,0,4538,4510,17,0
245,0,4538,4510,17,0
246,0,4538,4510,17,0
247,0,4538,4510,17,0
248,0,4538,4510,17,0
249,0,4538,4510,17,0
250,0,4538,4510,17,0
251,0,4538,4510,17,0
252,0,4538,4510,17,0
253,0,4538,4510,17,0
254,0,4538,4510,17,0
255,0,4538,4510,17,0
256,0,4538,4510,17,0
257,0,4538,4510,17,0
258,0,4538,4510,17,0
259,0,4538,4510,17,0
260,0,4538,4510,17,0
261,0,4538,4510,17,0
262,0,4538,4510,17,0
263,0,4538,4510,17,0
264,0,4538,4510,17,0
265,0,4538,4510,17,0
266,0,4538,4510,17,0
267,0,4538,4510,17,0
