tick,n_exec,n_flight,n_events,front_depth,n_truncated
1,607,2407,1207,2,0
2,891,3298,2098,3,0
3,1338,4636,3436,4,0
4,1652,6288,5088,5,0
5,1139,7427,6227,6,0
6,936,8363,7163,7,0
7,991,9354,8154,8,0
8,1028,10382,9182,9,0
9,1139,11521,10321,10,0
10,1154,12675,11475,11,0
11,1209,13883,12684,12,1
12,1228,15111,13912,12,0
13,1344,16304,15256,13,151
14,1432,17271,16688,14,465
15,1467,18738,18155,14,0
16,1544,19560,19699,15,722
17,1554,19939,21253,16,1175
18,1560,19531,22813,17,1968
19,1360,20891,24173,17,0
20,1428,19945,25601,18,2374
21,1233,21178,26834,18,0
22,1274,22452,28108,18,0
23,1406,21399,29514,19,2459
24,1252,19710,30766,20,2941
25,1027,20737,31793,20,0
26,1101,18433,32894,21,3405
27,859,15436,33753,22,3856
28,596,11880,34349,23,4152
29,379,12259,34728,23,0
30,409,12668,35137,23,0
31,411,13079,35548,23,0
32,409,13488,35957,23,0
33,426,13914,36383,23,0
34,453,14367,36836,23,0
35,509,14876,37345,23,0
36,487,15363,37832,23,0
37,527,13376,38359,24,2514
38,482,11396,38841,25,2462
39,370,11766,39211,25,0
40,358,12124,39569,25,0
41,422,10385,39991,26,2161
42,351,10736,40342,26,0
43,350,11086,40692,26,0
44,379,9418,41071,27,2047
45,307,9725,41378,27,0
46,313,8194,41691,28,1844
47,245,6643,41936,29,1796
48,175,6818,42111,29,0
49,168,6986,42279,29,0
50,223,7209,42502,29,0
51,212,5935,42714,30,1486
52,190,4720,42904,31,1405
53,113,3505,43017,32,1328
54,84,3589,43101,32,0
55,107,2652,43208,33,1044
56,54,2706,43262,33,0
57,58,1880,43320,34,884
58,36,1916,43356,34,0
59,35,1951,43391,34,0
60,38,1379,43429,35,610
61,24,1403,43453,35,0
62,36,1439,43489,35,0
63,27,1466,43516,35,0
64,31,1497,43547,35,0
65,41,1123,43588,36,415
66,24,1147,43612,36,0
67,17,1164,43629,36,0
68,27,1191,43656,36,0
69,23,1214,43679,36,0
70,19,1233,43698,36,0
71,25,1258,43723,36,0
72,27,1285,43750,36,0
73,24,1014,43774,37,295
74,21,1035,43795,37,0
75,23,820,43818,38,238
76,22,842,43840,38,0
77,21,863,43861,38,0
78,22,885,43883,38,0
79,17,902,43900,38,0
80,25,745,43925,39,182
81,8,753,43933,39,0
82,20,773,43953,39,0
83,20,793,43973,39,0
84,22,705,43995,40,110
85,26,731,44021,40,0
86,11,742,44032,40,0
87,27,661,44059,41,108
88,12,532,44071,42,141
89,15,547,44086,42,0
90,15,463,44101,43,99
91,20,483,44121,43,0
92,19,502,44140,43,0
93,12,514,44152,43,0
94,22,450,44174,44,86
95,14,384,44188,45,80
