run_id,label,status,fate,seed,m,s,f,k,p,W,pred,osc,comp,ctrl,ticks,events,flight,front,height,max_width,d_front,d_span,d_s,D_causal,transient,hold,c1_target,c1b_decade,c2_stat,c3_spec,c4_caus
camp-blocks-W_128-5a367ca4de,camp-blocks-W_128,stalled,gel,vee,32,2,2,2,3,128,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-W_16-196749a23a,camp-blocks-W_16,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-W_32-776cc3deda,camp-blocks-W_32,stalled,gel,vee,32,2,2,2,3,32,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-W_4-d8a2d6977c,camp-blocks-W_4,stalled,gel,vee,32,2,2,2,3,4,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-W_64-881e92e02c,camp-blocks-W_64,stalled,gel,vee,32,2,2,2,3,64,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-W_8-ebf62cd1b0,camp-blocks-W_8,stalled,gel,vee,32,2,2,2,3,8,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-compose_rule_fold_mul_add-3c612273c4,camp-blocks-compose_rule_fold_mul_add,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_mul_add,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-compose_rule_fold_rot_xor-196749a23a,camp-blocks-compose_rule_fold_rot_xor,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-ctrl_no_causality-7bafbe96de,camp-blocks-ctrl_no_causality,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,no_caus,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-ctrl_p_inf-cb7cd620f9,camp-blocks-ctrl_p_inf,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,p_inf,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-ctrl_trivial-e524b3af3a,camp-blocks-ctrl_trivial,completed,soutenu,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,trivial,20000,40003,6,3,20001,2,,,,1.0231264766317412,,,False,False,False,False,False
camp-blocks-f_2-196749a23a,camp-blocks-f_2,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-f_3-dc5e300620,camp-blocks-f_3,stalled,gel,vee,32,2,3,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,9,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-f_4-5675b753b3,camp-blocks-f_4,stalled,gel,vee,32,2,4,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,12,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-k_2-196749a23a,camp-blocks-k_2,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-k_3-3099e49129,camp-blocks-k_3,stalled,gel,vee,32,2,2,3,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-m_16-d6f6a35f7a,camp-blocks-m_16,stalled,gel,vee,16,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-m_24-aaf3cad1e1,camp-blocks-m_24,stalled,gel,vee,24,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-m_32-196749a23a,camp-blocks-m_32,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-m_48-4cb4d25d20,camp-blocks-m_48,stalled,gel,vee,48,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4120,4,6,4,2,2,,0.0,,,,,False,False,False,False,False
camp-blocks-m_64-6b054fbc38,camp-blocks-m_64,stalled,gel,vee,64,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-osc_rule_rot1_xor-f4cc98f465,camp-blocks-osc_rule_rot1_xor,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot1_xor,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-osc_rule_rot_birth-196749a23a,camp-blocks-osc_rule_rot_birth,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-p_1-f10437406a,camp-blocks-p_1,stalled,gel,vee,32,2,2,2,1,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-p_2-ac98595245,camp-blocks-p_2,stalled,gel,vee,32,2,2,2,2,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-p_3-196749a23a,camp-blocks-p_3,stalled,gel,vee,32,2,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-p_4-283f0c49f4,camp-blocks-p_4,stalled,gel,vee,32,2,2,2,4,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-blocks-p_5-04e687e711,camp-blocks-p_5,stalled,gel,vee,32,2,2,2,5,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
